species	NCBI.taxid	dN	dS	dNdS
Jaculus_jaculus	51337	0.06927251364	0.6018640096	0.115096620723407
Nannospalax_galili	1026970	0.05217432686	0.4396100788	0.118683190800402
Onychomys_torridus	38674	0.01776708033	0.143846576	0.123514099703006
Peromyscus_californicus	42520	0.008322303711	0.07309671679	0.113853317583459
Peromyscus_leucopus	10041	0.003715696191	0.03725174389	0.0997455636431951
Peromyscus_maniculatus	10042	0.007066590573	0.04887195264	0.14459398880691
Phodopus_roborovskii	109678	0.0248299043	0.2231044178	0.111292750474617
Mesocricetus_auratus	10036	0.02364638794	0.2228545955	0.10610679975859
Myodes_glareolus	447135	0.01409402853	0.1210124919	0.116467550652926
Arvicola_amphibius	1047088	0.01109382399	0.1030840374	0.107619222818682
Microtus_fortis	100897	0.008317797057	0.06210025611	0.133941429199043
Microtus_oregoni	111838	0.005364078314	0.04431709777	0.121038573912012
Microtus_ochrogaster	79684	0.007760243152	0.05033536224	0.154170801731773
Acomys_russatus	60746	0.03695667489	0.3448154856	0.107178118249803
Psammomys_obesus	48139	0.00868261512	0.06314399992	0.137504990672121
Meriones_unguiculatus	10047	0.006914645211	0.0648948896	0.106551459654536
Apodemus_sylvaticus	10129	0.02664944628	0.2744674716	0.097095098827733
Rattus_rattus	10117	0.01077933277	0.05689094765	0.18947360195713
Rattus_norvegicus	10116	0.004692044905	0.04364049656	0.107515845942519
Arvicanthis_niloticus	61156	0.01372118826	0.1372269901	0.0999889908683496
Grammomys_surdaster	491861	0.01596618899	0.1392943109	0.114621974772984
Mastomys_coucha	35658	0.02225034387	0.1984132495	0.112141421634244
Mus_pahari	10093	0.01601935147	0.1368325196	0.11707269234557
Mus_caroli	10089	0.007280492357	0.07020813559	0.103698699528449
Mus_musculus	10090	0.007719546553	0.07119226803	0.108432372877165
Talpa_occidentalis	50954	0.02485311559	0.2012764547	0.123477510705578
Condylura_cristata	143302	0.04471012019	0.3282547878	0.13620553865993
Galemys_pyrenaicus	202257	0.04132235736	0.286905747	0.144027639014146
Erinaceus_europaeus	9365	0.09112287621	0.744276958	0.122431408403214
Suncus_etruscus	109475	0.07345099258	0.5789560302	0.126867998170131
Sorex_araneus	42254	0.02154856103	0.2042945334	0.105477913047281
Sorex_cinereus	36803	0.01880389023	0.1828820074	0.102819793468649
Vicugna_pacos	30538	0.006362182561	0.04706598329	0.135175813108992
Camelus_dromedarius	9838	0.001398553127	0.007402565088	0.188928176973025
Camelus_ferus	419612	0.001249615007	0.007284617122	0.171541617915111
Phacochoerus_africanus	41426	0.006141296751	0.0392163244	0.156600518915536
Sus_scrofa	9823	0.003761571547	0.03256575047	0.115506981804863
Balaenoptera_musculus	9771	0.005804489054	0.02590781406	0.224043952166607
Balaenoptera_acutorostrata	9767	0.006222218959	0.02828698537	0.219967553191406
Physeter_catodon	9755	0.0126129131	0.06416456154	0.196571328429279
Lipotes_vexillifer	118797	0.009422691368	0.05384328309	0.175002169764608
Orcinus_orca	9733	0.002653759179	0.01508701192	0.175896936588355
Lagenorhynchus_obliquidens	90247	0.004045848604	0.01918727575	0.210861023561409
Globicephala_melas	9731	0.002283669106	0.01371766458	0.16647652322171
