species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Cyanistes_caeruleus	156563	31326	31355	900	900	882	701
Cygnus_atratus	8868	36827	36879	921	921	913	717
Cygnus_olor	8869	47794	47851	921	921	889	697
Daphoenositta_chrysoptera	254528	13879	15545	832	832	828	669
Dasyornis_broadbenti	243059	14397	16095	861	861	859	676
Dicaeum_eximium	667154	13650	15738	827	827	825	660
Dicrurus_megarhynchus	450177	14257	15991	843	843	841	673
Donacobius_atricapilla	237420	13746	15376	814	814	814	656
Dromas_ardeola	458190	13904	15330	825	825	824	661
Drymodes_brunneopygia	626378	13565	15254	812	812	809	654
Dryobates_pubescens	118200	15826	15830	876	876	835	668
Dryoscopus_gambensis	85069	12314	14072	752	752	749	604
Edolisoma_coerulescens	2585810	13682	15773	819	819	816	653
Egretta_garzetta	188379	23679	23693	867	867	817	664
Elachura_formosa	1463973	14015	15613	820	820	820	647
Emberiza_fucata	337179	13208	15183	789	789	789	636
Empidonax_traillii	164674	33999	34029	908	908	897	706
Eolophus_roseicapilla	176039	13336	15243	795	795	795	630
Erpornis_zantholeuca	1112836	13321	15087	813	813	809	641
Erythrocercus_mccallii	107208	14054	15791	841	841	841	667
Eubucco_bourcierii	91767	14172	15602	871	871	871	686
Eudyptes_chrysocome	79626	12871	14218	733	733	733	592
Eudyptes_chrysolophus	79627	15079	16152	751	751	751	606
Eudyptes_filholi	1419345	12955	13993	747	747	747	602
Eudyptes_moseleyi	2495534	15514	16610	880	880	878	685
Eudyptes_schlegeli	57240	15790	16951	883	883	882	685
Eudyptes_sclateri	92688	12811	13831	726	726	726	586
Eudyptula_albosignata	345258	15477	17226	789	789	789	634
Eudyptula_minor	37083	15672	17556	783	783	783	627
Eudyptula_novaehollandiae	2052820	15149	16969	816	816	816	654
Eulacestoma_nigropectus	461239	14313	16059	851	851	850	675
Eurypyga_helias	54383	15656	15669	822	822	719	589
Eurystomus_gularis	325343	13953	15305	817	817	815	650
Falco_biarmicus	345155	41502	41530	900	900	892	700
Falco_cherrug	345164	42962	42980	910	910	906	709
Falco_naumanni	148594	41132	41160	919	919	917	715
Falco_peregrinus	8954	41990	42014	911	911	897	701
Falco_rusticolus	120794	41389	41414	925	925	907	708
Falcunculus_frontatus	254539	14459	16010	848	848	847	669
Ficedula_albicollis	59894	26464	26481	894	894	884	702
Formicarius_rufipectus	1118560	13609	15393	842	842	842	668
Fregata_magnificens	37042	13189	14822	783	783	780	614
Fregetta_grallaria	79628	13517	15459	782	782	782	621
Fulmarus_glacialis	30455	16240	16251	848	848	758	614
Furnarius_figulus	463165	13878	15452	846	846	845	667
Galbula_dea	1109041	14674	16106	888	888	888	695
Gallus_gallus	9031	49673	49772	932	932	797	611
Gavia_stellata	37040	15697	15709	839	839	725	592
Geococcyx_californianus	8947	13481	14734	797	797	797	627
Geospiza_fortis	48883	20619	20627	885	885	838	673
Glareola_pratincola	43316	13787	15334	836	836	836	673
Glaucidium_brasilianum	78217	14195	15602	854	854	854	682
Grallaria_varia	117165	13918	15487	842	842	839	666
Grantiella_picta	266360	14078	15742	857	857	857	675
Grus_americana	9117	49146	49200	955	955	952	721
Gymnogyps_californianus	33616	25288	25333	883	883	843	675
Gymnorhina_tibicen	9132	14317	16013	838	838	832	666
Halcyon_senegalensis	342381	14274	15694	852	852	852	681
Haliaeetus_albicilla	8969	19224	19236	849	849	756	611
Haliaeetus_leucocephalus	52644	25265	25280	932	932	920	717
Haliotis_rufescens	6454	55609	55609	957	957	957	716
Harpia_harpyja	202280	44808	44852	937	937	921	714
Heliornis_fulica	54369	13543	14993	814	814	810	654
Herpetotheres_cachinnans	56343	14335	15806	862	862	862	685
Hippolais_icterina	68497	13649	15369	811	811	808	652
Hirundo_rustica	43150	37939	37958	914	914	899	713
Hylia_prasina	208073	13461	15213	799	799	797	641
Hypocryptadius_cinnamomeus	589841	12390	13837	770	770	768	604
Ibidorhyncha_struthersii	425643	13853	15486	824	824	822	658
Ifrita_kowaldi	461245	14022	15552	836	836	835	667
Illadopsis_cleaveri	201329	13414	15145	817	817	811	654
Indicator_indicator	1002788	20192	20199	894	894	886	703
Indicator_maculatus	545262	13966	15390	862	862	861	679
Irena_cyanogastra	175120	14236	16049	838	838	835	664
Jacana_jacana	54508	13240	14651	797	797	792	636
Lagopus_leucura	30410	33183	33208	914	914	895	702
Lagopus_muta	64668	43798	43848	914	914	898	713
Lamprotornis_superbus	245042	14256	14846	836	836	831	679
Lanius_ludovicianus	28713	13688	15437	825	825	821	657
Larus_smithsonianus	243888	14080	15341	827	827	827	640
Leiothrix_lutea	36275	13282	15309	786	786	786	625
Lepidothrix_coronata	321398	36671	36686	912	912	899	715
Leptocoma_aspasia	2585812	13732	15795	829	829	828	664
Leptosomus_discolor	188344	16371	16384	848	848	758	617
Locustella_ochotensis	187437	13928	15665	831	831	831	662
Lonchura_striata	40157	29134	29150	944	944	922	709
Lophotis_ruficrista	172689	13916	15292	829	829	829	667
Loxia_curvirostra	64802	14578	16361	866	866	861	678
Loxia_leucoptera	96539	13993	15803	827	827	818	656
Machaerirhynchus_nigripectus	1160894	13969	15706	818	818	816	654
Malurus_elegans	720584	14038	15586	849	849	848	673
Manacus_candei	415023	44973	45016	939	939	926	719
Manacus_vitellinus	328815	24616	24624	868	868	823	663
Megadyptes_antipodes	37085	14596	16328	816	816	816	658
Melanocharis_versteri	254552	13985	15648	832	832	822	655
Meleagris_gallopavo	9103	29660	29710	906	906	871	686
Melopsittacus_undulatus	13146	29165	29187	945	945	939	706
Melospiza_melodia	44397	14000	16856	806	806	806	640
Melozone_crissalis	40204	27114	27338	930	930	916	719
Menura_novaehollandiae	47692	14444	16027	845	845	845	671
Mesembrinibis_cayennensis	1118748	13877	15762	827	827	825	653
Mesitornis_unicolor	54374	16646	16661	861	861	773	625
Mionectes_macconnelli	254557	14186	15664	849	849	849	676
Mohoua_ochrocephala	874463	13579	15105	799	799	799	643
Molothrus_ater	84834	28498	28503	926	926	894	697
Motacilla_alba	45807	42246	42301	894	894	883	699
