species	delta_TriQuaSexv1	rho_aa_fpkmv1	nb_genesv1	pval_aa_fpkmv1	nb_aav1	nb_scuv1
Thamnophis_sirtalis	0.00227	0.690892960024294	8187	0.000524973401873598	9	16
Thamnophis_elegans	0.01109	0.687951532394812	9551	0.000566992798366608	9	19
Naja_naja	0.00741	0.701403207439231	9434	0.000395806798579477	9	17
Aquila_chrysaetos	0.0244	0.686179768894471	9836	0.000593661870678833	9	16
Catharus_ustulatus	0.03304	0.580920762335928	11724	0.00575316122060768	9	18
Corvus_cornix	0.027	0.771444817229877	10369	0.0000422581902312423	9	20
Hirundo_rustica	0.03827	0.752641011326272	9050	0.0000826539787818825	9	17
Panthera_leo	0.02083	0.76023407861576	7431	0.0000634947480166472	9	15
Pteropus_giganteus	-0.01485	0.713962151704702	10877	0.00027800642238668	9	14
Myotis_brandtii	0.02268	0.416017035650435	10699	0.0606895800173723	9	18
Phascolarctos_cinereus	0.01749	0.875002967001853	7930	0.00000021026762607546	9	15
Trichechus_manatus	0.00462	0.768281158135642	6390	0.0000475101837803294	9	11
Caenorhabditis_elegans	0.10084	0.846830387773082	11698	0.0000012924478883914	9	16
Meriones_unguiculatus	0.02761	0.703127384197918	10846	0.000377462825783259	9	15
Zonotrichia_albicollis	0.02058	0.824684911066448	6048	0.0000042545383836962	9	18
Bactrocera_oleae	0.06634	0.867360941422674	6706	0.000000358191317472	9	15
Bagarius_yarrelli	0.01679	0.778537614565575	8017	0.0000322784175756079	9	14
Salmo_salar	0.00347	0.828571428571429	22765	0.00000349426535668739	9	12
Acinonyx_jubatus	NA	0.706992804538663	4457	0.000338963722268133	9	19
Neomonachus_schauinslandi	0.02023	0.734721037337048	11709	0.000148710676454459	9	18
Vulpes_lagopus	0.02863	0.757971515404692	11291	0.0000687527796264498	9	15
Halichoerus_grypus	0.02764	0.659083836167125	9229	0.00115587429765281	9	15
Nyctereutes_procyonoides	0.02991	0.762525850690386	12910	0.0000585275458475185	9	16
Vulpes_vulpes	0.0303	0.626992698781298	12331	0.00235103035125488	9	19
Leptonychotes_weddellii	0.00958	0.698993027284275	12335	0.000422724607522127	9	19
Mirounga_leonina	0.02052	0.69123542372246	5428	0.000520258621953811	9	14
Puma_concolor	0.00215	0.674270678057415	2755	0.000802230994687205	9	15
Aphelenchus_avenae	0.03414	0.716515560305687	14941	0.000258162333623943	9	16
Orbicella_faveolata	0.01525	0.710851352141574	4961	0.000303938795226284	9	12
Hydra_vulgaris	0.01585	0.85045585560784	11140	0.00000104483004703404	9	14
Stylophora_pistillata	0.0073	0.605982306900999	13867	0.00359503492240653	9	10
