species	gap_Wb_WC_notambiguous	gap_WC_duet	gap_WC_duet_ambiguous	gap_WC_duet_notambiguous	rho_aa_fpkm	pval_aa_fpkm	nb_codon_not_decoded	gc3	var_gc3	gci	var_gci	gc3_top5	gci_top5	lm_r2_gc3_gci	lm_pval_gc3_gci	nb_genes	nb_aa	species	freq_constrain_Wb_WC_notambiguous	freq_constrain_WC_duet	freq_constrain_WC_duet_ambiguous	freq_constrain_WC_duet_notambiguous
Microtus_ochrogaster	0.02582	0.00349999999999995	-0.00517000000000001	0.00416	0.756595754107771	0.000113076201203124	0	0.605196601185016	0.0135183409017492	0.459786549158426	0.00343280474426345	0.617372106711243	0.467496714415278	0.554937622866305	0	15927	2	Microtus_ochrogaster	0.016733338385128	-0.02684811682362	-0.0309042317089681	-0.0116619034480631
Lonchura_striata	0.07178	0.088	0.10002	0.0843099999999999	0.798970900809078	0.0000239160122078238	0	0.618790648506825	0.0298425215531341	0.453867445587082	0.00926079915409564	0.755722253503069	0.545441053885094	0.652517174033722	0	12335	4	Lonchura_striata	0.0150343919169751	-0.0229354986227479	-0.00353161582949291	-0.024126458581209
Cyprinus_carpio	0.01336	0.0306699999999999	0.04964	0.0302899999999999	0.732882073534183	0.00023731061938129	0	0.563198999923524	0.00845602864211211	0.3369442454353	0.00125970416173795	0.60588343709579	0.344658345108018	0.0245963927332151	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000611234153071061	34453	8	Cyprinus_carpio	NA	NA	NA	NA
Callithrix_jacchus	0.00768000000000002	-0.0116699999999999	0.00626000000000004	-0.03451	0.751888790567584	0.000131840068023983	0	0.594124574561334	0.0249353119712675	0.458558246922029	0.00643506995896835	0.636145266324284	0.49154370343907	0.615793313023851	0	18892	3	Callithrix_jacchus	NA	NA	NA	NA
Pelodiscus_sinensis	0.0137099999999999	0.00768999999999997	-0.00967000000000007	0.01214	0.626270628783205	0.00313416450497703	0	0.537950848817229	0.0266538277451783	0.467402929810674	0.0053994895483968	0.540073980091784	0.464749410591958	0.674542287263513	0	14549	7	Pelodiscus_sinensis	NA	NA	NA	NA
Panthera_tigris	0.0267	0.02011	0.01458	0.0174200000000001	0.545944506952286	0.012767909499624	0	0.591990149404062	0.0236266399300573	0.461160221538747	0.00767985694473451	0.641462095928775	0.487710967746133	0.663091551493064	0	12933	4	Panthera_tigris	0.00638983756999101	-0.017110389364118	-0.01253330250406	-0.0145324313288899
Monodelphis_domestica	0.02529	0.00929000000000008	-0.00134999999999996	0.00972000000000006	0.583805178385833	0.00688135336652142	0	0.536621387086575	0.0203862813832141	0.416667028355818	0.00574381062522686	0.536581735706954	0.423027414139271	0.569785909162916	0	16784	5	Monodelphis_domestica	0.012533984782956	-0.025298295760908	-0.0459663288302891	-0.00577259742195502
Heterocephalus_glaber	0.01924	0.00791999999999998	-0.000890000000000002	0.02194	0.595774614551689	0.005572770931311	0	0.612908779500839	0.0254219842358313	0.460131707352811	0.00787353929253422	0.634240035714662	0.475326624136433	0.651416908493869	0	15306	3	Heterocephalus_glaber	0.021253010747428	-0.00990017372401208	-0.030518347186408	0.019072506110321
Macaca_mulatta	0.00689000000000001	-0.03107	-0.01314	-0.05078	0.792313349751464	0.0000312368438291016	0	0.598375092978125	0.025983292562944	0.461237771377776	0.00656024394873697	0.620767374333199	0.48568347329066	0.620537682031352	0	18140	3	Macaca_mulatta	-0.00222495401325401	-0.021236176294499	-0.033974421125893	-0.00647527665020398
Ornithorhynchus_anatinus	0.00607000000000002	-0.0187499999999999	0.00266000000000005	-0.0309400000000001	0.817463825551155	0.0000107870323604555	0	0.700338222303453	0.0283533155944314	0.519181302658752	0.00764608855566761	0.723685168379875	0.535902034104093	0.617197785697751	0	14170	4	Ornithorhynchus_anatinus	0.011674958455003	-0.016725721843886	-0.0252207964879601	-0.019169485394795
