species	brain_size_max	body_mass_max
Apis_mellifera	0.0000009279224273732	0.000084
Aplodontia_rufa	NA	0.63
Apoica_pallens	0.0000004245528	NA
Aprosmictus_erythropterus	0.0039886	0.155
Apterostigma_sp.1	0.000000042	0.0000006235
Apterostigma_sp.2	0.000000051	0.000000737
Apterostigma_sp.3	0.000000082	0.000002381
Apteryx_australis	NA	3.07
Apteryx_haasti	NA	2.87
Apteryx_owenii	NA	1.525
Aquila_audax	0.01682464	3.814
Aquila_rapax	0.01409	2.625
Arachnothera_flavigaster	NA	0.0363
Arachnothera_longirostra	NA	0.013
Arborimus_longicaudus	NA	0.0218
Archilochus_alexandri	NA	0.0032
Arctictis_binturong	0.0424	NA
Arctocephalus_australis	0.3075	NA
Arctocephalus_forsteri	0.32	NA
Arctocephalus_galapagoensis	0.29125	NA
Arctocephalus_gazella	0.34	NA
Arctocephalus_philippii	0.415	NA
Arctocephalus_pusillus	0.36938	NA
Arctocephalus_tropicalis	0.32625	NA
Ardea_ibis	0.00394716	0.363
Ardea_intermedia	0.0047	0.525
Ardea_intermedia_intermedia	0.0042994	0.403
Ardea_modesta	0.00522144	1.1615
Ardea_pacifica	0.00534576	0.91
Ardea_sumatrana	0.00904428	1.95
Ardenna_grisea	0.00550116	0.8
Ardenna_pacifica	0.00411292	0.465
Ardenna_pacificus	NA	0.3378
Ardenna_tenuirostris	0.004662	0.585
Ardeotis_australis	0.0120694	5.5
Arenaria_interpres	0.00138824	0.115
Argiope_argentata	0.0000003451952	0.00025
Argiope_aurantia	NA	0.000858
Arses_telescophthalmus	0.00064232	0.013
Artace_sp.	NA	0.000145
Artamus_cinereus	0.00095312	0.0377
Artamus_cyanopterus	0.001036	0.035
Artamus_leucorynchus	0.00111888	0.041
Artamus_minor	0.00053872	0.017
Artamus_personatus	0.00106708	0.0347
Artamus_superciliosus	0.00107744	0.035
Artibeus_jamaicensis	0.00093	0.0375
Artibeus_lituratus	0.00105	0.0587
Arvicola_richardsoni	NA	0.08
Ashbyia_lovensis	0.00069412	0.018
Aspidites_melanocephalus	NA	1.0275
Aspidoscelis_gularis	0.0000667184	NA
