species	brain_size_max	body_mass_max
Dorcopsis_luctuosa	0.0213416	7.392
Dorcopsis_muelleri	0.0211344	5.4
Dorcopsulus_macleayi	0.013986	2.5
Dorcopsulus_vanheurni	0.0122248	1.546
Draco_volans	0.000058	NA
Drepanis_coccinea	NA	0.015
Dromaius_novaehollandiae	0.02991968	44.61
Dromiciops_gliroides	0.00083916	0.0214
Drosophila_melanogaster	0.00000000433055252	0.00000095
Drosophila_mimica	NA	0.00000244
Drosophila_nikkananu	NA	0.00000049
Drosophila_virilis	NA	0.00000167
Drymodes_brunneopygia	0.0009842	0.0335
Dryoctenes_scrupulosa	NA	0.001823
Dumetella_carolinensis	0.001412	0.033
Dyscinetus_sp.	NA	0.00039
Eacles_imperialis	NA	0.001357
Eburia_sp.	NA	0.000715
Echimys_chrysurus	0.00502	0.652
Echinops_telfairi	0.00062	0.0875
Echinosorex_gymnura	0.0055	0.957
Echymipera_clara	0.00464128	1.207
Echymipera_kalubu	0.00380212	0.697
Echymipera_rufescens	0.00386428	0.798
Eciton_burchellii	0.000000202	0.000017449
Eciton_hamatum	NA	0.00002388
Eciton_rufa	NA	0.0000193
Eclectus_roratus	0.00762496	0.507
Ectatomma_ruidum	0.00000022	0.000010531
Ectatomma_tuberculatum	0.000000387	0.00001852
Edrotes_ventricosus	NA	0.00002435
Egretta_novaehollandiae	0.00405076	0.58
Eira_barbara	0.0442	2
Elanus_axillaris	0.00349132	0.2605
Eleodes_armata	NA	0.0004519
Eleodes_grandicollis	NA	0.00052193
Eleodes_sp.	NA	0.00008885
Eleodes_tenebrosa	NA	0.00005153
Elephantulus_brachyrhynchus	NA	0.0453
Elephantulus_fuscipes	0.00133	0.057
Elephantulus_intufi	NA	0.04649
Elephantulus_myurus	NA	0.06297
Elephantulus_rozeti	NA	0.04531
Elephantulus_rufescens	NA	0.053
Eligmodontia_typus	NA	0.0175
Elseyornis_melanops	0.00087024	0.0325
Emberiza_capensis	NA	0.0199
Empidonax_occidentalis	NA	0.01172
Emys_orbicularis	0.00025	0.25
Encoptolophus_sordidus	NA	0.0000582
Enicurus_leschenaulti	NA	0.03569
Entomyzon_cyanotis	0.00231028	0.1033
Enyo_ocypete	NA	0.000575
Eolophus_roseicapillus	0.00666148	0.312
Eonycteris_spelea	0.00118	0.05
Eopsaltria_australis	0.00089096	0.0199
Eopsaltria_georgiana	0.000777	0.0185
Eopsaltria_griseogularis	0.00085988	0.0201
Ephebopus_sp.	0.000000382284	NA
Ephestia_kuehniella	0.0000000000000048692	NA
Epicrius_mollis	NA	0.0000000573
Epiphysa_arenicola	NA	0.001187
Epomophorus_gambianus	0.00433	0.309
Epthianura_albifrons	0.00054908	0.013
Epthianura_aurifrons	0.00044548	0.011
Epthianura_tricolor	0.00045584	0.011
Equus_Asinus	NA	105.5
Eratigena_atrica	0.000000137788	NA
Eremitalpa_granti	NA	0.02062
Erethizon_dorsatum	0.03077	3.41
Erinaceus_concolor	NA	0.8227
Erinaceus_europaeus	0.0065	0.985
Erinnyis_ello	NA	0.00121
Erinnyis_oenotrus	NA	0.000964
Erythemis_simplicicollis	NA	0.000263
Erythrocebus_patas	0.1002	7.376
Erythrodiplax_berenice	NA	0.000125
Erythrodiplax_connata	NA	0.000052
Erythrogonys_cinctus	0.0010878	0.0484
Erythropygia_coryphaeus	NA	0.021
Erythrura_gouldiae	0.00054908	0.0145
Erythrura_trichroa	0.00060088	0.0145
Esacus_magnirostris	0.0055426	1
Eublaberus_posticus	NA	0.0022
Eucyllus_unicolor	NA	0.00000259
Eucyllus_vagans	NA	0.00000743
Eudynamys_orientalis	0.00254856	0.243
Eudynamys_scolopacea	NA	0.188
Eudyptes_pachyrhynchus	NA	2.6
Eudyptula_minor	0.00762496	1.1
Eugenes_fulgens	NA	0.0079
Euglyphis_sp.	NA	0.000087
Eulampis_jugularis	NA	0.0095
Eulemur_albifrons	0.0223	1.54
Eulemur_catta	0.022	1.96
Eulemur_fulvus	0.0233	1.4
Eulemur_macaco	0.0245	2.04
Eulemur_mongoz	0.0258	1.808
Eulemur_rufiventer	0.0266	1.4
Eulemur_rufriventer	0.0283	1.79
Eulemur_variegatus	0.0315	3
Eumeces_schneiderii	0.0001715	NA
Eumetopias_jubatus	0.66125	NA
Euphractus_sexcinctus	0.0335	7.99
Eurostopodus_argus	0.00128464	0.0975
Eurostopodus_mystacalis	0.00137788	0.13
Eurystomus_orientalis	0.00205128	0.1875
Eusattus_dubius	NA	0.00002722
Euschides_luctata	NA	0.0000838
Eustala_illicita	NA	0.000014
Eutamias_amoenus_luteiventris	NA	0.0573
Eutamias_minimus_borealis	NA	0.0493
Eutamias_minimus_oreocetes	NA	0.0458
Excalfactoria_chinensis	0.00058016	0.0427
Faiditus_elevatus	0.0000000551152	0.000003
Faiditus_sp.	0.0000000557368	0.0000027
Falco_berigora	0.00646464	0.5475
Falco_cenchroides	0.00324268	0.185
Falco_longipennis	0.0034706	0.2485
Falco_peregrinus	0.00641284	0.715
Falco_sparverius	0.00251	0.112
Falco_subniger	0.006734	0.765
Falcunculus_frontatus	0.00128464	0.028
Felis_silestris	0.02837	5.012
Felis_silvestris	0.0328	3.96
Ficedula_hyperythra	NA	0.00844
Fidicina_mannifera	NA	0.00284
Florisuga_mellivora	NA	0.0069
Forelius_foetidus	NA	0.0000001
Formica_exsecta	NA	0.00000135
Formica_fusca	NA	0.00000147
Formica_occulta	NA	0.0000013
Formica_pratensis	NA	0.00000239
Formica_subsericea	0.00000007330985676	NA
Fregata_aquila	0.00945	1.405
Fregata_minor	0.00956228	1.44
Frontinella_pyramitela	NA	0.0000076
Fukomys_damarensis	NA	0.124
Fukomys_mechowi	NA	0.267
Fulica_atra	0.0029526	0.754
Fulmarus_glacialoides	0.00772856	0.8
Furcifer_lateralis	0.000061	NA
Galago_senegalensis	0.005	0.2
Galagoides_crassicaudatus	0.0103	0.85
Galagoides_demidovii	0.00338	0.081
Galagoides_senegalensis	0.0048	0.186
Galerella_sanguinea	NA	0.54
Galictis_cuja	0.02352	1
Galictis_vittata	0.0153	0.92
Gallinago_hardwickii	0.00206164	0.19
Gallinula_tenebrosa	0.00280756	0.528
Gallirallus_philippensis	0.00204092	0.1815
Gallus_bankiva	0.003916	2.2
Garrulax_leucolophus	0.00255	NA
Gavia_stellata	0.00638	1.568
Gekko_gecko	0.000198	NA
Genetta_pardina	0.0154	1.032
Genetta_tigrina	0.01589	1.698
Geoffroyus_geoffroyi	0.00441336	0.152
Geomys_bursarius	NA	0.197
Geopelia_cuneata	0.00080808	0.033
Geopelia_humeralis	0.00130536	0.13
Geopelia_striata	0.00081844	0.0485
Geophaps_plumifera	0.00122248	0.095
Geophaps_smithii	0.00144004	0.205
Georychus_capensis	NA	0.28
Gerbillus_allenbyi	NA	0.0353
Gerbillus_gerbillus	0.0034	0.095
Gerbillus_nanus	NA	0.0284
Gerygone_chloronota	0.00037296	0.0065
Gerygone_fusca	0.00035224	0.006
Gerygone_magnirostris	0.00043512	0.007
Gliciphila_melanops	0.00064232	0.0188
Glis_glis	0.0019	0.148
Glossina_pallidipes	NA	0.00002672
Glossophaga_soricina	0.00039	0.0112
Glossopsitta_concinna	0.00297332	0.07
Glossopsitta_porphyrocephala	0.00195804	0.045
Glossopsitta_pusilla	0.00164724	0.0415
Gnamptogenys_sp.1	0.000000028	0.000000576
Gnamptogenys_sp.2	0.000000244	0.000009873
Gorilla_gorilla	0.45455	181
Grallina_cyanoleuca	0.00174048	0.088
Grantiella_picta	0.0007252	0.0215
Griburius_sp.	NA	0.00000942
Gromphadorhina_chopardi	NA	0.0034
Gromphadorhina_portentosa	NA	0.00495
Grus_antigone	0.02078216	5.75
Grus_rubicunda	0.01832684	6.2
Gygis_alba	NA	0.0981
Gymnobelideus_leadbeateri	0.0029526	0.0905
Gymnorhina_tibicen	0.0041	NA
Gymnorhinus_cyanocephalus	0.0026	0.105
Gyps_africanus	0.0196	5.27
Haematopus_fuliginosus	0.00539756	0.7594
Haematopus_longirostris	0.00473452	0.6781
Haliaeetus_leucogaster	0.01308468	3.35
Haliaeetus_vocifer	0.01293	3.5
Haliastur_indus	0.0064232	0.5835
Haliastur_sphenurus	0.00684796	0.775
Halichoerus_grypus	0.3075	NA
Halobaena_caerulea	0.00286972	0.201
Hamirostra_melanosternon	0.0107226	1.3
Hapigia_simplex	NA	0.000478
Hedydipna_collaris	NA	0.0083
Heliconius_erato	0.0000006417175165828	NA
Heliconius_himera	0.0000006159265501956	NA
Heliothis_virescens	0.000000152828648	NA
Helius_waitei	NA	0.000757
Heloderma_suspectum	0.000729	0.514
Hemibelideus_lemuroides	0.0032634	0.496
Hemicentetes_semispinosus	0.00083	0.11
Hemidactylus_mabouia	0.000033	NA
Hemidactylus_turcicus	0.0000211344	NA
Herpestes_auropunctatus	NA	0.611
Herpestes_smithii	0.0146	1.205
Herpestes_urva	0.0223	1.863
Heteromyias_cinereifrons	0.0010878	0.035
Hieraaetus_morphnoides	0.00809116	0.815
Hierophis_viridiflavus	0.000209	0.22
Himantopus_himantopus	0.0019684	0.1744
Himatione_sanguinea	NA	0.0129
Hipposideros_bicolor	0.00024	0.0084
Hipposideros_caffer	0.00032	0.0107
Hirundapus_caudacutus	0.00133644	0.1175
Hirundo_neoxena	0.00049728	0.015
Hirundo_rustica	0.000904	0.0215
Hirundo_tahitica	NA	0.01407
Homo_sapiens	1.57	95
Homonota_gaudichaudii	NA	0.00079
Hophlosphyrum_griseus	NA	0.0000422
Hydrochaeris_hydrochaeris	NA	26.4
Hydrochoerus_isthmius	0.05221	27.67
Hydromys_chrysogaster	NA	0.77
Hydroprogne_caspia	0.00485884	0.5655
Hydrurga_leptonyx	0.7125	NA
Hyla_versicolor	0.00004225844	0.01315
Hylacola_cauta	0.00083916	0.0147
Hylacola_pyrrhopygia	0.00106708	0.017
Hylesia_praeda	NA	0.000153
Hylesia_sp.	NA	0.000771
Hylobates_muelleri	0.09531	5.95488
Hylobates_syndactylus	0.1348	12.172
Hylomys_sulillus	NA	0.0773
Hymenolaimus_malacorhynchos	0.00583268	NA
Hyperchirica_nausica	NA	0.000216
Hypothymis_azurea	NA	0.0108
Hypsignathus_monstrosus	0.0034	0.34
Hystrix_africaeaustralis	0.03571	14.936
Hystrix_brachyura	0.03764	8
Hystrix_cristata	0.04955	20
Hystrix_indica	0.04407	14.65
Hystrix_sumatrae	0.02704	3.26
Ichneumia_albicauda	0.0283	4.4
Ictidomys_tridecemlineatus	0.0024	0.2338
Ictonyx_striatus	0.00817	1.3
Iguana_iguana	0.000606	NA
Indri_indri	0.0383	6.25
Insara_covilleae	NA	0.0001032
Irediparra_gallinacea	0.00117068	0.108
Isoodon_macrourus	0.00457912	0.822
Isoodon_obesulus	0.00403004	0.691
Ixobrychus_dubius	0.0017094	0.0895
Ixobrychus_flavicollis	0.0026936	0.3665
Jaculus_orientalis	0.0025	0.098
Junco_hyemalis	NA	0.02199
Kerodon_rupestris	NA	0.801
Lacerta_lepida	0.000224	NA
Lacerta_muralis	0.000046	NA
Lacerta_viridis	0.000134	0.05
Lacerta_vivipara	0.000028	NA
Lagidium_viscacia	0.016	3.845
Lagopus_lagopus	0.0028	0.542
Lagorchestes_conspicillatus	0.014504	2.015
Lagorchestes_hirsutus	0.00804972	1.05
Lagorchestes_leporides	0.0130536	1.598
Lagostrophus_fasciatus	0.007252	0.773
Lagothrix_lagothricha	0.0925	5.26
Lagurus_curtatus	NA	0.0303
Lalage_sueurii	0.00090132	0.0275
Lama_glama	NA	115
Lampornis_clemenciae	NA	0.0083
Lanius_cristatus	NA	0.0268
Larus_argentatus	0.00508	0.535
Larus_delawarensis	0.00872	0.72
Larus_dominicanus	0.00684796	0.94
Larus_pacificus	0.0070448	1.187
Larus_philadelphia	0.00249	0.205
Larvivora_cyane	NA	0.0079
Lasiorhinus_latifrons	0.057498	19.264
Lasius_alienus	NA	0.00000046
Lasius_flavus	NA	0.00000086
Lasius_niger	NA	0.00000058
Lasius_sitiens	NA	0.00000029
Lathamus_discolor	0.00245532	0.065
Latrodectus_mactans	NA	0.0003505
Leiocephalus_carinatus	0.0000716912	NA
Leipoa_ocellata	0.004662	2
Leipomeles_dorsata	0.0000000918932	NA
Lemmus_sibiricus	NA	0.044
Lemmus_trimucronatus	0.001312	0.064
Lemur_catta	0.0218	2.35
Leontopithecus_rosalia	0.014	0.51238
Lepilemur_ruficaudatus	0.0076	0.915
Leptailurus_serval	0.06674	9.955
Leptogenys_attenuata	NA	0.00000538
Leptogenys_nitida	NA	0.00000171
Leptogenys_schwabi	NA	0.00000847
Leptonychotes_weddellii	0.58625	NA
Leptonycteris_curasoae	0.00055	0.0245
Leptoptilos_crumeniferus	0.03014	7.13
Leptothorax_acerovorum	NA	0.00000037
Leptotila_verreauxi	NA	0.131
Lepus_arcticus	0.01436	3.0044
Lepus_californicus	0.012	NA
Lepus_capensis	0.01023	2.93
Lepus_europaeus	0.0178	NA
Lepus_sp.	0.01059	3.68
Leucauge_mariana	0.0000001580936	0.00006
Leucocarbo_atriceps	NA	2.66
Leucosarcia_melanoleuca	0.00249676	0.415
Lewinia_pectoralis	0.00138824	0.0875
Liasis_fuscus	NA	1.3069
Liasis_olivaceus	NA	3.3232
Libellula_auripennis	NA	0.000464
Libellula_needhami	NA	0.000518
Libellula_spp._(combined)	NA	0.000491
Lichenostomus_chrysops	0.00074592	0.01625
Lichenostomus_cratitius	0.00095312	0.02
Lichenostomus_flavescens	0.00053872	0.0138
Lichenostomus_flavus	0.00073556	0.022
Lichenostomus_frenatus	0.00107744	0.035
Lichenostomus_fuscus	0.00075628	0.0172
Lichenostomus_hindwoodi	0.00092204	0.02345
Lichenostomus_keartlandi	0.00071484	0.015
Lichenostomus_leucotis	0.00092204	0.0224
Lichenostomus_melanops	0.00095312	0.0267
Lichenostomus_ornatus	0.000777	0.017
Lichenostomus_penicillatus	0.00085988	0.0177
Lichenostomus_plumulus	0.00089096	0.0167
Lichenostomus_unicolor	0.00084952	0.031
Lichenostomus_virescens	0.00095312	0.0253
Lichmera_indistincta	0.00052836	0.0103
Limax_maximus	0.0000133	0.00417
Limicola_falcinellus	0.00074592	0.04
Limnogale_mergulus	0.00115	0.092
Limosa_lapponica	0.00286972	0.3336
Liocranoides_sp.	NA	0.0001455
Liolaemus_chiliensis	0.0001035	NA
Lirimiris_sp.	NA	0.000564
Lobodon_carcinophagus	0.58625	NA
Lonchura_maja	NA	0.0128
Lonchura_malacca	NA	0.0118
Lophochroa_leadbeateri	0.00877492	0.387
Lophoictinia_isura	0.006734	0.5675
Lopholaimus_antarcticus	0.00280756	0.575
Loriculus_galgulus	NA	0.027
Loris_tardigradus	0.0066	0.322
Loxops_parva	NA	0.0079
Loxops_virens	NA	0.0107
Loxosceles_deserta	NA	0.000079
Loxosceles_laeta	NA	0.0003279
Loxosceles_unicolor	NA	0.00001555
Lugensa_brevirostris	0.00441336	0.357
Lumbricus_terrestris	0.0000214	0.00609
Lycosa_howarthi	NA	0.0001844
Lycosa_sp.	NA	0.000123
Lygus_kalmii	NA	0.00001017
Macaca_arctoides	0.1016	7.81
Macaca_assamensis	0.0905	3.655
Macaca_fascicularis	0.079	4.74
Macaca_leonina	0.09	2.05
Macaca_maura	0.09448	6.846
Macaca_mulatta	0.0907	5.21
Macaca_nemestrina	0.117	6.625
Macaca_pileatus	0.0601	2.22
Macaca_rhesus	0.1057	3.845
Macaca_sylvanus	0.0877	NA
Macacus_mulatta	0.118	9.163
Macrochelys_lacertina	0.00101	1.848
Macroderma_gigas	NA	0.15
Macrodontia_dejeani	NA	0.00486
Macroglossum_stellatarum	0.0000004771639524652	NA
Macronectes_giganteus	0.01858584	4.78
Macropus_agilis	0.0344988	14.066
Macropus_antilopinus	0.0588448	31.286
Macropus_dorsalis	0.0302512	8.728
Macropus_eugenii	0.0245532	4.425
Macropus_fuliginosus	0.060088	31.04
Macropus_giganteus	0.0723128	38.977
Macropus_greyi	0.0259	9.016
Macropus_irma	0.0255892	4.684
Macropus_parma	0.0193732	3.76
Macropus_parryi	0.0427868	15.194
Macropus_robustus	0.061124	35.54
Macropus_rufogriseus	0.037296	12.09
Macropus_rufus	0.0646464	44.841
Macropygia_amboinensis	0.00154364	0.2
Macroscelides_proboscideus	NA	0.039
Macrotis_lagotis	0.00680652	1.859
Macrotis_leucura	0.0044548	0.877
Madoqua_kirkii	NA	3.97
Madoryx_oeclus	NA	0.001904
Makalata_didelphoides	0.00345	0.108
Makalata_macrura	0.00389	0.439
Malacopteron_cinereum	NA	0.0158
Malacorhynchus_membranaceus	0.0029526	0.375
Malurus_coronatus	0.00049728	0.0105
Malurus_cyaneus	0.00048692	0.0106
Malurus_elegans	0.00059052	0.00975
Malurus_lamberti	0.00047656	0.008
Malurus_leucopterus	0.00040404	0.0075
Malurus_melanocephalus	0.0004662	0.0073
Malurus_pulcherrimus	0.00043512	0.00925
Malurus_splendens	0.0004662	0.0092
Mamestra_brassicae	0.0000000000000076664	NA
Manacus_vitellinus	NA	0.0182
Mandrillus_sphinx	0.1592	11.5
Manduca_corallina	NA	0.002484
Manduca_lefeburei	NA	0.000571
Manduca_rustica	NA	0.002916
Manduca_sexta	0.0000009136992676	NA
Manis_javanica	NA	4.22
Manis_pentadactyla	0.01764	4.675
Manis_tricuspis	0.0093	2.067
Manorina_flavigula	0.00141932	0.0603
Manorina_melanocephala	0.00192696	0.068
Manorina_melanophrys	0.00118104	0.03
Marmosa_elegans	0.00073556	0.0201
Marmosa_mexicana	0.001036	0.0467
Marmosa_mitis	0.0007252	0.0505
Marmosa_murina	0.0011396	0.06
Marmosa_rubra	0.0012432	0.06
Marmota_sibirica	0.0181	1.89
Marpissa_bina	NA	0.000168
Marpissa_muscosa	NA	0.0000391
Martes_americana	NA	1.038
Mastomys_coucha	0.0007132	0.0218
Mecynogea_lemniscata	NA	0.000047
Megadyptes_antipodes	NA	4.8
Megalomyrmex_sp.1	0.00000001	0.000000137
Megalomyrmex_sp.2	0.000000047	0.000001189
Megalpyge_sp.	NA	0.000627
Megalurus_cruralis	0.00116032	0.0515
Megalurus_gramineus	0.00058016	0.0135
Megalurus_mathewsi	0.0009324	0.029
Melanerpes_formicivorus	NA	0.0867
Melanodryas_cucullata	0.0008288	0.0209
Melanodryas_vittata	0.001036	0.027
Melanoplus_complanipes	NA	0.00024104
Melanoplus_femurrubrum	0.00000233	0.000458
Meliphaga_gracilis	0.0006734	0.015
Meliphaga_lewinii	0.00121212	0.0362
Meliphaga_notata	0.00090132	0.026
Melithreptus_albogularis	0.00065268	0.012
Melithreptus_brevirostris	0.00070448	0.0154
Melithreptus_lunatus	0.0006216	0.0143
Melithreptus_validirostris	0.00132608	0.025
Mellivora_capensis	0.08604	9
Melloria_quoyi	0.0036778	0.1744
Melopsittacus_undulatus	0.001554	0.039
Melospiza_melodia	0.0011	0.021
Menemerus_bivittatus	NA	0.0000279
Menura_novaehollandiae	0.01109556	1.024
Mephitis_mephitis	0.01175	2.26
Mergus_serrator	0.005289	0.77
Meriones_unguiculatus	0.000968	0.054
Merops_ornatus	0.00064232	0.031
Merops_viridis	NA	0.03381
Mesechinus_dauuricus	0.0029	0.342
Mesomys_hispidus	0.00264	0.175
Messor_capensis	NA	0.0000434
Messor_pergandei	NA	0.0000097
Metachirus_nudicaudatus	0.003626	0.39
Metacyrba_labyrinthea	NA	0.0000112
Metaphidippus_vitis	NA	0.0000057
Metazygia_rogenhoferi	NA	0.0000245
Miathyria_marcella	NA	0.000184
Micrathena_sagittata	NA	0.000052
Microcarbo_melanoleucos	0.00553224	0.65
Microcebus_murinus	0.00178	0.054
Microeca_fascinans	0.00055944	0.0145
Microeca_flavigaster	0.00052836	0.0123
Microgale_cowani	0.00042	0.0152
Microgale_dobsoni	0.00056	0.0326
Microperoryctes_longicauda	0.00394716	0.479
Microtus_breweri	NA	0.0531
Microtus_drummondi	0.0006724	0.0325
Microtus_longicaudus	NA	0.0302
Microtus_montanus	NA	0.0512
Microtus_nivalis	NA	0.0333
Microtus_oeconomus	NA	0.0354
Microtus_pennsylvanicus	0.0007635	0.0447
Microtus_pinetorum	NA	0.0238
Microtus_xanthognathus	NA	0.0685
Midas_ursulus	0.0084	0.225
Miloderes_sp.	NA	0.0000034
Milvus_migrans	0.00602952	0.587
Mimon_crenulatum	0.00034	0.0148
Miniopterus_gigas	NA	0.1072
Miniopterus_schreibers	0.00029	0.0127
Miniopterus_schreibersii	NA	0.01091
Mirafra_javanica	0.00075628	0.0225
Mirounga_leonina	1.205	NA
Miscocyttarus_mastigophorus	0.000000261072	NA
Misumenoidea_formosipes	NA	0.0000487
Misumenoidea_sp.	NA	0.0000423
Molossus_ate	0.00048	0.0281
Molossus_major	0.00026	0.013
Molothrus_ater	0.002693	0.066
Monachus_monachus	0.48	NA
Monachus_schauinslandi	0.37	NA
Monachus_tropicalis	0.46	NA
Monarcha_melanopsis	0.00095312	0.023
Monodelphis_brevicaudata	0.0009324	0.0646
Monomorium_floricola	0.000000006	0.000000065
Monomorium_trageri	0.00000001	0.000000101
Monoxia_sp.	NA	0.00000463
Morelia_spilota	NA	1.5165
Morelia_variegata	NA	2.1735
Mormoops_megalophylla	0.00042	0.0156
Motacilla_sp.	0.0005698	0.023
Multareoides_bifuractus	NA	0.00000134
Mungos_mungo	0.0108	0.93
Murexia_longicaudata	0.00174048	0.2965
Murexia_rothschildi	0.0010878	0.062
Mus_musculus	NA	0.0321
Mus_sp.	0.000403	0.024
Muscardinus_avellanarius	0.0005	0.013
Mustela_arctica	0.00564	0.1693
Mustela_erminea	0.0046	0.179
Mustela_putorius	0.0075	0.415
Mustela_rixosa	NA	0.231
Mustela_vison	NA	0.788
Mycetophylax_sp.	0.000000047	0.0000014865
Mycocepurus_smithii	0.000000022	0.00000032
Mydaus_marchei	0.01487	1.414
Myiagra_alecto	0.00075628	0.0205
Myiagra_cyanoleuca	0.00065268	0.017
Myiagra_inquieta	0.00078736	0.017
Myiagra_rubecula	0.00055944	0.0126
Myoictis_melas	0.0021238	0.1311
Myophonus_borneensis	NA	0.11625
Myoprocta_acouchy	NA	0.914
Myopus_schisticolor	NA	0.0282
Myotis_bechsteini	0.000265	0.0075
Myotis_bocagei	0.00021	0.0076
Myotis_dasycneme	0.00031	0.015
Myotis_daubentoni	0.00023	0.007
Myotis_myotis	0.00048	0.025
Myotis_mystacinus	0.00016	0.004
Myotis_nattereri	0.00022	0.007
Myotis_nigricans	0.00012	0.0045
Myotomys_unisulcatus	NA	0.096
Myrmecia_croslandi	0.000000564	0.000026059
Myrmecia_gulosa	0.000001365	0.000110076
Myrmecia_midas	0.000001687	0.00017698
Myrmecia_nigriceps	0.000001232	0.000099754
Myrmecia_nigrocincta	0.000000613	0.000019621
Myrmecia_pyriformis	0.000001525	0.000127825
Myrmecia_tarsata	0.00000102	0.000095688
Myrmecobius_fasciatus	0.004403	0.4054
Myrmecophaga_tridactyla	NA	30.6
Myrmecotypus_rettenmeyeri	NA	0.0000218
Myrmica_alaskensis	NA	0.00000115
Myrmica_rubra	NA	0.00000092
Myrmicocrypta_ednaella	0.000000023	0.0000003195
Mysmena_sp.	0.0000000040404	0.0000001
Mysmenopsis_tengellacompa	0.0000000187516	0.0000003
Mystromys_albicaudatus	NA	0.09378
Myzomela_obscura	0.00052836	0.013
Myzomela_sanguinolenta	0.00035224	0.008
Naja_melanoleuca	0.000646	NA
Nanosella_sp.	0.000000000097709304	NA
Napothera_crassa	NA	0.02779
Nasua_narica	0.04417	6.25
Natalus_tumidirostris	NA	0.0054
Natrix_helvetica	NA	0.0825
Natrix_maura	0.000095	0.0225
Natrix_natrix	0.0001	0.07
Nauphoeta_cinerea	NA	0.000515
Nectarinella_championi	0.0000001487696	NA
Nectarinia_chalybea	NA	0.00808
Nectarinia_killmensis	NA	0.0142
Nectarinia_tacazze	NA	0.0135
Neochmia_phaeton	0.000518	0.0099
Neochmia_temporalis	0.00053872	0.0096
Neocossus_sp.	NA	0.003107
Neofiber_alleni	NA	0.2581
Neomys_fodiens	0.00032	0.0152
Neophascogale_lorentzi	0.0025382	0.2064
Neophema_bourkii	NA	0.04
Neophema_chrysostoma	0.00159544	0.055
Neophema_elegans	0.00132608	0.0425
Neophema_petrophila	0.0017612	0.055
Neophema_pulchella	0.00133644	0.04
Neophema_splendida	0.00132608	0.0385
Neophoca_cinerea	0.38875	NA
Neopsephotus_bourkii	0.001295	0.045
Neoscona_oacavensis	NA	0.0001931
Neotoma_sp.	0.0022	NA
Nephila_clavipes	0.00000066304	0.002
Netta_rufina	NA	1.237
Nettapus_pulchellus	0.00277648	0.28
Neurotrichus_gibbsii	NA	0.0118
Ningaui_ridei	0.00024864	0.004
Ningaui_yvonneae	0.00026936	0.0078
Ninox_connivens	0.0066304	0.522
Ninox_novaeseelandiae	0.00572908	0.234
Ninox_rufa	0.00873348	0.82
Ninox_strenua	0.01185184	1.35
Noctilio_leporinus	0.00126	0.0585
Nomamyrmex_sp.	0.000000204	0.0000118945
Northiella_haematogaster	0.0024864	0.078
Notoryctes_caurinus	0.00080808	0.055
Nucifraga_caryocatactes	0.0054	0.16
Nucifraga_columbiana	0.0053	NA
Numenius_madagascariensis	0.0048692	0.9
Numenius_phaeopus	0.00324268	0.3801
Numida_meleagris	0.0042	1.62
Nyctalus_noctula	0.000369	0.025
Nycteris_arge	0.00036	0.0106
Nycticebus_coucang	0.01274	0.6555
Nycticebus_pygmaeus	0.0078	0.48
Nycticebus_tardigradus	0.0144	0.527
Nycticorax_caledonicus	0.0057498	0.725
Nyctobates_procerus	NA	0.002198
Nyctophilus_major	NA	0.0136
Nymphicus_hollandicus	0.00247604	0.08815
Nyssicus_setosus	NA	0.000996
Oceanites_oceanicus	0.00073556	0.035
Ochrotomys_nuttalli	NA	0.0195
Ocreatus_underwoodii	NA	0.0027
Octodon_degus	NA	0.206
Octodontomys_gliroides	NA	0.152
Octomys_mimax	NA	0.1186
Ocyphaps_lophotes	0.0017612	0.19
Odobenus_rosmarus	1.41025	NA
Odocoileus_hemionus	0.195	NA
Odontomachus_bauri	0.000000212	0.0000157825
Odontomachus_brunneus	0.000000192	0.0000061925
Odontomachus_hastatus	0.00000043	0.000025325
Oecophylla_smaragdina	0.0000000935	NA
Ommatophoca_rossii	0.495	NA
Oncideres_putator	NA	0.000681
Ondatra_zibethicus	0.00533	1.0046
Onychogalea_fraenata	0.0152292	3.484
Onychogalea_lunata	0.0105672	1.313
Onychogalea_unguifera	0.0173012	5.242
Onychoprion_fuscata	0.00240352	0.176
Onychoprion_fuscatus	NA	0.1504
Onychoprion_lunatus	NA	0.1317
Onymacris_plana	NA	0.000691
Onymacris_unguicularis	NA	0.000737
Ophisaurus_apodus	0.000342	NA
Ophisaurus_ventralis	NA	0.03217
Ophryastes_varius	NA	0.00002726
Oplurus_cuvieri	0.000267	NA
Oreamnos_americanus	NA	32
Oreoica_gutturalis	0.00173012	0.0633
Oreothlypis_celata	NA	0.00898
Oreotrochilus_estella	NA	0.0089
Origma_solitaria	0.0008806	0.0145
Oriolus_flavocinctus	0.0021756	0.0977
Oriolus_sagittatus	0.00203056	0.095
Ornithodoros_moubata	NA	0.0000132
Ornithorhynchus_anatinus	NA	1.32
Orthonyx_spaldingii	0.0030044	0.1492
Orthonyx_temminckii	0.00182336	0.059
Orthorhyncus_cristatus	NA	0.0029
Orthotomus_cuculatus	NA	0.00713
Oryba_achemenides	NA	0.003387
Orycteropus_afer	NA	48
Oryctolagus_cuniculus	0.0137	2.844
Oryzomys_longicaudatus	NA	0.0282
Oryzorictes_hova	0.00058	0.0442
Ostrinia_nubilalis	NA	0.0000665
Otaria_byronia	0.50625	NA
Otocyon_megalotis	0.02609	3.335
Otomys_sloggetti	NA	0.11329
