species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Nematostella_vectensis	45351	32370	32370	941	941	938	701
Nephila_pilipes	299642	72441	72441	855	855	851	646
Notodromas_monacha	399045	14067	14121	807	807	806	611
Octopus_bimaculoides	37653	23994	23994	948	948	930	698
Octopus_sinensis	2607531	36112	36112	953	953	944	706
Oedothorax_gibbosus	931172	32682	32682	921	921	920	689
Oikopleura_dioica	34765	18751	18794	760	760	760	577
Oopsacas_minuta	111878	16413	16413	802	802	802	603
Opisthorchis_felineus	147828	20867	20867	865	865	865	655
Opisthorchis_viverrini	6198	16356	16356	788	788	786	612
Oppia_nitens	1686743	16969	16969	916	916	851	640
Oppiella_nova	334625	23724	23973	758	758	749	574
Orbicella_faveolata	48498	32587	32587	904	904	884	665
Orchesella_cincta	48709	20247	20247	824	824	824	629
Ostrea_edulis	37623	57349	57349	953	953	947	709
Owenia_fusiformis	6347	30799	31200	928	928	914	699
Panonychus_citri	50023	14862	14862	773	773	710	533
Paragonimus_heterotremus	100268	12487	12487	821	821	815	625
Paragonimus_kellicotti	100269	12850	12850	752	752	746	574
Paragonimus_westermani	34504	12783	12783	802	802	802	621
Paramacrobiotus_metropolitanus	2943436	30867	30867	846	846	821	631
Paramuricea_clavata	317549	69834	69836	903	903	861	646
Parasteatoda_tepidariorum	114398	33089	33089	922	922	877	665
Patella_vulgata	6465	27726	27726	864	864	863	666
Patiria_miniata	46514	35403	35403	907	907	892	663
Pecten_maximus	6579	39918	39918	921	921	902	677
Penaeus_chinensis	139456	34830	34830	932	932	911	685
Penaeus_japonicus	27405	39224	39224	913	913	873	651
Penaeus_monodon	6687	32816	32816	860	860	656	490
Penaeus_vannamei	6689	33273	33273	837	837	685	512
Plakobranchus_ocellatus	259542	77230	77230	947	947	940	705
Pocillopora_damicornis	46731	25183	25183	941	941	861	638
Pollicipes_pollicipes	41117	27080	27080	596	596	567	434
Pomacea_canaliculata	400727	40391	40391	944	944	873	658
Pomphorhynchus_laevis	141832	13055	13055	666	666	646	488
Portunus_trituberculatus	210409	38519	38519	953	953	876	654
Priapulus_caudatus	37621	20692	20692	913	913	816	612
Procambarus_clarkii	6728	45538	45538	949	949	940	709
Protopolystoma_xenopodis	117903	37859	37906	543	543	435	336
Ramazzottius_varieornatus	947166	23007	23007	860	860	860	649
Rhipicephalus_microplus	6941	24211	24211	909	909	861	641
Rhipicephalus_sanguineus	34632	30609	30609	883	883	836	634
Rodentolepis_nana	102285	13631	13777	822	822	762	580
Rotaria_socialis	392032	33679	33717	700	700	699	552
Rotaria_sordida	392033	61901	62102	205	205	198	153
Saccoglossus_kowalevskii	10224	22111	22111	936	936	878	657
Sander_lucioperca	283035	56557	56899	930	930	928	718
Sarcoptes_scabiei	52283	9318	9318	878	878	878	667
Schistosoma_bovis	6184	16787	16874	829	829	828	641
Schistosoma_curassoni	6186	16789	16789	825	825	821	633
Schistosoma_haematobium	6185	8934	8934	764	764	761	587
Schistosoma_mansoni	6183	11713	11721	829	829	827	636
Schistosoma_margrebowiei	48269	16125	16125	828	828	825	635
Schistosoma_mattheei	31246	14602	14603	817	817	810	626
Schistosoma_spindale	6189	14516	14516	834	834	828	635
Seison_nebaliae	104778	12269	12269	768	768	765	581
Sepia_pharaonis	158019	53530	53530	769	769	767	604
Sparganum_proliferum	64606	22427	23043	758	758	753	592
Spirometra_erinaceieuropaei	99802	27676	28290	726	726	722	565
Stegodyphus_dumicola	202533	29944	29944	917	917	893	676
Stegodyphus_mimosarum	407821	27135	27135	922	922	921	694
Strongylocentrotus_purpuratus	7668	38439	38439	769	769	750	556
Styela_clava	7725	27445	27445	837	837	807	611
Stylophora_pistillata	50429	33252	33252	950	950	842	621
Tegillarca_granosa	220873	25076	25076	743	743	617	471
Tetranychus_urticae	32264	15684	15684	820	820	817	638
Thelohanellus_kitauei	669202	15020	15020	401	401	401	310
