Accipiter_gentilis	ADW	length of 61 cm.	Accipiter_gentilis
Accipiter_gentilis	EOL		
Accipiter_gentilis	EOL		Accipiter gentilis albidus (Menzbier 1882)
Accipiter_gentilis	EOL		Accipiter gentilis apache Van Rossem 1938
Accipiter_gentilis	EOL		Accipiter gentilis arrigonii (Kleinschmidt & O 1903)
Accipiter_gentilis	EOL		Accipiter gentilis atricapillus (Wilson & A 1812)
Accipiter_gentilis	EOL		Accipiter gentilis buteoides (Menzbier 1882)
Accipiter_gentilis	EOL		Accipiter gentilis fujiyamae (Swann & Hartert 1923)
Accipiter_gentilis	EOL		Accipiter gentilis gentilis (Linnaeus 1758)
Accipiter_gentilis	EOL		Accipiter gentilis marginatus (Piller & Mitterpacher 1783)
Accipiter_gentilis	EOL		accipiter gentilis parvo-like hybrid virus
Accipiter_gentilis	EOL		Accipiter gentilis schvedowi (Menzbier 1882)
Accipiter_gentilis	EOL		Eurasian Goshawk (Accipiter gentilis (Linnaeus 1758))
Accipiter_gentilis	EOL		Eurasian Sparrowhawk (Accipiter nisus (Linnaeus 1758))
Accipiter_gentilis	EOL	ght. Its focal length	Accipiter gentilis albidus (Menzbier 1882)
Accipiter_gentilis	EOL	ght. Its focal length	Accipiter gentilis apache Van Rossem 1938
Accipiter_gentilis	EOL	ght. Its focal length	Accipiter gentilis arrigonii (Kleinschmidt & O 1903)
Accipiter_gentilis	EOL	ght. Its focal length	Accipiter gentilis atricapillus (Wilson & A 1812)
Accipiter_gentilis	EOL	ght. Its focal length	Accipiter gentilis buteoides (Menzbier 1882)
Accipiter_gentilis	EOL	ght. Its focal length	Accipiter gentilis fujiyamae (Swann & Hartert 1923)
Accipiter_gentilis	EOL	ght. Its focal length	Accipiter gentilis gentilis (Linnaeus 1758)
Accipiter_gentilis	EOL	ght. Its focal length	Accipiter gentilis marginatus (Piller & Mitterpacher 1783)
Accipiter_gentilis	EOL	ght. Its focal length	Accipiter gentilis schvedowi (Menzbier 1882)
Accipiter_gentilis	EOL	ght. Its focal length	Queen Charlotte goshawk (Accipiter gentilis laingi (Taverner 1940))
