species	db	value	unity	value_used	category	id
Balaenoptera_musculus	ADW	190000	kg	190000	weight	Balaenoptera_musculus;ADW;weight
Balaenoptera_musculus	AnAge	136000000	g	136000	weight	Balaenoptera_musculus;AnAge;weight
Physeter_catodon	ADW	50000	kg	50000	weight	Physeter_catodon;ADW;weight
Rhincodon_typus	fishbase	34	t	34000	weight	Rhincodon_typus;fishbase;weight
Rhincodon_typus	ADW	30844	kg	30844	weight	Rhincodon_typus;ADW;weight
Rhincodon_typus	AnAge	18700000	g	18700	weight	Rhincodon_typus;AnAge;weight
Balaenoptera_acutorostrata	ADW	9000	kg	9000	weight	Balaenoptera_acutorostrata;ADW;weight
Balaenoptera_acutorostrata	AnAge	7500000	g	7500	weight	Balaenoptera_acutorostrata;AnAge;weight
Orcinus_orca	ADW	7200	kg	7200	weight	Orcinus_orca;ADW;weight
Loxodonta_africana	ADW	6100	kg	6100	weight	Loxodonta_africana;ADW;weight
Elephas_maximus	ADW	6000	kg	6000	weight	Elephas_maximus;ADW;weight
Loxodonta_africana	AnAge	4800000	g	4800	weight	Loxodonta_africana;AnAge;weight
Orcinus_orca	AnAge	3987500	g	3987.5	weight	Orcinus_orca;AnAge;weight
Globicephala_melas	ADW	3800	kg	3800	weight	Globicephala_melas;ADW;weight
Mirounga_leonina	ADW	3700	kg	3700	weight	Mirounga_leonina;ADW;weight
Ceratotherium_simum	ADW	3600	kg	3600	weight	Ceratotherium_simum;ADW;weight
Elephas_maximus	AnAge	3178000	g	3178	weight	Elephas_maximus;AnAge;weight
Balaenoptera_musculus	EOL	3	tons	3000	weight	Balaenoptera_musculus;EOL;weight
Carcharodon_carcharias	ADW	3000	kg	3000	weight	Carcharodon_carcharias;ADW;weight
Mirounga_angustirostris	ADW	2300	kg	2300	weight	Mirounga_angustirostris;ADW;weight
Ceratotherium_simum	AnAge	2175000	g	2175	weight	Ceratotherium_simum;AnAge;weight
Carcharodon_carcharias	AnAge	1870000	g	1870	weight	Carcharodon_carcharias;AnAge;weight
Delphinapterus_leucas	ADW	1600	kg	1600	weight	Delphinapterus_leucas;ADW;weight
Mirounga_angustirostris	AnAge	1600000	g	1600	weight	Mirounga_angustirostris;AnAge;weight
Monodon_monoceros	ADW	1600	kg	1600	weight	Monodon_monoceros;ADW;weight
Trichechus_manatus	ADW	1500	kg	1500	weight	Trichechus_manatus;ADW;weight
Trichechus_manatus	EOL	1500	kg	1500	weight	Trichechus_manatus;EOL;weight
Delphinapterus_leucas	AnAge	1430000	g	1430	weight	Delphinapterus_leucas;AnAge;weight
Mirounga_leonina	AnAge	1400000	g	1400	weight	Mirounga_leonina;AnAge;weight
Bos_taurus	ADW	1363	kg	1363	weight	Bos_taurus;ADW;weight
Monodon_monoceros	AnAge	1250000	g	1250	weight	Monodon_monoceros;AnAge;weight
Bubalus_bubalis	ADW	1200	kg	1200	weight	Bubalus_bubalis;ADW;weight
Crocodylus_porosus	ADW	1200	kg	1200	weight	Crocodylus_porosus;ADW;weight
Eumetopias_jubatus	ADW	1120	kg	1120	weight	Eumetopias_jubatus;ADW;weight
Globicephala_melas	AnAge	1060000	g	1060	weight	Globicephala_melas;AnAge;weight
Bison_bison	ADW	900	kg	900	weight	Bison_bison;ADW;weight
Dermochelys_coriacea	ADW	900	kg	900	weight	Dermochelys_coriacea;ADW;weight
Equus_caballus	ADW	900	kg	900	weight	Equus_caballus;ADW;weight
Ursus_maritimus	ADW	800	kg	800	weight	Ursus_maritimus;ADW;weight
Bos_taurus	AnAge	750000	g	750	weight	Bos_taurus;AnAge;weight
Bubalus_bubalis	AnAge	725000	g	725	weight	Bubalus_bubalis;AnAge;weight
Camelus_bactrianus	ADW	690	kg	690	weight	Camelus_bactrianus;ADW;weight
Camelus_dromedarius	ADW	690	kg	690	weight	Camelus_dromedarius;ADW;weight
Xiphias_gladius	fishbase	650	kg	650	weight	Xiphias_gladius;fishbase;weight
Bison_bison	AnAge	630000	g	630	weight	Bison_bison;AnAge;weight
Leptonychotes_weddellii	ADW	600	kg	600	weight	Leptonychotes_weddellii;ADW;weight
Ursus_arctos	ADW	600	kg	600	weight	Ursus_arctos;ADW;weight
Caretta_caretta	ADW	545	kg	545	weight	Caretta_caretta;ADW;weight
Tursiops_truncatus	ADW	500	kg	500	weight	Tursiops_truncatus;ADW;weight
Cervus_elaphus	ADW	497	kg	497	weight	Cervus_elaphus;ADW;weight
