#The list of species
#species: Scientific name of the species.
#NCBI.taxid: taxID from the NCBI.
#assembly_accession: Assembly accession used.
#clade: Clade corresponding to the species, it can be the class for vertebrates or the order for insects.
#nb_rnaseq: Number of RNA-seq studied.
species	NCBI.taxid	assembly_accession	clade	nb_rnaseq
Abrus_precatorius	3816	GCF_003935025.1	Embryophyta	6
Acanthaster_planci	133434	GCF_001949145.1	Echinodermata	0
Acanthisitta_chloris	57068	GCF_000695815.1	Aves	0
Acanthocheilonema_viteae	6277	GCA_900537255.1	Nematoda	7
Acanthochromis_polyacanthus	80966	GCF_002109545.1	Teleostei	50
Acanthopagrus_latus	8177	GCF_904848185.1	Teleostei	0
Acanthoscelides_obtectus	200917	GCA_933228535.1	Coleoptera	0
Accipiter_gentilis	8957	GCF_929443795.1	Aves	0
Acinonyx_jubatus	32536	GCF_003709585.1	Mammalia	2
Acipenser_ruthenus	7906	GCF_010645085.1	Vertebrates	50
Acomys_russatus	60746	GCF_903995435.1	Mammalia	36
Acromyrmex_charruanus	2715315	GCA_017607545.1	Hymenoptera	0
Acromyrmex_echinatior	103372	GCF_000204515.1	Hymenoptera	42
Acromyrmex_heyeri	230685	GCA_017607565.1	Hymenoptera	0
Acromyrmex_insinuator	230686	GCA_017607455.1	Hymenoptera	0
Acropora_digitifera	70779	GCF_000222465.1	Cnidaria	50
Acropora_millepora	45264	GCF_013753865.1	Cnidaria	50
Actinia_tenebrosa	6105	GCF_009602425.1	Cnidaria	18
Acyrthosiphon_pisum	7029	GCF_000142985.2	Hemiptera	35
Adelges_cooleyi	133065	GCF_023614345.1	Hemiptera	0
Adineta_ricciae	249248	GCA_905250025.1	Invertebrates	0
Adineta_steineri	433720	GCA_905250115.1	Invertebrates	0
Adineta_vaga	104782	GCA_021613535.1	Invertebrates	42
Aedes_aegypti	7159	GCF_002204515.2	Diptera	27
Aedes_albopictus	7160	GCF_006496715.1	Diptera	49
Aegilops_tauschii	37682	GCF_002575655.1	Embryophyta	22
Aegithalos_caudatus	73327	GCA_013389925.1	Aves	0
Aegotheles_bennettii	48278	GCA_013398125.1	Aves	0
Aethina_tumida	116153	GCF_024364675.1	Coleoptera	0
Agelaius_phoeniceus	39638	GCF_020745825.1	Aves	0
Agrilus_planipennis	224129	GCF_000699045.2	Coleoptera	0
Ailuropoda_melanoleuca	9646	GCF_002007445.2	Mammalia	50
Aix_galericulata	8832	GCA_024635365.1	Aves	0
Alaudala_cheleensis	670337	GCA_013398995.1	Aves	0
Albula_glossodonta	121402	GCA_019788955.1	Teleostei	0
Albula_goreensis	1534307	GCA_022829145.1	Teleostei	0
Aleadryas_rufinucha	461220	GCA_013397815.1	Aves	0
Alectura_lathami	81907	GCA_013399715.1	Aves	0
Alligator_mississippiensis	8496	GCF_000281125.3	Crocodylia	39
Alligator_sinensis	38654	GCF_000455745.1	Crocodylia	50
Alopecoenas_beccarii	262131	GCA_013399365.1	Aves	0
Alosa_alosa	278164	GCF_017589495.1	Teleostei	0
Alosa_sapidissima	34773	GCF_018492685.1	Teleostei	0
Amazona_guildingii	175529	GCA_013399615.1	Aves	0
Amblyraja_radiata	386614	GCF_010909765.2	Chondrichthyes	0
Ameiurus_melas	219545	GCA_012411365.1	Teleostei	0
Amphibalanus_amphitrite	1232801	GCF_019059575.1	Crustacea	0
Amphimedon_queenslandica	400682	GCF_000090795.2	Invertebrates	0
Amphiprion_ocellaris	80972	GCF_022539595.1	Teleostei	0
Ampulex_compressa	860918	GCA_019049445.1	Hymenoptera	0
Amyelois_transitella	680683	GCF_001186105.1	Lepidoptera	0
Anabarilius_grahami	495550	GCA_003731715.1	Teleostei	13
Anabas_testudineus	64144	GCF_900324465.2	Teleostei	0
Ananas_comosus	4615	GCF_001540865.1	Embryophyta	50
Anarrhichthys_ocellatus	433405	GCF_004355925.1	Teleostei	11
Anas_platyrhynchos	8839	GCF_015476345.1	Aves	50
Anastrepha_ludens	28586	GCF_028408465.1	Diptera	0
Anastrepha_obliqua	95512	GCF_027943255.1	Diptera	0
Ancylostoma_caninum	29170	GCA_003336725.1	Nematoda	0
Ancylostoma_ceylanicum	53326	GCA_000402015.1	Nematoda	37
Ancylostoma_duodenale	51022	GCA_000816745.1	Nematoda	0
Angiostrongylus_cantonensis	6313	GCA_009735665.1	Nematoda	21
Angiostrongylus_costaricensis	334426	GCA_900624975.1	Nematoda	0
Anguilla_anguilla	7936	GCF_013347855.1	Teleostei	0
Anhinga_anhinga	56067	GCA_013396435.1	Aves	0
Anhinga_rufa	317792	GCA_013400875.1	Aves	0
Anisakis_simplex	6269	GCA_900617985.1	Nematoda	0
Anneissia_japonica	1529436	GCF_011630105.1	Echinodermata	32
Anolis_carolinensis	28377	GCF_000090745.1	Lepidosauria	50
