#major: Number of major introns.
#minor: Number of minor introns.
#unclassified: Number of unclassified introns.
#sequencing_depth: Median per-base read coverage across BUSCO genes from eukaryota geneset.
#no_compiled_rna_seq: Number of sub-sampled RNA-seq.
#replicate: Replicates number.
#samples: SRA Accession of the RNA-seq samples studied.
major	minor	unclassified	sequencing_depth	no_compiled_rna_seq	replicate	samples
179	24	3846	0.1604447974583	1	95	SRR6766833
27536	13860	10084	55.8395953757225	1	96	SRR6766834
94	4	2615	0.0987775061124694	1	97	SRR6766835
21718	8533	12496	58.4134758088454	1	98	SRR6766836
25321	11038	11333	57.9095063985375	1	99	SRR6766837
19439	7979	15075	18.5412026726058	1	100	SRR6766838
15139	5678	16971	15.8894715611134	1	101	SRR6766839
25956	12658	9501	191.71160130719	1	102	SRR6766840
185	14	4585	0.320844686648501	1	103	SRR6766841
633	82	10251	1.14767932489451	1	104	SRR6766842
27	8	2812	0	1	105	SRR6766843
21947	7626	13048	66.4651669085631	1	106	SRR6766844
21132	9493	9893	21.7109826589595	1	107	SRR6766845
31	2	3224	0.0284627307312949	1	108	SRR6766846
20343	10790	11004	24.1581311769991	1	109	SRR6766847
24110	14890	7954	61.4679706601467	1	110	SRR6766848
20954	10351	10243	47.0352047860101	1	111	SRR6766849
28684	21853	6381	156.154852030282	1	112	SRR6766850
18648	7765	11720	19.6668109043704	1	113	SRR6766851
26133	14532	7567	73.3011583011583	1	114	SRR6766852
24109	13103	8886	64.5365853658537	1	115	SRR6766853
21178	10947	10631	41.480231436837	1	116	SRR6766854
18585	8646	11373	26.1713917525773	1	117	SRR6766855
18980	9197	10553	27.2039130434783	1	118	SRR6766856
22567	10583	10056	36.7665441176471	1	119	SRR6766857
23552	11732	11200	41.7134935304991	1	120	SRR6766858
21	4	3303	0.0437987857762359	1	121	SRR6766859
23280	10290	9214	41.5975891254168	1	122	SRR6766860
20901	9904	10439	32.5483146067416	1	123	SRR6766861
24255	9350	6202	166.959420289855	1	124	SRR7444550
23664	8574	6651	138.112419700214	1	125	SRR7444551
23128	8120	6207	147.641509433962	1	126	SRR7444552
23989	9315	6106	168.074468085106	1	127	SRR7444553
23683	8630	6518	135.346808510638	1	128	SRR7444554
23654	8854	6341	146.859903381643	1	129	SRR7444555
29624	23538	6710	160.331096196868	2	1	SRR6766850,SRR6055375
19338	10274	19716	15.2565849227975	2	2	SRR6055395,SRR6055419
31535	16576	10256	124.279177377892	2	3	SRR6766824,SRR6055391
28211	14903	9473	65.6801129487697	2	4	SRR6766803,SRR6766855
