#major: Number of major introns.
#minor: Number of minor introns.
#unclassified: Number of unclassified introns.
#sequencing_depth: Median per-base read coverage across BUSCO genes from eukaryota geneset.
#no_compiled_rna_seq: Number of sub-sampled RNA-seq.
#replicate: Replicates number.
#samples: SRA Accession of the RNA-seq samples studied.
major	minor	unclassified	sequencing_depth	no_compiled_rna_seq	replicate	samples
40139	44715	3909	558.488192552225	14	5	SRR6055386,SRR6766818,SRR6055403,SRR6766841,SRR6055409,SRR6766852,SRR6055360,SRR6055413,SRR6055389,SRR6055398,SRR6766827,SRR6055417,SRR6055411,SRR6766837
39225	45706	3903	547.982658959538	14	6	SRR6055364,SRR6055412,SRR6055421,SRR6766840,SRR6055418,SRR6055372,SRR6766815,SRR6766858,SRR6766850,SRR6055383,SRR6766835,SRR6055387,SRR6055398,SRR6766830
39910	44686	4007	719.412173913044	14	7	SRR6766857,SRR6055374,SRR6055410,SRR6055397,SRR6766803,SRR7444555,SRR6055420,SRR6055364,SRR7444554,SRR7444552,SRR6766852,SRR6055404,SRR6766815,SRR6766834
35807	44429	5002	356.429190751445	14	8	SRR6766851,SRR6055365,SRR6055386,SRR6055393,SRR6766808,SRR6055384,SRR6055381,SRR6766861,SRR6766850,SRR6055375,SRR6055370,SRR6055373,SRR6766854,SRR6055374
40516	53713	3500	989.066547831254	14	9	SRR7444554,SRR6766822,SRR6055374,SRR6766827,SRR6055411,SRR6055384,SRR6055397,SRR6055394,SRR6766820,SRR6766803,SRR6766850,SRR6766845,SRR6055409,SRR6766824
39503	39980	4031	364.595944754628	14	10	SRR6766818,SRR6055399,SRR6055393,SRR6055369,SRR6055361,SRR6055420,SRR6055364,SRR6055421,SRR6055418,SRR6766841,SRR7444553,SRR6766858,SRR6055400,SRR6766843
38086	35946	4412	190.002938583603	15	1	SRR6055360,SRR6055399,SRR6055372,SRR6055413,SRR6055411,SRR6055364,SRR6055419,SRR6055408,SRR6766839,SRR6055367,SRR6766820,SRR6055403,SRR6766859,SRR6055416,SRR6055421
39223	38904	4668	351.911455108359	15	2	SRR6766851,SRR6055413,SRR6766835,SRR6766832,SRR6055422,SRR6055367,SRR6766837,SRR6766857,SRR6766816,SRR6055395,SRR6766815,SRR6766807,SRR6055394,SRR6766825,SRR6055412
40256	49277	3729	833.149484536082	15	3	SRR6766812,SRR6055421,SRR6766850,SRR6766809,SRR6766860,SRR6055397,SRR6055402,SRR6766844,SRR6055366,SRR7444553,SRR6766838,SRR6055420,SRR6055410,SRR6766840,SRR6055396
38788	47754	4066	613.974951830443	15	4	SRR6055396,SRR6766838,SRR6766855,SRR6055382,SRR6766853,SRR6766828,SRR6055368,SRR6055362,SRR6766806,SRR6055383,SRR6766837,SRR6766830,SRR6055384,SRR6055360,SRR6766804
40351	55136	3252	780.098348348349	15	5	SRR6766834,SRR6766856,SRR6055375,SRR6055406,SRR6055409,SRR6766850,SRR6766858,SRR6766855,SRR6055403,SRR6766805,SRR6055402,SRR6055397,SRR6766825,SRR6055405,SRR6055374
38832	49477	3716	458.89452766738	15	6	SRR6766811,SRR6055366,SRR6055383,SRR6055416,SRR6766834,SRR6766853,SRR6766821,SRR6766850,SRR6055384,SRR6055361,SRR6055385,SRR6766818,SRR6766820,SRR6055420,SRR6055375
38143	45457	4316	566.340928270042	15	7	SRR6766854,SRR6055367,SRR6766829,SRR6766804,SRR7444551,SRR6766845,SRR6055369,SRR6055378,SRR6766848,SRR6055412,SRR6766843,SRR6055377,SRR6055364,SRR6055410,SRR6766861
39361	44337	4244	700.677902621723	15	8	SRR6766859,SRR6766839,SRR6766826,SRR6055399,SRR6766847,SRR6766829,SRR6055364,SRR6055384,SRR6766849,SRR6766840,SRR6055375,SRR6055415,SRR6766837,SRR7444555,SRR6766811
38454	46098	4196	565.440247678019	15	9	SRR6055360,SRR6766807,SRR6766852,SRR6055382,SRR6766822,SRR6766851,SRR6766803,SRR6766856,SRR6766825,SRR6055407,SRR6766860,SRR6766838,SRR6766831,SRR6055386,SRR6055361
39508	42852	4617	536.797156398104	15	10	SRR6766810,SRR6055422,SRR6055412,SRR6766851,SRR6766849,SRR6766821,SRR6766808,SRR6055413,SRR6766859,SRR6766855,SRR7444551,SRR6766836,SRR6766858,SRR6766844,SRR6766819
38181	39246	4458	345.863080684597	16	1	SRR6766842,SRR6055363,SRR6055402,SRR6766829,SRR6055382,SRR6055369,SRR6766854,SRR6766844,SRR6055359,SRR6055383,SRR6766806,SRR6055388,SRR6766821,SRR6766846,SRR6766833,SRR6055420
38059	43264	4254	289.738439306358	16	2	SRR6766855,SRR6766857,SRR6055393,SRR6766848,SRR6055398,SRR6766819,SRR6055415,SRR6055397,SRR6055376,SRR6055384,SRR6766851,SRR6055367,SRR6055373,SRR6766821,SRR6766808,SRR6055419
39097	44796	4052	582.291347851677	16	3	SRR6766855,SRR6766837,SRR6055411,SRR6766849,SRR7444552,SRR6766857,SRR6766853,SRR6766831,SRR6055385,SRR6766851,SRR6766842,SRR6766815,SRR6055372,SRR6055394,SRR6766846,SRR6055383
39436	44677	4475	644.165400843882	16	4	SRR6055400,SRR6766833,SRR6055389,SRR6766812,SRR7444551,SRR6766808,SRR6766819,SRR6055395,SRR6766857,SRR6766853,SRR6055360,SRR6766807,SRR6766817,SRR6766810,SRR6766840,SRR6055381
40121	43321	3843	578.104461371056	16	5	SRR6055386,SRR6766816,SRR6766806,SRR6055415,SRR6055411,SRR6766822,SRR6055375,SRR6055384,SRR6055420,SRR6766813,SRR6055417,SRR7444550,SRR6766824,SRR6766835,SRR6766821,SRR6055405
39482	45693	3832	708.695731153497	16	6	SRR6055406,SRR6766805,SRR6055410,SRR6055407,SRR6766833,SRR6055398,SRR6055365,SRR6055366,SRR6766827,SRR6055384,SRR6766843,SRR6055419,SRR6055370,SRR6766837,SRR6055375,SRR6055411
39707	52893	3769	947.2615255658	16	7	SRR6055397,SRR6055377,SRR6766819,SRR6055384,SRR6055359,SRR6055361,SRR6055363,SRR6766829,SRR6766845,SRR6766838,SRR6766827,SRR6766828,SRR7444550,SRR6766852,SRR6055380,SRR6055414
38869	46371	4622	1067.63095975232	16	8	SRR6766809,SRR6766823,SRR6766814,SRR6766861,SRR6766817,SRR7444550,SRR7444552,SRR6766845,SRR6766856,SRR7444553,SRR6766804,SRR6055383,SRR6055402,SRR6055408,SRR6055389,SRR6055379
36545	40220	3976	458.148815165877	16	9	SRR6055383,SRR6766848,SRR6055381,SRR6055390,SRR6055373,SRR6766835,SRR6766844,SRR6766857,SRR6055408,SRR6766833,SRR6766859,SRR6055366,SRR6055385,SRR6766831,SRR6766813,SRR6766824
38918	40330	4522	433.697145621674	16	10	SRR6766854,SRR6055420,SRR6055391,SRR6766842,SRR6766856,SRR6055414,SRR6055421,SRR6766840,SRR6766846,SRR6055409,SRR6055397,SRR6766851,SRR6766806,SRR6055387,SRR6766815,SRR6055389
40235	49549	3765	760.412429378531	17	1	SRR6766808,SRR6766831,SRR6055364,SRR6766837,SRR6766840,SRR6055411,SRR6766821,SRR6055392,SRR6055399,SRR6055400,SRR6766825,SRR6055366,SRR6766818,SRR6766813,SRR6055383,SRR6766834,SRR6766824
39570	53873	4124	1154.08019150209	17	2	SRR6766847,SRR6055398,SRR6055378,SRR6766855,SRR6766821,SRR6766815,SRR6766841,SRR6766819,SRR7444552,SRR6766805,SRR6766842,SRR6766853,SRR6766824,SRR7444554,SRR7444553,SRR6766806,SRR6766860
40342	46111	3917	765.944665239988	17	3	SRR6055360,SRR6055411,SRR6766842,SRR7444550,SRR6055407,SRR6766813,SRR6766857,SRR6766804,SRR6055369,SRR6766811,SRR7444555,SRR6055381,SRR6766858,SRR6055393,SRR6055368,SRR6766824,SRR6766830
38836	43592	4319	480.332367149759	17	4	SRR6055392,SRR6766825,SRR6766810,SRR6055405,SRR6766808,SRR6766816,SRR6055369,SRR6766836,SRR6766848,SRR6055367,SRR6766819,SRR6055395,SRR6055360,SRR6766822,SRR6766845,SRR6766859,SRR6055383
40901	58306	3297	1073.62080173348	17	5	SRR6766832,SRR6766848,SRR6055373,SRR6055408,SRR6055406,SRR6766808,SRR6055401,SRR6766803,SRR6055413,SRR6766805,SRR6766827,SRR7444550,SRR6055407,SRR6766818,SRR6055418,SRR6766837,SRR6055370
39905	50301	3531	587.258132657372	17	6	SRR6055396,SRR6055376,SRR6766849,SRR6766815,SRR6055407,SRR6766812,SRR6766833,SRR6766803,SRR6766828,SRR6055383,SRR6766850,SRR6055414,SRR6055385,SRR6055398,SRR6766832,SRR6055372,SRR6055418
39637	43480	3822	446.191919191919	17	7	SRR6055381,SRR6055404,SRR6055415,SRR6055417,SRR6055373,SRR6055422,SRR6055387,SRR6766812,SRR6766829,SRR6055386,SRR6766847,SRR6055414,SRR6055402,SRR6055405,SRR7444553,SRR6055391,SRR6055361
38579	39111	4077	327.442550690567	17	8	SRR6055406,SRR6766815,SRR6055398,SRR6055382,SRR6766835,SRR6055401,SRR6766844,SRR6055374,SRR6766833,SRR6055418,SRR6055368,SRR6766813,SRR6055394,SRR6055362,SRR6055370,SRR6766818,SRR6766831
38770	51890	3954	849.542795232936	17	9	SRR6055362,SRR6055383,SRR7444550,SRR6766849,SRR6766861,SRR6055395,SRR6766832,SRR6055373,SRR6055366,SRR6766839,SRR6766860,SRR6766851,SRR6766850,SRR6055371,SRR7444551,SRR6055361,SRR6766844
41165	53300	3424	885.288540807915	17	10	SRR7444550,SRR6766860,SRR6055412,SRR6055413,SRR6055398,SRR6055421,SRR6766803,SRR6055380,SRR6766852,SRR6766821,SRR6766812,SRR6766827,SRR6766834,SRR6766806,SRR6766837,SRR6766839,SRR6055397
39532	44123	3872	541.021405304794	18	1	SRR6055422,SRR6766821,SRR6766822,SRR6055375,SRR6055416,SRR6055364,SRR6055373,SRR6766841,SRR6055388,SRR6766859,SRR6766831,SRR6766858,SRR6055372,SRR6055398,SRR7444551,SRR6766830,SRR6766845,SRR6766846
39601	46573	4043	768.422056770591	18	2	SRR6766827,SRR6766851,SRR6766813,SRR6055409,SRR6055367,SRR6055389,SRR6766811,SRR6766829,SRR6055382,SRR6055415,SRR7444555,SRR6766838,SRR6766818,SRR6766849,SRR6766833,SRR6766846,SRR6055384,SRR6766859
40293	44652	3898	713.60182876143	18	3	SRR6055394,SRR6055368,SRR6055376,SRR6055400,SRR6055395,SRR6055403,SRR7444550,SRR7444553,SRR6766818,SRR6055420,SRR6766807,SRR6055419,SRR7444555,SRR6766841,SRR6766812,SRR6766851,SRR6055413,SRR6766839
40053	56268	3111	702.714878482514	18	4	SRR6766805,SRR6766846,SRR6055414,SRR6055387,SRR6055415,SRR6055364,SRR6766850,SRR6055405,SRR6055385,SRR6766857,SRR6055416,SRR6766819,SRR6766848,SRR6766842,SRR6055400,SRR6055379,SRR6055392,SRR6055402
39354	48129	3846	551.755803702615	18	5	SRR6055366,SRR6766829,SRR6766803,SRR6766818,SRR6055360,SRR6766810,SRR6055419,SRR6766812,SRR6055391,SRR6766841,SRR6055390,SRR6055370,SRR7444552,SRR6766861,SRR6766847,SRR6055361,SRR6055378,SRR6766858
39395	49576	4133	813.936231884057	18	6	SRR6055388,SRR6766839,SRR6766842,SRR6766838,SRR6055418,SRR6055393,SRR6766806,SRR6766840,SRR6766819,SRR6766861,SRR6055373,SRR6055389,SRR6766822,SRR6055376,SRR6766854,SRR6766814,SRR6766813,SRR6055366
39736	46511	3820	605.082474226804	18	7	SRR6766830,SRR6766815,SRR6055385,SRR6055375,SRR6766854,SRR6055396,SRR6766859,SRR6055419,SRR6766831,SRR6055410,SRR6766827,SRR6055384,SRR6055416,SRR6766826,SRR6055404,SRR6766838,SRR6055390,SRR6766818
39678	47454	3683	632.497610704045	18	8	SRR6766810,SRR6055407,SRR6055364,SRR6055384,SRR6055410,SRR6055401,SRR6766842,SRR6055366,SRR6766857,SRR6055380,SRR6055362,SRR7444552,SRR6055419,SRR6055418,SRR6055415,SRR7444551,SRR6766850,SRR6766846
40385	52181	3536	698.637602179836	18	9	SRR6055371,SRR6766820,SRR6055363,SRR6766806,SRR6055393,SRR6055413,SRR6766842,SRR6055412,SRR6766858,SRR6055406,SRR6766825,SRR6766816,SRR6055410,SRR6766805,SRR6055396,SRR6766854,SRR6766861,SRR6055401
40050	43352	4040	552.3032618278	18	10	SRR6055367,SRR6766825,SRR6766856,SRR6055397,SRR6055408,SRR6766818,SRR6766843,SRR6766803,SRR6055419,SRR6055391,SRR6766841,SRR6766851,SRR6766844,SRR6766857,SRR6055392,SRR6055417,SRR7444554,SRR6055413
40800	52809	3396	767.43402879812	19	1	SRR6055421,SRR6055381,SRR6055416,SRR6055411,SRR6766822,SRR6055406,SRR6766849,SRR6055420,SRR6766832,SRR6055405,SRR6055396,SRR6766858,SRR6766848,SRR7444551,SRR6766855,SRR6055392,SRR6055408,SRR6055366,SRR6766824
40119	52164	3446	765.507677989763	19	2	SRR6055417,SRR6766855,SRR6055380,SRR6055390,SRR6055371,SRR7444551,SRR6766839,SRR6766817,SRR6055401,SRR6055407,SRR7444555,SRR6766809,SRR6766810,SRR6766806,SRR6055360,SRR6766834,SRR6055385,SRR6766849,SRR6055361
40232	47522	3477	508.626893939394	19	3	SRR7444550,SRR6055373,SRR6055370,SRR6766832,SRR6055375,SRR6766816,SRR6766803,SRR6766807,SRR6055412,SRR6055415,SRR6055409,SRR6766859,SRR6055383,SRR6055403,SRR6766848,SRR6766858,SRR6055394,SRR6055408,SRR6055397
39280	45451	3683	479.112701252236	19	4	SRR6055420,SRR6055406,SRR6055416,SRR6766810,SRR6055373,SRR6055408,SRR6055411,SRR6766855,SRR6055364,SRR6766861,SRR6055375,SRR6055410,SRR6766815,SRR6055421,SRR6055377,SRR6055374,SRR6766836,SRR6055397,SRR6766814
40267	48804	3417	602.246626337832	19	5	SRR7444550,SRR6055377,SRR6766860,SRR6766807,SRR6766819,SRR6766825,SRR6055407,SRR6055375,SRR6055372,SRR6766837,SRR6766821,SRR6055370,SRR6055413,SRR6055415,SRR6766812,SRR6766834,SRR6766845,SRR6055400,SRR6055367
39695	48545	3547	671.756709956709	19	6	SRR6055388,SRR6055416,SRR6766857,SRR6055366,SRR6055421,SRR6055374,SRR6055363,SRR6055394,SRR6055373,SRR6055414,SRR6766840,SRR6055385,SRR6055397,SRR6766814,SRR6766837,SRR6055389,SRR6055371,SRR6055407,SRR6766855
39443	49732	3681	567.667089142374	19	7	SRR6766861,SRR6766856,SRR6055377,SRR6055399,SRR6766818,SRR6055380,SRR6055376,SRR6766853,SRR6766817,SRR6055401,SRR6055404,SRR6766844,SRR6766854,SRR6055410,SRR6055392,SRR6766804,SRR6055381,SRR6766860,SRR6766842
39524	50043	3979	846.533097686376	19	8	SRR6766861,SRR6766828,SRR6766825,SRR6766845,SRR6766827,SRR6766807,SRR6055394,SRR6055375,SRR6055367,SRR6055378,SRR6766853,SRR6766826,SRR6766821,SRR6766837,SRR6766815,SRR6055420,SRR6766835,SRR6055372,SRR6766820
38969	47007	3767	519.828524319868	19	9	SRR6055388,SRR6766804,SRR6766822,SRR6055382,SRR6055372,SRR6766821,SRR6055359,SRR6055408,SRR6766838,SRR6766809,SRR6055420,SRR6766859,SRR6766848,SRR6055363,SRR6766842,SRR6055416,SRR6055364,SRR6055395,SRR6766830
40494	50199	3691	998.358441558441	19	10	SRR6766844,SRR6766853,SRR6766823,SRR7444553,SRR6766819,SRR6055376,SRR6055420,SRR6055404,SRR6055373,SRR6766827,SRR6766811,SRR6055397,SRR6055365,SRR6055388,SRR6055421,SRR6766859,SRR6766840,SRR6766810,SRR6766803
39633	47220	3769	808.85243198681	20	1	SRR6766804,SRR6766833,SRR6055363,SRR6055374,SRR6055384,SRR6766842,SRR6766803,SRR6766829,SRR7444550,SRR6055396,SRR6055386,SRR6766835,SRR6766825,SRR6766843,SRR6766811,SRR6766844,SRR6055361,SRR6766828,SRR6055400,SRR6055359
40220	54630	3319	748.759541984733	20	2	SRR6055369,SRR6766828,SRR6055394,SRR6766849,SRR6055396,SRR6766847,SRR6766811,SRR7444555,SRR6055418,SRR6055421,SRR6055378,SRR6055412,SRR6055409,SRR6055362,SRR6766810,SRR6766848,SRR6055359,SRR6766852,SRR6766854,SRR6055393
40144	50726	3774	1000.32044887781	20	3	SRR7444555,SRR6766810,SRR6055383,SRR6766811,SRR6055422,SRR6055376,SRR6055387,SRR6766834,SRR6766827,SRR6766822,SRR6055360,SRR6055391,SRR6766855,SRR6055375,SRR6766814,SRR6055367,SRR6055398,SRR6766839,SRR6766826,SRR6766858
39836	46540	3608	685.157303370787	20	4	SRR7444551,SRR6055419,SRR6055403,SRR6055421,SRR6055420,SRR6766840,SRR6766817,SRR6055392,SRR6055398,SRR6055412,SRR6766843,SRR6055368,SRR6055382,SRR6055369,SRR6766833,SRR6766809,SRR6055361,SRR6055408,SRR6766856,SRR6766820
39777	42957	3712	448.974722564735	20	5	SRR6055402,SRR6766813,SRR6766843,SRR6055409,SRR6055398,SRR6766809,SRR6766833,SRR6055377,SRR6766810,SRR6055396,SRR6766856,SRR6055403,SRR6055390,SRR6055418,SRR6766841,SRR7444555,SRR6766807,SRR6055364,SRR6055387,SRR6055405
40868	59615	3135	1030.84560143627	20	6	SRR6766833,SRR6766842,SRR6055403,SRR6055398,SRR6766836,SRR6766805,SRR6766811,SRR6766815,SRR6055374,SRR6766852,SRR6766818,SRR6055360,SRR6766850,SRR6055417,SRR6766857,SRR6055415,SRR6766820,SRR6766860,SRR7444555,SRR6055391
39901	56029	3305	796.076288659793	20	7	SRR6766850,SRR6766853,SRR6766812,SRR6055384,SRR6055415,SRR6766843,SRR6766818,SRR6055371,SRR6055416,SRR6055414,SRR6766805,SRR6766859,SRR6055369,SRR6766858,SRR6766821,SRR6055391,SRR6766826,SRR6766809,SRR6055368,SRR6766816
40176	44317	4021	615.812005583993	20	8	SRR6055396,SRR6766861,SRR6766808,SRR6766820,SRR6055394,SRR6055367,SRR6766857,SRR6055409,SRR6766830,SRR6055418,SRR6766815,SRR6766843,SRR6055414,SRR7444553,SRR7444554,SRR6055406,SRR6055363,SRR6766821,SRR6766807,SRR6055408
40200	48266	3548	677.555335968379	20	9	SRR6766816,SRR6766852,SRR6055412,SRR6055394,SRR6766840,SRR6055417,SRR6055396,SRR6055415,SRR6766833,SRR6055392,SRR6766826,SRR6766854,SRR6055390,SRR6766824,SRR6055398,SRR6766809,SRR6055404,SRR6766842,SRR6055373,SRR6055367
38557	41293	3768	310.366367949394	20	10	SRR6055377,SRR6055402,SRR6766812,SRR6055375,SRR6055403,SRR6055371,SRR6055397,SRR6055400,SRR6766844,SRR6766831,SRR6055388,SRR6766843,SRR6766833,SRR6055366,SRR6766856,SRR6766815,SRR6055422,SRR6055370,SRR6055415,SRR6766859
