species	sequencing_depth	intron	annotated	annotated_unclassified	annotated_major	annotated_minor	prop_annot_unclassified	prop_annot_minor	prop_annot_major
Phascolarctos_cinereus_NCBI.taxid38626	627.450161812298	265649	163491	8259	123248	31984	0.90016348773842	0.24289001450475	0.987619497888503
Peromyscus_maniculatus_NCBI.taxid10042	667.98961038961	228258	158389	21337	115778	21274	0.879078773895847	0.243833669539703	0.991776456680772
Periplaneta_americana_NCBI.taxid6978	2309.86114704614	85522	30728	1306	28363	1059	0.353259399513119	0.0255957847923817	0.701169315962523
Periophthalmus_magnuspinnatus_NCBI.taxid409849	5	110662	106238	98577	7213	448	0.962224369674075	0.47812166488794	0.99106897499313
Perca_fluviatilis_NCBI.taxid8168	3630.72301290259	521431	268044	6511	228876	32657	0.790265808957398	0.115833717589473	0.989682697546506
Penaeus_japonicus_NCBI.taxid27405	2229.1725388601	234740	132034	16837	96945	18252	0.866011727188561	0.156269799140396	0.984213197969543
Penaeus_chinensis_NCBI.taxid139456	2531.74893455099	304470	134328	6810	107282	20236	0.714660510022038	0.108908706345832	0.983030036468928
Pelodiscus_sinensis_NCBI.taxid13735	95.1058747836311	150004	122937	33558	81979	7400	0.895692094165377	0.249645772889819	0.988937946342405
Pecten_maximus_NCBI.taxid6579	1699.22591473649	332459	193245	15700	154272	23273	0.849659054010174	0.147335701036345	0.988783633077386
Patagioenas_fasciata_NCBI.taxid372321	308.672191528545	192796	146760	20303	118082	8375	0.86646466370775	0.167593852557432	0.989027740552131
Parasponia_andersonii_NCBI.taxid3476	3008.7799920564	214345	86723	1827	82809	2087	0.593374472231244	0.0170935270654337	0.928633106433562
Paramuricea_clavata_NCBI.taxid317549	380.264581478183	217610	127523	6265	117702	3556	0.462225173380552	0.0462388661335414	0.925686781857791
Paramormyrops_kingsleyae_NCBI.taxid1676925	1563.19621074487	491805	267912	6425	217337	44150	0.801521956087824	0.166732125862928	0.99243811446028
Paragonimus_kellicotti_NCBI.taxid100269	254.211491540691	76453	44070	3387	37464	3219	0.751497670290659	0.103681515122234	0.91601261644539
Paragonimus_heterotremus_NCBI.taxid100268	444.189786059351	58616	43068	9693	32020	1355	0.861906455628668	0.0976295122126954	0.956077752231943
Papilio_machaon_NCBI.taxid76193	615.951152073733	109185	79514	13352	59114	7048	0.904668337963277	0.203452456555626	0.988792988090459
Pantherophis_guttatus_NCBI.taxid94885	1671.8026272578	388130	202866	5982	165038	31846	0.748967071491173	0.149036639070756	0.991433583237216
Panthera_tigris_NCBI.taxid9694	66.2369423606738	152512	112514	26978	78897	6639	0.87056697537836	0.160925948369895	0.982919718941546
Panthera_leo_NCBI.taxid9689	187.405380352116	373183	206655	21040	135702	49913	0.753608653605072	0.239922514156068	0.988894232871322
Panicum_hallii_NCBI.taxid206008	1600.32050274941	263085	128490	6846	104495	17149	0.824819277108434	0.114768141450781	0.991771226818018
Pan_troglodytes_NCBI.taxid9598	876.495477117174	520542	224350	15517	149778	59055	0.774031027086347	0.16898978134774	0.991670859927435
Oxyura_jamaicensis_NCBI.taxid8884	190.348026652998	173835	141468	30843	99124	11501	0.885555140830917	0.293056440310868	0.993614739226752
Owenia_fusiformis_NCBI.taxid6347	6835.95366272449	256598	155807	11462	132862	11483	0.872896199832458	0.106387118292321	0.980307088415197
Ovis_aries_NCBI.taxid9940	2823.94807072403	498049	198218	6413	159240	32565	0.81187492087606	0.0989646170724221	0.988497327630623
Osmia_lignaria_NCBI.taxid473952	3746.70933977456	273191	84570	535	61690	22345	0.678934010152284	0.106472194294482	0.986471792247665
Osmia_bicornis_NCBI.taxid1437190	1608.10435264114	216186	80574	4916	57200	18458	0.769447487869776	0.121664733178654	0.98476370835844
Oryza_sativa_NCBI.taxid4530	3278.95076481836	379666	145336	4589	120123	20624	0.70050373988704	0.0819577018144825	0.988886419204268
Oryctolagus_cuniculus_NCBI.taxid9986	16855.2119126632	873696	188269	3170	156211	28888	0.492465434208482	0.0408004734255986	0.981052327480091
Orussus_abietinus_NCBI.taxid222816	193.208602685231	105522	68787	7043	49491	12253	0.822108089179409	0.260469367798988	0.991545288802516
Ornithorhynchus_anatinus_NCBI.taxid9258	56.0458911419424	159335	139069	55836	75570	7663	0.932122466695603	0.326085106382979	0.995219469795741
Orbicella_faveolata_NCBI.taxid48498	111.511361280638	144336	126232	32037	86922	7273	0.915055268344235	0.340863289122182	0.987884711551575
Oppiella_nova_NCBI.taxid334625	500.871193947917	55363	41979	3283	37420	1276	0.740081154192967	0.189345600237424	0.846836245134426
Ophiophagus_hannah_NCBI.taxid8665	35.8397435897436	99063	67922	24826	42227	869	0.680369426402477	0.0896245874587459	0.798574076175347
Onychostruthus_taczanowskii_NCBI.taxid356909	762.413812464907	265258	155258	18145	116253	20860	0.86487130600572	0.164033687455276	0.992690570323374
Onychomys_torridus_NCBI.taxid38674	755.784107946027	344417	187103	14734	145835	26534	0.844500487189775	0.147224626584105	0.993819083834212
Onthophagus_taurus_NCBI.taxid166361	683.170953912111	95848	59646	5175	45214	9257	0.818181818181818	0.211762821979229	0.987011285991836
Oncorhynchus_mykiss_NCBI.taxid8022	4219.1112164297	834567	432546	34636	335148	62762	0.819786982248521	0.138305655454481	0.990024370430544
Oncorhynchus_kisutch_NCBI.taxid8019	671.358182878446	568699	392846	69887	284642	38317	0.852550808793032	0.193125173256722	0.987243340732519
Olea_europaea_NCBI.taxid4146	1358.31006493507	322496	166829	11416	130051	25362	0.783904415299046	0.144166984043974	0.985145289822137
Oesophagostomum_dentatum_NCBI.taxid61180	2294.01771711341	158515	89527	8220	79381	1926	0.702624155910762	0.0357620320855615	0.853926419965577
Oenanthe_oenanthe_NCBI.taxid279966	121.038095238095	99011	81456	23426	57158	872	0.83670262161583	0.102721168571092	0.914176956048877
Odontomachus_brunneus_NCBI.taxid486640	2386.01997749221	239620	90946	1861	64818	24267	0.726102223956301	0.141600098029491	0.986875761266748
Odocoileus_virginianus_NCBI.taxid9874	3134.21386687209	599607	211841	6269	162622	42950	0.656233643881503	0.101155218502338	0.98285375833288
Octopus_sinensis_NCBI.taxid2607531	133.167516387473	125062	110643	28166	74292	8185	0.941156814916296	0.40320197044335	0.992744036881139
Octopus_bimaculoides_NCBI.taxid37653	43.9049559848753	77483	67926	32272	32193	3461	0.945782779438485	0.321534745447789	0.98760622143142
Nymphaea_thermarum_NCBI.taxid419125	3196.01143568841	250780	73750	1952	68957	2841	0.516675489677078	0.017352267521759	0.828043757580124
Nymphaea_colorata_NCBI.taxid210225	1170.51012658228	268074	116324	3719	93930	18675	0.715467487495191	0.110983009348127	0.992844081304766
Nylanderia_fulva_NCBI.taxid613905	4221.77310643977	214841	87595	4533	68390	14672	0.796101159114858	0.105362939131933	0.978467701552329
Nyctereutes_procyonoides_NCBI.taxid34880	670.457122668453	350021	164164	11546	143271	9347	0.749448266908996	0.0514886936403448	0.935922393519728
Numida_meleagris_NCBI.taxid8996	8332.93960149439	689242	200379	3363	153571	43445	0.515876668200644	0.0823987725057989	0.987785424840805
Notolabrus_celidotus_NCBI.taxid1203425	2974.25462962963	356689	234907	23792	188438	22677	0.820526969237136	0.164577723911198	0.992280310051394
Nothoprocta_perdicaria_NCBI.taxid30464	414.50853889943	209677	149232	21733	115765	11734	0.823562848156429	0.177323077388059	0.988472868548008
Nothobranchius_furzeri_NCBI.taxid105023	4841.32028298276	504863	221043	5917	193394	21732	0.6950546223423	0.0723963208863985	0.985854034021685
Nicrophorus_vespilloides_NCBI.taxid110193	1836.17233125541	118677	62837	2385	50949	9503	0.841863748676315	0.148201865194473	0.985054715594911
Neophocaena_asiaeorientalis_NCBI.taxid189058	292.41712926249	310554	175954	18319	130833	26802	0.792344290657439	0.17270665257623	0.989315366816388
Neomonachus_schauinslandi_NCBI.taxid29088	438.849673202614	145637	128075	2349	114304	11422	0.936602870813397	0.428014689350221	0.981630497324871
Nematolebias_whitei_NCBI.taxid451745	144.471434715995	170643	159420	29383	121581	8456	0.956695861687233	0.502436125965538	0.98766043866775
