major	minor	unclassified	sequencing_depth	no_compiled_rna_seq	replicate	echantillon	selection	samples
14013	1990	40772	10.7318932655654	1	1	all introns	0	SRR5458588
15450	2213	40529	11.8478682170543	1	2	all introns	0	SRR5458589
16591	2350	41175	16.7240788346187	1	3	all introns	0	SRR5458590
10229	1392	39611	7.34478873239437	1	4	all introns	0	SRR5458591
13875	2084	39399	10.9803220035778	1	5	all introns	0	SRR5458592
15888	2477	38904	14.4641192917055	1	6	all introns	0	SRR5458593
30734	6599	25378	67.705069124424	1	7	all introns	0	SRR5656357
40062	10244	19861	95.3263574660633	1	8	all introns	0	SRR5656358
13315	2225	31588	30.5233291298865	1	9	all introns	0	SRR5656359
37731	10058	18732	113.473684210526	1	10	all introns	0	SRR5656360
14486	2545	31424	23.5646630236794	1	11	all introns	0	SRR5656361
27617	6212	24421	70.1355661881978	1	12	all introns	0	SRR5656362
23016	5270	25605	69.272173324306	1	13	all introns	0	SRR5656363
19836	4725	29454	81.4015561569689	1	14	all introns	0	SRR5656364
20113	3633	30768	28.6945484810653	1	15	all introns	0	SRR5656365
13985	2321	35298	17.8004496908375	1	16	all introns	0	SRR5656366
31025	5536	31331	33.338424437299	1	17	all introns	0	SRR5656367
21861	4156	36364	33.2344992050874	1	18	all introns	0	SRR5656368
6768	956	36435	17.4987834549878	1	19	all introns	0	SRR5656369
7525	934	35965	14.0535433070866	1	20	all introns	0	SRR5656370
6407	818	36221	12.3238780694327	1	21	all introns	0	SRR5656371
10771	1429	38635	16.9271402550091	1	22	all introns	0	SRR5656372
46541	12875	26239	45.3877858758482	1	23	all introns	0	SRR6041830
48503	14493	24718	52.8798053527981	1	24	all introns	0	SRR6041831
4017	448	31565	6.50662427133015	1	25	all introns	0	SRR6784706
8598	1048	38668	15.8449367088608	1	26	all introns	0	SRR6784707
8328	1087	38124	11.5322966507177	1	27	all introns	0	SRR6784708
6983	878	37713	10.307486631016	1	28	all introns	0	SRR6784709
8816	1125	36182	13.3503937007874	1	29	all introns	0	SRR6784710
7360	858	35342	9.97518248175182	1	30	all introns	0	SRR6784711
29664	5473	35315	44.8196078431373	2	1	all introns	0	SRR5458590,SRR5656361
20120	3458	38605	29.3176936122103	2	2	all introns	0	SRR5656366,SRR6784711
39754	9065	27627	100.197982345523	3	1	all introns	0	SRR5656369,SRR5656357,SRR6784709
39015	7932	29408	70.7119856887298	3	2	all introns	0	SRR5656367,SRR5656369,SRR5656372
58105	19064	20610	119.509090909091	4	1	all introns	0	SRR5656368,SRR5656361,SRR6041830,SRR6784706
62747	22852	17208	169.850984067479	4	2	all introns	0	SRR6784708,SRR5656362,SRR5656367,SRR6041830
49361	13773	23829	141.90996948118	5	1	all introns	0	SRR5458593,SRR5656368,SRR5458591,SRR5656362,SRR6784706
51579	18001	20840	247.293351302785	5	2	all introns	0	SRR6784706,SRR5458593,SRR5656364,SRR5656358,SRR5656361
66794	28362	14702	270.904220779221	6	1	all introns	0	SRR6784711,SRR5656358,SRR5458592,SRR5656357,SRR6041830,SRR5458589
59885	19247	19512	141.156813939017	6	2	all introns	0	SRR6041830,SRR6784708,SRR5656371,SRR5656368,SRR6784707,SRR5458590
62682	21821	17266	177.13380879606	7	1	all introns	0	SRR5656370,SRR6041830,SRR6784708,SRR5656368,SRR5656372,SRR5656367,SRR6784709
55826	19318	19683	228.526979324257	7	2	all introns	0	SRR5458588,SRR6784707,SRR5656368,SRR5656363,SRR5458593,SRR5656367,SRR5656365
67006	29602	14752	302.742624618515	8	1	all introns	0	SRR6784710,SRR5656362,SRR6784711,SRR5656358,SRR5656372,SRR6041830,SRR5458588,SRR5656371
