species	clade	NCBI.taxid	clade_dnds
Schistocerca_americana	Invertebrates	7009	Other Insecta
Brenthis_ino	Lepidoptera	405034	Mecopterida
Drosophila_setifemur	Diptera	2848635	Mecopterida
Zaprionus_bogoriensis	Diptera	309927	Mecopterida
Drosophila_pseudotakahashii	Diptera	193234	Mecopterida
Drosophila_pandora	Diptera	1867034	Mecopterida
Drosophila_ironensis	Diptera	2848634	Mecopterida
Drosophila_rubida	Diptera	30044	Mecopterida
Diprion_similis	Hymenoptera	362088	Hymenoptera
Neodiprion_fabricii	Hymenoptera	2872261	Hymenoptera
Sphaerodactylus_townsendi	Lepidosauria	933632	Other Vertebrates
Seriola_aureovittata	Teleostei	2871759	Teleostei
Eciton_burchellii	Hymenoptera	213866	Hymenoptera
Heterotrigona_itama	Hymenoptera	395501	Hymenoptera
Cercopithifilaria_johnstoni	Nematoda	2874296	Nematoda
Phrynosoma_platyrhinos	Lepidosauria	52577	Other Vertebrates
Cotesia_glomerata	Hymenoptera	32391	Hymenoptera
Poeciliopsis_prolifica	Teleostei	188132	Teleostei
Eleutherodactylus_coqui	Amphibia	57060	Other Vertebrates
Muscidifurax_raptorellus	Hymenoptera	51938	Hymenoptera
Fragariocoptes_setiger	Arachnida	1670756	Other Invertebrates
Phthorimaea_operculella	Lepidoptera	192464	Mecopterida
Elysia_marginata	Mollusca	1093978	Other Invertebrates
Engystomops_pustulosus	Amphibia	76066	Other Vertebrates
Venturia_canescens	Hymenoptera	32260	Hymenoptera
Oedothorax_gibbosus	Arachnida	931172	Other Invertebrates
Cotesia_congregata	Hymenoptera	51543	Hymenoptera
Cotesia_typhae	Hymenoptera	2053667	Hymenoptera
Centrocercus_urophasianus	Aves	9002	Aves
Phyllostomus_hastatus	Mammalia	9423	Mammalia
Sceloporus_undulatus	Lepidosauria	8520	Other Vertebrates
Vespa_crabro	Hymenoptera	7445	Hymenoptera
Parelaphostrongylus_tenuis	Nematoda	148309	Nematoda
Ampulex_compressa	Hymenoptera	860918	Hymenoptera
Notodromas_monacha	Crustacea	399045	Other Invertebrates
Darwinula_stevensoni	Crustacea	69355	Other Invertebrates
Gonioctena_quinquepunctata	Coleoptera	63699	Other Insecta
Iphiclides_podalirius	Lepidoptera	110791	Mecopterida
Chrysoperla_carnea	Invertebrates	189513	Other Insecta
Toxotes_jaculatrix	Teleostei	941984	Teleostei
Corvus_kubaryi	Aves	68294	Aves
Acromyrmex_heyeri	Hymenoptera	230685	Hymenoptera
Acromyrmex_charruanus	Hymenoptera	2715315	Hymenoptera
Pseudoatta_argentina	Hymenoptera	621737	Hymenoptera
Acromyrmex_insinuator	Hymenoptera	230686	Hymenoptera
Daphnia_sinensis	Crustacea	1820382	Other Invertebrates
Pieris_macdunnoughi	Lepidoptera	345717	Mecopterida
Rotaria_socialis	Invertebrates	392032	Other Invertebrates
Didymodactylos_carnosus	Invertebrates	1234261	Other Invertebrates
Adineta_steineri	Invertebrates	433720	Other Invertebrates
Rotaria_sordida	Invertebrates	392033	Other Invertebrates
Daphnia_pulicaria	Crustacea	35523	Other Invertebrates
Gryllus_bimaculatus	Invertebrates	6999	Other Insecta
Polypterus_senegalus	Vertebrates	55291	Other Vertebrates
Bufo_bufo	Amphibia	8384	Other Vertebrates
Aricia_agestis	Lepidoptera	91739	Mecopterida
Pieris_brassicae	Lepidoptera	7116	Mecopterida
Drosophila_teissieri	Diptera	7243	Mecopterida
Chionoecetes_opilio	Crustacea	41210	Other Invertebrates
Gracilinanus_agilis	Mammalia	191870	Mammalia
Antechinus_flavipes	Mammalia	38775	Mammalia
Tribolium_madens	Coleoptera	41895	Other Insecta
Elachura_formosa	Aves	1463973	Aves
Cercotrichas_coryphoeus	Aves	614051	Aves
Certhia_familiaris	Aves	73333	Aves
Asarcornis_scutulata	Aves	75869	Aves
Pheucticus_melanocephalus	Aves	371919	Aves
Nothocercus_nigrocapillus	Aves	1977171	Aves
Nothoprocta_pentlandii	Aves	2585814	Aves
Chionis_minor	Aves	227182	Aves
Climacteris_rufus	Aves	47695	Aves
Aegotheles_bennettii	Aves	48278	Aves
Aleadryas_rufinucha	Aves	461220	Aves
Orthonyx_spaldingii	Aves	38397	Aves
Eulacestoma_nigropectus	Aves	461239	Aves
Calcarius_ornatus	Aves	198940	Aves
Thryothorus_ludovicianus	Aves	74200	Aves
Irena_cyanogastra	Aves	175120	Aves
Edolisoma_coerulescens	Aves	2585810	Aves
Sterrhoptilus_dennistouni	Aves	2585820	Aves
Rhabdornis_inornatus	Aves	237438	Aves
Pachycephala_philippinensis	Aves	449367	Aves
Oceanodroma_tethys	Aves	79633	Aves
Myiagra_hebetior	Aves	381031	Aves
Dicaeum_eximium	Aves	667154	Aves
Baryphthengus_martii	Aves	176943	Aves
Bucco_capensis	Aves	135168	Aves
Stercorarius_parasiticus	Aves	54059	Aves
Loxia_leucoptera	Aves	96539	Aves
Psilopogon_haemacephalus	Aves	2585815	Aves
Corythaeola_cristata	Aves	103954	Aves
Ciccaba_nigrolineata	Aves	1118524	Aves
Sclerurus_mexicanus	Aves	265632	Aves
Grallaria_varia	Aves	117165	Aves
Sakesphorus_luctuosus	Aves	419690	Aves
Eubucco_bourcierii	Aves	91767	Aves
Campylorhamphus_procurvoides	Aves	190295	Aves
Penelope_pileata	Aves	1118817	Aves
Nyctibius_bracteatus	Aves	48426	Aves
Rhodinocichla_rosea	Aves	58203	Aves
Ptilorrhoa_leucosticta	Aves	449384	Aves
Chaetorhynchus_papuensis	Aves	254446	Aves
Smithornis_capensis	Aves	363769	Aves
Ardeotis_kori	Aves	89386	Aves
Ceyx_cyanopectus	Aves	390723	Aves
Glareola_pratincola	Aves	43316	Aves
Brachypteracias_leptosomus	Aves	135165	Aves
Urocolius_indicus	Aves	458196	Aves
Pteruthius_melanotis	Aves	357074	Aves
Xiphorhynchus_elegans	Aves	269412	Aves
Cettia_cetti	Aves	68486	Aves
Calonectris_borealis	Aves	1323832	Aves
Passerina_amoena	Aves	142471	Aves
Cepphus_grylle	Aves	28697	Aves
Horornis_vulcanius	Aves	2585811	Aves
Atrichornis_clamosus	Aves	449594	Aves
Drymodes_brunneopygia	Aves	626378	Aves
Turnix_velox	Aves	2529409	Aves
Thalassarche_chlororhynchos	Aves	54017	Aves
Zapornia_atra	Aves	2585822	Aves
Pluvianellus_socialis	Aves	227228	Aves
Centropus_bengalensis	Aves	1463675	Aves
Chaetops_frenatus	Aves	221966	Aves
Pelecanoides_urinatrix	Aves	37079	Aves
Pomatostomus_ruficeps	Aves	9176	Aves
Oxylabes_madagascariensis	Aves	98144	Aves
Neodrepanis_coruscans	Aves	254563	Aves
Mystacornis_crossleyi	Aves	98133	Aves
Syrrhaptes_paradoxus	Aves	302527	Aves
Hypocryptadius_cinnamomeus	Aves	589841	Aves
Chloropsis_cyanopogon	Aves	1218682	Aves
Erpornis_zantholeuca	Aves	1112836	Aves
Tricholaema_leucomelas	Aves	240729	Aves
Pycnonotus_jocosus	Aves	182897	Aves
Scytalopus_superciliaris	Aves	312124	Aves
Vidua_macroura	Aves	187451	Aves
Thinocorus_orbignyianus	Aves	161742	Aves
Eurystomus_gularis	Aves	325343	Aves
Larus_smithsonianus	Aves	243888	Aves
Rhadina_sibilatrix	Aves	2585818	Aves
Cisticola_juncidis	Aves	52622	Aves
Locustella_ochotensis	Aves	187437	Aves
Hippolais_icterina	Aves	68497	Aves
Nycticryphes_semicollaris	Aves	227226	Aves
Rynchops_niger	Aves	227184	Aves
