species	clade	NCBI.taxid	clade_dnds
Oryx_dammah	Mammalia	59534	Mammalia
Pteropus_alecto	Mammalia	9402	Mammalia
Panonychus_citri	Arachnida	50023	Other Invertebrates
Apostichopus_japonicus	Echinodermata	307972	Other Invertebrates
Megalobrama_amblycephala	Teleostei	75352	Teleostei
Hippoglossus_hippoglossus	Teleostei	8267	Teleostei
Tachyglossus_aculeatus	Mammalia	9261	Mammalia
Penaeus_monodon	Crustacea	6687	Other Invertebrates
Desmophyllum_pertusum	Cnidaria	174260	Other Invertebrates
Boleophthalmus_pectinirostris	Teleostei	150288	Teleostei
Ostrea_edulis	Mollusca	37623	Other Invertebrates
Onchocerca_flexuosa	Nematoda	387005	Nematoda
Camelus_ferus	Mammalia	419612	Mammalia
Ficedula_albicollis	Aves	59894	Aves
Octodon_degus	Mammalia	10160	Mammalia
Trichinella_pseudospiralis	Nematoda	6337	Nematoda
Elephantulus_edwardii	Mammalia	28737	Mammalia
Chrysochloris_asiatica	Mammalia	185453	Mammalia
Bursaphelenchus_xylophilus	Nematoda	6326	Nematoda
Zeugodacus_cucurbitae	Diptera	28588	Mecopterida
Cynoglossus_semilaevis	Teleostei	244447	Teleostei
Eptesicus_fuscus	Mammalia	29078	Mammalia
Anopheles_merus	Diptera	30066	Mecopterida
Anopheles_arabiensis	Diptera	7173	Mecopterida
Stomoxys_calcitrans	Diptera	35570	Mecopterida
Adineta_ricciae	Invertebrates	249248	Other Invertebrates
Serinus_canaria	Aves	9135	Aves
Leiothrix_lutea	Aves	36275	Aves
Amphibalanus_amphitrite	Crustacea	1232801	Other Invertebrates
Phlebotomus_papatasi	Diptera	29031	Mecopterida
Daphnia_magna	Crustacea	35525	Other Invertebrates
Leucoraja_erinacea	Chondrichthyes	7782	Other Vertebrates
Drosophila_miranda	Diptera	7229	Mecopterida
Condylura_cristata	Mammalia	143302	Mammalia
Anguilla_anguilla	Teleostei	7936	Teleostei
Paralichthys_olivaceus	Teleostei	8255	Teleostei
Dracunculus_medinensis	Nematoda	318479	Nematoda
Pongo_pygmaeus	Mammalia	9600	Mammalia
Hydatigera_taeniaeformis	Platyhelminthes	6205	Other Invertebrates
Strongylus_vulgaris	Nematoda	40348	Nematoda
Dendronephthya_gigantea	Cnidaria	151771	Other Invertebrates
Diatraea_saccharalis	Lepidoptera	40085	Mecopterida
Sinocyclocheilus_grahami	Teleostei	75366	Teleostei
Dermatophagoides_farinae	Arachnida	6954	Other Invertebrates
Angiostrongylus_costaricensis	Nematoda	334426	Nematoda
Cygnus_atratus	Aves	8868	Aves
Moschus_berezovskii	Mammalia	68408	Mammalia
Chiloscyllium_plagiosum	Chondrichthyes	36176	Other Vertebrates
Dermatophagoides_pteronyssinus	Arachnida	6956	Other Invertebrates
Bambusicola_thoracicus	Aves	9083	Aves
Nezara_viridula	Hemiptera	85310	Other Insecta
Geococcyx_californianus	Aves	8947	Aves
Enterobius_vermicularis	Nematoda	51028	Nematoda
Chelydra_serpentina	Testudines	8475	Other Vertebrates
Menidia_menidia	Teleostei	238744	Teleostei
Opisthorchis_felineus	Platyhelminthes	147828	Other Invertebrates
Spirometra_erinaceieuropaei	Platyhelminthes	99802	Other Invertebrates
Ochotona_curzoniae	Mammalia	130825	Mammalia
Acanthopagrus_latus	Teleostei	8177	Teleostei
Toxocara_canis	Nematoda	6265	Nematoda
Panthera_uncia	Mammalia	29064	Mammalia
Panthera_pardus	Mammalia	9691	Mammalia
Xyrauchen_texanus	Teleostei	154827	Teleostei
Lucilia_sericata	Diptera	13632	Mecopterida
Hippoglossus_stenolepis	Teleostei	195615	Teleostei
Trichobilharzia_regenti	Platyhelminthes	157069	Other Invertebrates
Mauremys_mutica	Testudines	74926	Other Vertebrates
Amphiprion_ocellaris	Teleostei	80972	Teleostei
Dibothriocephalus_latus	Platyhelminthes	60516	Other Invertebrates
Phacochoerus_africanus	Mammalia	41426	Mammalia
Pandion_haliaetus	Aves	56262	Aves
Apus_apus	Aves	8895	Aves
Bufo_gargarizans	Amphibia	30331	Other Vertebrates
Galemys_pyrenaicus	Mammalia	202257	Mammalia
Podiceps_cristatus	Aves	345573	Aves
Nipponia_nippon	Aves	128390	Aves
Atractosteus_spatula	Vertebrates	7917	Other Vertebrates
Schistosoma_spindale	Platyhelminthes	6189	Other Invertebrates
Platysternon_megacephalum	Testudines	55544	Other Vertebrates
Anisakis_simplex	Nematoda	6269	Nematoda
Acanthaster_planci	Echinodermata	133434	Other Invertebrates
Cathartes_aura	Aves	43455	Aves
Leptotrombidium_deliense	Arachnida	299467	Other Invertebrates
Alectura_lathami	Aves	81907	Aves
Gavia_stellata	Aves	37040	Aves
Pogona_vitticeps	Lepidosauria	103695	Other Vertebrates
Choloepus_didactylus	Mammalia	27675	Mammalia
Bombina_bombina	Amphibia	8345	Other Vertebrates
Pangasianodon_gigas	Teleostei	30993	Teleostei
Rhinatrema_bivittatum	Amphibia	194408	Other Vertebrates
Erpetoichthys_calabaricus	Vertebrates	27687	Other Vertebrates
Dallia_pectoralis	Teleostei	75939	Teleostei
Muntiacus_muntjak	Mammalia	9888	Mammalia
Polyodon_spathula	Vertebrates	7913	Other Vertebrates
Caranx_melampygus	Teleostei	181461	Teleostei
Ixodes_persulcatus	Arachnida	34615	Other Invertebrates
Bombyx_mandarina	Lepidoptera	7092	Mecopterida
Vombatus_ursinus	Mammalia	29139	Mammalia
Mugil_cephalus	Teleostei	48193	Teleostei
Trichosurus_vulpecula	Mammalia	9337	Mammalia
Amblyraja_radiata	Chondrichthyes	386614	Other Vertebrates
Phoca_vitulina	Mammalia	9720	Mammalia
Eudyptula_minor	Aves	37083	Aves
Dromiciops_gliroides	Mammalia	33562	Mammalia
Albula_glossodonta	Teleostei	121402	Teleostei
Megalops_cyprinoides	Teleostei	118141	Teleostei
Megalops_atlanticus	Teleostei	7932	Teleostei
Drosophila_rhopaloa	Diptera	1041015	Mecopterida
Strongyloides_ratti	Nematoda	34506	Nematoda
Lytechinus_variegatus	Echinodermata	7654	Other Invertebrates
Galendromus_occidentalis	Arachnida	34638	Other Invertebrates
Pundamilia_nyererei	Teleostei	303518	Teleostei
Neolamprologus_brichardi	Teleostei	32507	Teleostei
Haplochromis_burtoni	Teleostei	8153	Teleostei
Latimeria_chalumnae	Vertebrates	7897	Other Vertebrates
Caenorhabditis_angaria	Nematoda	860376	Nematoda
Chironomus_riparius	Diptera	315576	Mecopterida
Nilaparvata_lugens	Hemiptera	108931	Other Insecta
Patiria_miniata	Echinodermata	46514	Other Invertebrates
Rhipicephalus_microplus	Arachnida	6941	Other Invertebrates
Cricetulus_griseus	Mammalia	10029	Mammalia
Rhipicephalus_sanguineus	Arachnida	34632	Other Invertebrates
Rhagoletis_pomonella	Diptera	28610	Mecopterida
Amphimedon_queenslandica	Invertebrates	400682	Other Invertebrates
Dicentrarchus_labrax	Teleostei	13489	Teleostei
Ctenopharyngodon_idella	Teleostei	7959	Teleostei
Maylandia_zebra	Teleostei	106582	Teleostei
Anopheles_darlingi	Diptera	43151	Mecopterida
Galeopterus_variegatus	Mammalia	482537	Mammalia
Priapulus_caudatus	Invertebrates	37621	Other Invertebrates
Limulus_polyphemus	Invertebrates	6850	Other Invertebrates
Dipodomys_ordii	Mammalia	10020	Mammalia
Ochotona_princeps	Mammalia	9978	Mammalia
Lutzomyia_longipalpis	Diptera	7200	Mecopterida
Oryzias_latipes	Teleostei	8090	Teleostei
Ictidomys_tridecemlineatus	Mammalia	43179	Mammalia
Otolemur_garnettii	Mammalia	30611	Mammalia
Aplysia_californica	Mollusca	6500	Other Invertebrates
Oikopleura_dioica	Invertebrates	34765	Other Invertebrates
Lemur_catta	Mammalia	9447	Mammalia
Saccoglossus_kowalevskii	Invertebrates	10224	Other Invertebrates
Biomphalaria_glabrata	Mollusca	6526	Other Invertebrates
Trichoplax_adhaerens	Invertebrates	10228	Other Invertebrates
Ancylostoma_duodenale	Nematoda	51022	Nematoda
Ancylostoma_caninum	Nematoda	29170	Nematoda
Daphnia_pulex	Crustacea	6669	Other Invertebrates
Petromyzon_marinus	Vertebrates	7757	Other Vertebrates
Drosophila_mojavensis	Diptera	7230	Mecopterida
Caenorhabditis_brenneri	Nematoda	135651	Nematoda
Caenorhabditis_remanei	Nematoda	31234	Nematoda
Drosophila_willistoni	Diptera	7260	Mecopterida
Pristionchus_pacificus	Nematoda	54126	Nematoda
Trichinella_spiralis	Nematoda	6334	Nematoda
Schistosoma_mansoni	Platyhelminthes	6183	Other Invertebrates
Dasypus_novemcinctus	Mammalia	9361	Mammalia
Echinops_telfairi	Mammalia	9371	Mammalia
Cavia_porcellus	Mammalia	10141	Mammalia
Nematostella_vectensis	Cnidaria	45351	Other Invertebrates
Sorex_araneus	Mammalia	42254	Mammalia
Tetraodon_nigroviridis	Teleostei	99883	Teleostei
Drosophila_yakuba	Diptera	7245	Mecopterida
Vidua_chalybeata	Aves	81927	Aves
Arenaria_interpres	Aves	54971	Aves
Meleagris_gallopavo	Aves	9103	Aves
Strongylocentrotus_purpuratus	Echinodermata	7668	Other Invertebrates
Saimiri_boliviensis	Mammalia	27679	Mammalia
Microtus_ochrogaster	Mammalia	79684	Mammalia
Melospiza_melodia	Aves	44397	Aves
Lonchura_striata	Aves	40157	Aves
Cyprinus_carpio	Teleostei	7962	Teleostei
Callithrix_jacchus	Mammalia	9483	Mammalia
Pelodiscus_sinensis	Testudines	13735	Other Vertebrates
Panthera_tigris	Mammalia	9694	Mammalia
Monodelphis_domestica	Mammalia	13616	Mammalia
Heterocephalus_glaber	Mammalia	10181	Mammalia
Macaca_mulatta	Mammalia	9544	Mammalia
Ornithorhynchus_anatinus	Mammalia	9258	Mammalia
Erinaceus_europaeus	Mammalia	9365	Mammalia
Felis_catus	Mammalia	9685	Mammalia
Oryctolagus_cuniculus	Mammalia	9986	Mammalia
Rattus_norvegicus	Mammalia	10116	Mammalia
Mus_musculus	Mammalia	10090	Mammalia
Bos_taurus	Mammalia	9913	Mammalia
Crocodylus_porosus	Crocodylia	8502	Other Vertebrates
Gallus_gallus	Aves	9031	Aves
Loxodonta_africana	Mammalia	9785	Mammalia
Cervus_elaphus	Mammalia	9860	Mammalia
Sus_scrofa	Mammalia	9823	Mammalia
Canis_lupus	Mammalia	9612	Mammalia
Danio_rerio	Teleostei	7955	Teleostei
Xenopus_tropicalis	Amphibia	8364	Other Vertebrates
Xenopus_laevis	Amphibia	8355	Other Vertebrates
Callorhinchus_milii	Chondrichthyes	7868	Other Vertebrates
Homo_sapiens	Mammalia	9606	Mammalia
Equus_caballus	Mammalia	9796	Mammalia
Blattella_germanica	Blattodea	6973	Other Insecta
Cryptotermes_secundus	Blattodea	105785	Other Insecta
Zootermopsis_nevadensis	Blattodea	136037	Other Insecta
Acyrthosiphon_pisum	Hemiptera	7029	Other Insecta
Cimex_lectularius	Hemiptera	79782	Other Insecta
Halyomorpha_halys	Hemiptera	286706	Other Insecta
Athalia_rosae	Hymenoptera	37344	Hymenoptera
Cephus_cinctus	Hymenoptera	211228	Hymenoptera
Orussus_abietinus	Hymenoptera	222816	Hymenoptera
Nasonia_vitripennis	Hymenoptera	7425	Hymenoptera
Trichogramma_pretiosum	Hymenoptera	7493	Hymenoptera
Harpegnathos_saltator	Hymenoptera	610380	Hymenoptera
Linepithema_humile	Hymenoptera	83485	Hymenoptera
Camponotus_floridanus	Hymenoptera	104421	Hymenoptera
Pogonomyrmex_barbatus	Hymenoptera	144034	Hymenoptera
Polistes_canadensis	Hymenoptera	91411	Hymenoptera
Polistes_dominula	Hymenoptera	743375	Hymenoptera
Solenopsis_invicta	Hymenoptera	13686	Hymenoptera
Acromyrmex_echinatior	Hymenoptera	103372	Hymenoptera
Atta_cephalotes	Hymenoptera	12957	Hymenoptera
Dufourea_novaeangliae	Hymenoptera	178035	Hymenoptera
Megachile_rotundata	Hymenoptera	143995	Hymenoptera
Habropoda_laboriosa	Hymenoptera	597456	Hymenoptera
Eufriesea_mexicana	Hymenoptera	516756	Hymenoptera
Apis_mellifera	Hymenoptera	7460	Hymenoptera
Apis_florea	Hymenoptera	7463	Hymenoptera
Apis_cerana	Hymenoptera	7461	Hymenoptera
Melipona_quadrifasciata	Hymenoptera	166423	Hymenoptera
Bombus_terrestris	Hymenoptera	30195	Hymenoptera
Onthophagus_taurus	Coleoptera	166361	Other Insecta
Tribolium_castaneum	Coleoptera	7070	Other Insecta
Dendroctonus_ponderosae	Coleoptera	77166	Other Insecta
Anoplophora_glabripennis	Coleoptera	217634	Other Insecta
Leptinotarsa_decemlineata	Coleoptera	7539	Other Insecta
Plutella_xylostella	Lepidoptera	51655	Mecopterida
Bombyx_mori	Lepidoptera	7091	Mecopterida
Danaus_plexippus	Lepidoptera	13037	Mecopterida
Aedes_aegypti	Diptera	7159	Mecopterida
Culex_quinquefasciatus	Diptera	7176	Mecopterida
Anopheles_gambiae	Diptera	7165	Mecopterida
Drosophila_grimshawi	Diptera	7222	Mecopterida
Drosophila_pseudoobscura	Diptera	7237	Mecopterida
Drosophila_melanogaster	Diptera	7227	Mecopterida
Drosophila_suzukii	Diptera	28584	Mecopterida
Ceratitis_capitata	Diptera	7213	Mecopterida
Lucilia_cuprina	Diptera	7375	Mecopterida
Musca_domestica	Diptera	7370	Mecopterida
Enhydra_lutris	Mammalia	34882	Mammalia
Carassius_auratus	Teleostei	7957	Teleostei
Motacilla_alba	Aves	45807	Aves
Patagioenas_fasciata	Aves	372321	Aves
Terrapene_carolina	Testudines	158814	Other Vertebrates
Osmia_bicornis	Hymenoptera	1437190	Hymenoptera
Neophocaena_asiaeorientalis	Mammalia	189058	Mammalia
Ovis_aries	Mammalia	9940	Mammalia
Lamprotornis_superbus	Aves	245042	Aves
Nematolebias_whitei	Teleostei	451745	Teleostei
Tetranychus_urticae	Arachnida	32264	Other Invertebrates
Ixodes_scapularis	Arachnida	6945	Other Invertebrates
Centruroides_sculpturatus	Arachnida	218467	Other Invertebrates
Eurytemora_affinis	Crustacea	88015	Other Invertebrates
Tyto_alba	Aves	56313	Aves
Anser_cygnoides	Aves	8845	Aves
Ursus_arctos	Mammalia	9644	Mammalia
Seriola_lalandi	Teleostei	302047	Teleostei
Balaenoptera_acutorostrata	Mammalia	9767	Mammalia
Bison_bison	Mammalia	9901	Mammalia
Podarcis_muralis	Lepidosauria	64176	Other Vertebrates
Anas_platyrhynchos	Aves	8839	Aves
Odocoileus_virginianus	Mammalia	9874	Mammalia
Diabrotica_virgifera	Coleoptera	50389	Other Insecta
Trachemys_scripta	Testudines	34903	Other Vertebrates
Glossina_fuscipes	Diptera	7396	Mecopterida
Ceratosolen_solmsi	Hymenoptera	142686	Hymenoptera
Bombus_vancouverensis	Hymenoptera	2705177	Hymenoptera
Peromyscus_maniculatus	Mammalia	10042	Mammalia
Equus_asinus	Mammalia	9793	Mammalia
Gorilla_gorilla	Mammalia	9593	Mammalia
Vicugna_pacos	Mammalia	30538	Mammalia
Pan_troglodytes	Mammalia	9598	Mammalia
Struthio_camelus	Aves	8801	Aves
Vespula_vulgaris	Hymenoptera	7454	Hymenoptera
Vespula_pensylvanica	Hymenoptera	30213	Hymenoptera
Arvicola_amphibius	Mammalia	1047088	Mammalia
Clarias_magur	Teleostei	1594786	Teleostei
Oenanthe_oenanthe	Aves	279966	Aves
Chelonus_insularis	Hymenoptera	460826	Hymenoptera
Exaiptasia_diaphana	Cnidaria	2652724	Other Invertebrates
Branchiostoma_floridae	Cephalochordata	7739	Other Invertebrates
Cloeon_dipterum	Ephemeroptera	197152	Other Insecta
Gymnodraco_acuticeps	Teleostei	8218	Teleostei
Pseudochaenichthys_georgianus	Teleostei	52239	Teleostei
Molothrus_ater	Aves	84834	Aves
Zerene_cesonia	Lepidoptera	33412	Mecopterida
Osmia_lignaria	Hymenoptera	473952	Hymenoptera
Bombus_vosnesenskii	Hymenoptera	207650	Hymenoptera
Bombus_bifarius	Hymenoptera	103933	Hymenoptera
Pollicipes_pollicipes	Crustacea	41117	Other Invertebrates
Dissostichus_mawsoni	Teleostei	36200	Teleostei
Arvicanthis_niloticus	Mammalia	61156	Mammalia
Anneissia_japonica	Echinodermata	1529436	Other Invertebrates
Oxyura_jamaicensis	Aves	8884	Aves
Ignelater_luminosus	Coleoptera	2038154	Other Insecta
Belonocnema_treatae	Hymenoptera	1159321	Hymenoptera
Stegodyphus_dumicola	Arachnida	202533	Other Invertebrates
Odontomachus_brunneus	Hymenoptera	486640	Hymenoptera
Eudyptes_filholi	Aves	1419345	Aves
Chiroxiphia_lanceolata	Aves	296741	Aves
Cyclopterus_lumpus	Teleostei	8103	Teleostei
Notolabrus_celidotus	Teleostei	1203425	Teleostei
Pecten_maximus	Mollusca	6579	Other Invertebrates
Photinus_pyralis	Coleoptera	7054	Other Insecta
Actinia_tenebrosa	Cnidaria	6105	Other Invertebrates
Camarhynchus_parvulus	Aves	87175	Aves
Asterias_rubens	Echinodermata	7604	Other Invertebrates
Gopherus_evgoodei	Testudines	1825980	Other Vertebrates
Archocentrus_centrarchus	Teleostei	63155	Teleostei
Dermochelys_coriacea	Testudines	27794	Other Vertebrates
Thrips_palmi	Thysanoptera	161013	Other Insecta
Eumeta_japonica	Lepidoptera	151549	Mecopterida
Nylanderia_fulva	Hymenoptera	613905	Hymenoptera
Varanus_komodoensis	Lepidosauria	61221	Other Vertebrates
Anarrhichthys_ocellatus	Teleostei	433405	Teleostei
Cottoperca_gobio	Teleostei	56716	Teleostei
Phyllostomus_discolor	Mammalia	89673	Mammalia
Onychomys_torridus	Mammalia	38674	Mammalia
Suricata_suricatta	Mammalia	37032	Mammalia
Strigops_habroptila	Aves	2489341	Aves
Drosophila_guanche	Diptera	7266	Mecopterida
Anabarilius_grahami	Teleostei	495550	Teleostei
Marmota_flaviventris	Mammalia	93162	Mammalia
Electrophorus_electricus	Teleostei	8005	Teleostei
Bos_indicus	Mammalia	9915	Mammalia
Apteryx_rowi	Aves	308060	Aves
Malaclemys_terrapin	Testudines	8485	Other Vertebrates
Ceratotherium_simum	Mammalia	9807	Mammalia
Micropterus_salmoides	Teleostei	27706	Teleostei
Drosophila_subpulchrella	Diptera	1486046	Mecopterida
Molossus_molossus	Mammalia	27622	Mammalia
Pipistrellus_kuhlii	Mammalia	59472	Mammalia
Arctia_plantaginis	Lepidoptera	874455	Mecopterida
Contarinia_nasturtii	Diptera	265458	Mecopterida
Talpa_occidentalis	Mammalia	50954	Mammalia
Grammomys_surdaster	Mammalia	491861	Mammalia
Pipra_filicauda	Aves	649802	Aves
Nothoprocta_perdicaria	Aves	30464	Aves
Cyanistes_caeruleus	Aves	156563	Aves
Paramormyrops_kingsleyae	Teleostei	1676925	Teleostei
Melanaphis_sacchari	Hemiptera	742174	Other Insecta
Piliocolobus_tephrosceles	Mammalia	591936	Mammalia
Mastomys_coucha	Mammalia	35658	Mammalia
Acanthochromis_polyacanthus	Teleostei	80966	Teleostei
Mus_pahari	Mammalia	10093	Mammalia
Miniopterus_natalensis	Mammalia	291302	Mammalia
Myotis_myotis	Mammalia	51298	Mammalia
Sturnus_vulgaris	Aves	9172	Aves
Octopus_bimaculoides	Mollusca	37653	Other Invertebrates
Lynx_pardinus	Mammalia	191816	Mammalia
Lynx_canadensis	Mammalia	61383	Mammalia
Calidris_pugnax	Aves	198806	Aves
Nicrophorus_vespilloides	Coleoptera	110193	Other Insecta
Dinoponera_quadriceps	Hymenoptera	609295	Hymenoptera
Gekko_japonicus	Lepidosauria	146911	Other Vertebrates
Pantherophis_guttatus	Lepidosauria	94885	Other Vertebrates
Sinocyclocheilus_rhinocerous	Teleostei	307959	Teleostei
Sinocyclocheilus_anshuiensis	Teleostei	1608454	Teleostei
Hermetia_illucens	Diptera	343691	Mecopterida
Scaptodrosophila_lebanonensis	Diptera	7225	Mecopterida
Zootoca_vivipara	Lepidosauria	8524	Other Vertebrates
Manis_javanica	Mammalia	9974	Mammalia
Sander_lucioperca	Teleostei	283035	Teleostei
Meloidogyne_enterolobii	Nematoda	390850	Nematoda
Colossoma_macropomum	Teleostei	42526	Teleostei
Perca_fluviatilis	Teleostei	8168	Teleostei
Periophthalmus_magnuspinnatus	Teleostei	409849	Teleostei
Ophiophagus_hannah	Lepidosauria	8665	Other Vertebrates
Crotalus_tigris	Lepidosauria	88082	Other Vertebrates
Bothrops_jararaca	Lepidosauria	8724	Other Vertebrates
Thamnophis_sirtalis	Lepidosauria	35019	Other Vertebrates
Thamnophis_elegans	Lepidosauria	35005	Other Vertebrates
Naja_naja	Lepidosauria	35670	Other Vertebrates
Aquila_chrysaetos	Aves	8962	Aves
Catharus_ustulatus	Aves	91951	Aves
Corvus_cornix	Aves	181096	Aves
Hirundo_rustica	Aves	43150	Aves
Panthera_leo	Mammalia	9689	Mammalia
Pteropus_giganteus	Mammalia	143291	Mammalia
Myotis_brandtii	Mammalia	109478	Mammalia
Phascolarctos_cinereus	Mammalia	38626	Mammalia
Trichechus_manatus	Mammalia	9778	Mammalia
Caenorhabditis_elegans	Nematoda	6239	Nematoda
Meriones_unguiculatus	Mammalia	10047	Mammalia
Zonotrichia_albicollis	Aves	44394	Aves
Bactrocera_oleae	Diptera	104688	Mecopterida
Bagarius_yarrelli	Teleostei	175774	Teleostei
Gigantopelta_aegis	Mollusca	1735272	Other Invertebrates
Trichonephila_clavipes	Arachnida	2585209	Other Invertebrates
Oncorhynchus_mykiss	Teleostei	8022	Teleostei
Salmo_salar	Teleostei	8030	Teleostei
Oncorhynchus_kisutch	Teleostei	8019	Teleostei
Acinonyx_jubatus	Mammalia	32536	Mammalia
Neomonachus_schauinslandi	Mammalia	29088	Mammalia
Vulpes_lagopus	Mammalia	494514	Mammalia
Halichoerus_grypus	Mammalia	9711	Mammalia
Nyctereutes_procyonoides	Mammalia	34880	Mammalia
Vulpes_vulpes	Mammalia	9627	Mammalia
Leptonychotes_weddellii	Mammalia	9713	Mammalia
Mirounga_leonina	Mammalia	9715	Mammalia
Puma_concolor	Mammalia	9696	Mammalia
Aphelenchus_avenae	Nematoda	70226	Nematoda
Orbicella_faveolata	Cnidaria	48498	Other Invertebrates
Hydra_vulgaris	Cnidaria	6087	Other Invertebrates
Stylophora_pistillata	Cnidaria	50429	Other Invertebrates
Teladorsagia_circumcincta	Nematoda	45464	Nematoda
Ancylostoma_ceylanicum	Nematoda	53326	Nematoda
Alligator_mississippiensis	Crocodylia	8496	Other Vertebrates
Caligus_rogercresseyi	Crustacea	217165	Other Invertebrates
Daphnia_galeata	Crustacea	27404	Other Invertebrates
Armadillidium_vulgare	Crustacea	13347	Other Invertebrates
Ramazzottius_varieornatus	Tardigrada	947166	Other Invertebrates
Puntigrus_tetrazona	Teleostei	1606681	Teleostei
Caenorhabditis_nigoni	Nematoda	1611254	Nematoda
Lepidothrix_coronata	Aves	321398	Aves
Owenia_fusiformis	Annelida	6347	Other Invertebrates
Macrostomum_lignano	Platyhelminthes	282301	Other Invertebrates
Lingula_anatina	Brachiopoda	7574	Other Invertebrates
Betta_splendens	Teleostei	158456	Teleostei
Onychostruthus_taczanowskii	Aves	356909	Aves
Numida_meleagris	Aves	8996	Aves
Papilio_machaon	Lepidoptera	76193	Mecopterida
Mustela_putorius	Mammalia	9668	Mammalia
Lates_calcarifer	Teleostei	8187	Teleostei
Takifugu_flavidus	Teleostei	433684	Teleostei
Tursiops_truncatus	Mammalia	9739	Mammalia
Elysia_chlorotica	Mollusca	188477	Other Invertebrates
Haliotis_rufescens	Mollusca	6454	Other Invertebrates
Angiostrongylus_cantonensis	Nematoda	6313	Nematoda
Trichuris_suis	Nematoda	68888	Nematoda
Homarus_americanus	Crustacea	6706	Other Invertebrates
Penaeus_vannamei	Crustacea	6689	Other Invertebrates
Echinococcus_granulosus	Platyhelminthes	6210	Other Invertebrates
Schistosoma_haematobium	Platyhelminthes	6185	Other Invertebrates
Acropora_digitifera	Cnidaria	70779	Other Invertebrates
Pieris_rapae	Lepidoptera	64459	Mecopterida
Coptotermes_formosanus	Blattodea	36987	Other Insecta
Myotis_lucifugus	Mammalia	59463	Mammalia
Anolis_carolinensis	Lepidosauria	28377	Other Vertebrates
Gymnogyps_californianus	Aves	33616	Aves
Fundulus_heteroclitus	Teleostei	8078	Teleostei
Pteropus_vampyrus	Mammalia	132908	Mammalia
Necator_americanus	Nematoda	51031	Nematoda
Microcebus_murinus	Mammalia	30608	Mammalia
Dictyocaulus_viviparus	Nematoda	29172	Nematoda
Bubalus_bubalis	Mammalia	89462	Mammalia
Oesophagostomum_dentatum	Nematoda	61180	Nematoda
Melitaea_cinxia	Lepidoptera	113334	Mecopterida
Clonorchis_sinensis	Platyhelminthes	79923	Other Invertebrates
Acropora_millepora	Cnidaria	45264	Other Invertebrates
Drosophila_mauritiana	Diptera	7226	Mecopterida
Drosophila_sechellia	Diptera	7238	Mecopterida
Drosophila_simulans	Diptera	7240	Mecopterida
Drosophila_erecta	Diptera	7220	Mecopterida
Acanthocheilonema_viteae	Nematoda	6277	Nematoda
Varroa_destructor	Arachnida	109461	Other Invertebrates
Loa_loa	Nematoda	7209	Nematoda
Steinernema_carpocapsae	Nematoda	34508	Nematoda
Penaeus_chinensis	Crustacea	139456	Other Invertebrates
Lepeophtheirus_salmonis	Crustacea	72036	Other Invertebrates
Ailuropoda_melanoleuca	Mammalia	9646	Mammalia
Gadus_morhua	Teleostei	8049	Teleostei
Tachysurus_fulvidraco	Teleostei	1234273	Teleostei
Scophthalmus_maximus	Teleostei	52904	Teleostei
Nothobranchius_furzeri	Teleostei	105023	Teleostei
Diaphorina_citri	Hemiptera	121845	Other Insecta
Bemisia_tabaci	Hemiptera	7038	Other Insecta
Mamestra_configurata	Lepidoptera	174822	Mecopterida
Sebastes_umbrosus	Teleostei	72105	Teleostei
Cebus_imitator	Mammalia	2715852	Mammalia
Aphidius_gifuensis	Hymenoptera	684658	Hymenoptera
Bombus_pyrosoma	Hymenoptera	396416	Hymenoptera
Sturnira_hondurensis	Mammalia	192404	Mammalia
Oppiella_nova	Arachnida	334625	Other Invertebrates
Medioppia_subpectinata	Arachnida	1979941	Other Invertebrates
Lucifuga_dentata	Teleostei	670423	Teleostei
Bradysia_coprophila	Diptera	38358	Mecopterida
Bursaphelenchus_okinawaensis	Nematoda	465554	Nematoda
Dimorphilus_gyrociliatus	Annelida	2664684	Other Invertebrates
Acomys_russatus	Mammalia	60746	Mammalia
Paragonimus_kellicotti	Platyhelminthes	100269	Other Invertebrates
Trichonephila_clavata	Arachnida	2740835	Other Invertebrates
Promerops_cafer	Aves	254652	Aves
Steatornis_caripensis	Aves	48435	Aves
Struthidea_cinerea	Aves	181839	Aves
Melanocharis_versteri	Aves	254552	Aves
Cnemophilus_loriae	Aves	254448	Aves
Donacobius_atricapilla	Aves	237420	Aves
Oceanites_oceanicus	Aves	79653	Aves
Anhinga_anhinga	Aves	56067	Aves
Spizella_passerina	Aves	40210	Aves
Balaeniceps_rex	Aves	33584	Aves
Rissa_tridactyla	Aves	75485	Aves
Pardalotus_punctatus	Aves	254575	Aves
Buphagus_erythrorhynchus	Aves	245048	Aves
Peucedramus_taeniatus	Aves	135441	Aves
Scopus_umbretta	Aves	33581	Aves
Nicator_chloris	Aves	237433	Aves
Certhia_brachydactyla	Aves	73330	Aves
Bombycilla_garrulus	Aves	125297	Aves
Sitta_europaea	Aves	50251	Aves
Oriolus_oriolus	Aves	181099	Aves
Aramus_guarauna	Aves	54356	Aves
Phainopepla_nitens	Aves	161653	Aves
Rhinoptilus_africanus	Aves	240209	Aves
Rhinopomastus_cyanomelas	Aves	113115	Aves
Gymnorhina_tibicen	Aves	9132	Aves
Semnornis_frantzii	Aves	91796	Aves
Chauna_torquata	Aves	30388	Aves
Psophia_crepitans	Aves	54359	Aves
Dromas_ardeola	Aves	458190	Aves
