species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_85
Clarias_magur	1594786	23712	23712	788	788	470	363
Oenanthe_oenanthe	279966	13570	15622	818	818	817	659
Chelonus_insularis	460826	19220	19220	957	957	953	722
Exaiptasia_diaphana	2652724	27753	27753	908	908	231	161
Branchiostoma_floridae	7739	43041	43041	944	944	878	653
Cloeon_dipterum	197152	30082	30161	926	926	926	701
Gymnodraco_acuticeps	8218	45727	45847	898	898	843	651
Pseudochaenichthys_georgianus	52239	37944	38061	895	895	869	675
Molothrus_ater	84834	28498	28503	926	926	894	699
Zerene_cesonia	33412	17465	17465	925	925	921	693
Osmia_lignaria	473952	25907	25907	960	960	956	718
Bombus_vosnesenskii	207650	24067	24067	966	966	959	727
Bombus_bifarius	103933	23896	23896	959	959	954	722
Pollicipes_pollicipes	41117	27080	27080	596	596	567	436
Dissostichus_mawsoni	36200	29240	29240	842	842	652	512
Arvicanthis_niloticus	61156	41473	41699	893	893	892	701
Anneissia_japonica	1529436	32774	32774	945	945	880	654
Oxyura_jamaicensis	8884	39795	39815	899	899	889	707
Ignelater_luminosus	2038154	27558	27558	905	905	898	683
Belonocnema_treatae	1159321	25246	25246	955	955	953	718
Stegodyphus_dumicola	202533	29944	29944	917	917	893	678
Odontomachus_brunneus	486640	29175	29175	947	947	942	715
Eudyptes_filholi	1419345	12955	13993	747	747	747	604
Chiroxiphia_lanceolata	296741	39412	39421	931	931	894	704
Cyclopterus_lumpus	8103	38625	38667	928	928	909	698
Notolabrus_celidotus	1203425	39434	39563	886	886	854	661
Pecten_maximus	6579	39918	39918	921	921	902	679
Photinus_pyralis	7054	32294	32294	814	814	811	613
Actinia_tenebrosa	6105	27037	27037	951	951	688	516
Camarhynchus_parvulus	87175	28897	28914	962	962	926	707
Asterias_rubens	7604	24049	24049	956	956	947	709
Gopherus_evgoodei	1825980	50852	51007	946	946	918	695
Archocentrus_centrarchus	63155	41106	41345	915	915	890	687
Dermochelys_coriacea	27794	55150	55241	947	947	912	705
Thrips_palmi	161013	27217	27217	948	948	940	704
Eumeta_japonica	151549	96513	96513	847	847	843	646
Nylanderia_fulva	613905	24514	24514	934	934	778	593
Varanus_komodoensis	61221	18293	18293	797	797	797	616
Anarrhichthys_ocellatus	433405	41887	41903	909	909	899	703
Cottoperca_gobio	56716	37849	37909	867	867	850	667
Phyllostomus_discolor	89673	46999	47220	928	928	891	691
Onychomys_torridus	38674	43242	43554	913	913	904	703
Suricata_suricatta	37032	43269	43409	944	944	935	714
Strigops_habroptila	2489341	43613	43644	935	935	926	716
Drosophila_guanche	7266	22824	22824	952	952	948	718
Anabarilius_grahami	495550	23906	23906	669	669	669	512
Marmota_flaviventris	93162	37627	37793	895	895	894	693
Chloebia_gouldiae	44316	18989	18989	837	837	836	664
Electrophorus_electricus	8005	45294	45431	918	918	908	696
Bos_indicus	9915	35992	36119	915	915	452	333
Apteryx_rowi	308060	37618	37643	932	932	753	592
Ceratotherium_simum	9807	33629	33782	959	959	949	726
Micropterus_salmoides	27706	47899	48385	858	858	832	647
Drosophila_subpulchrella	1486046	25688	25688	942	942	941	713
Molossus_molossus	27622	42753	42794	903	903	898	701
Pipistrellus_kuhlii	59472	53802	53872	899	899	895	697
Arctia_plantaginis	874455	18801	18894	939	939	939	712
Contarinia_nasturtii	265458	24963	24963	939	939	937	705
Talpa_occidentalis	50954	39507	39745	887	887	858	671
Grammomys_surdaster	491861	38183	38463	908	908	905	703
Pipra_filicauda	649802	35857	35876	914	914	906	716
Nothoprocta_perdicaria	30464	21504	21515	917	917	598	456
Cyanistes_caeruleus	156563	31326	31355	900	900	882	703
Paramormyrops_kingsleyae	1676925	55288	55349	888	888	886	686
Melanaphis_sacchari	742174	19074	19074	926	926	921	697
Piliocolobus_tephrosceles	591936	55454	55603	910	910	901	701
Mastomys_coucha	35658	54407	54522	939	939	932	718
Acanthochromis_polyacanthus	80966	36596	36621	920	920	904	698
Mus_pahari	10093	42226	42393	938	938	922	713
Miniopterus_natalensis	291302	29787	29861	958	958	948	726
Myotis_myotis	51298	61156	61234	861	861	857	678
Sturnus_vulgaris	9172	26611	26619	935	935	921	720
Octopus_bimaculoides	37653	23994	23994	948	948	930	699
Lynx_pardinus	191816	31025	31025	920	920	911	705
Lynx_canadensis	61383	42066	42155	939	939	883	683
Calidris_pugnax	198806	30889	30937	907	907	896	709
Nicrophorus_vespilloides	110193	19577	19577	959	959	953	717
Dinoponera_quadriceps	609295	22408	22408	955	955	949	721
Gekko_japonicus	146911	24464	24536	949	949	907	683
Pantherophis_guttatus	94885	41701	41848	957	957	949	718
Sinocyclocheilus_rhinocerous	307959	68562	68781	323	323	311	251
Sinocyclocheilus_anshuiensis	1608454	68474	68669	268	268	259	212
Hermetia_illucens	343691	24828	24828	969	969	963	724
Scaptodrosophila_lebanonensis	7225	19800	19800	943	943	943	714
Zootoca_vivipara	8524	44296	44363	943	943	933	711
Manis_javanica	9974	55869	55934	934	934	926	706
Sander_lucioperca	283035	56557	56899	930	930	928	720
Meloidogyne_enterolobii	390850	59773	59773	109	109	108	90
Colossoma_macropomum	42526	43618	43938	910	910	899	697
Perca_fluviatilis	8168	49921	50212	931	931	902	698
Periophthalmus_magnuspinnatus	409849	27511	27601	926	926	920	710
Ophiophagus_hannah	8665	18445	18445	769	769	757	588
Crotalus_tigris	88082	51661	51843	954	954	951	714
Bothrops_jararaca	8724	86	86	2	2	2	1
Thamnophis_sirtalis	35019	25180	25243	883	883	603	466
Thamnophis_elegans	35005	30876	31010	926	926	872	668
Naja_naja	35670	25817	25817	919	919	903	683
Aquila_chrysaetos	8962	52413	52443	932	932	926	722
Catharus_ustulatus	91951	36071	36231	935	935	922	702
Corvus_cornix	181096	36899	36913	867	867	818	662
Hirundo_rustica	43150	37939	37958	914	914	899	715
Panthera_leo	9689	53278	53409	932	932	921	708
Pteropus_giganteus	143291	53198	53505	944	944	928	710
Myotis_brandtii	109478	40808	40937	890	890	857	674
Phascolarctos_cinereus	38626	46908	47079	959	959	911	689
Trichechus_manatus	9778	36406	36491	954	954	943	723
Caenorhabditis_elegans	6239	28350	30301	866	866	866	675
Meriones_unguiculatus	10047	38763	38999	885	885	878	672
Zonotrichia_albicollis	44394	26242	26250	871	871	589	489
Bactrocera_oleae	104688	18715	18715	956	956	927	698
Bagarius_yarrelli	175774	17182	17182	755	755	755	578
Gigantopelta_aegis	1735272	33249	33249	934	934	922	693
Trichonephila_clavipes	2585209	22738	22738	610	610	610	461
Oncorhynchus_mykiss	8022	97743	97900	409	409	394	334
Salmo_salar	8030	97555	97737	422	422	355	295
Oncorhynchus_kisutch	8019	89277	89356	432	432	425	357
Acinonyx_jubatus	32536	56261	56361	953	953	951	726
Neomonachus_schauinslandi	29088	28381	28431	928	928	921	711
Vulpes_lagopus	494514	52703	52785	870	870	869	684
Halichoerus_grypus	9711	60137	60231	878	878	835	651
Nyctereutes_procyonoides	34880	27168	27168	890	890	890	693
Vulpes_vulpes	9627	37915	38026	929	929	913	707
Leptonychotes_weddellii	9713	40286	40334	918	918	892	687
Mirounga_leonina	9715	45186	45230	876	876	875	681
Puma_concolor	9696	23358	23419	932	932	904	691
Aphelenchus_avenae	70226	43185	43185	737	737	728	575
Orbicella_faveolata	48498	32587	32587	904	904	884	666
Hydra_vulgaris	6087	32703	32703	922	922	909	683
Stylophora_pistillata	50429	33252	33252	950	950	842	623
Teladorsagia_circumcincta	45464	25532	25532	683	683	659	519
Ancylostoma_ceylanicum	53326	15892	15892	763	763	763	603
Alligator_mississippiensis	8496	42388	42494	968	968	958	723
Caligus_rogercresseyi	217165	19128	19128	317	317	264	208
Daphnia_galeata	27404	15649	15845	894	894	890	676
Armadillidium_vulgare	13347	19051	19051	749	749	749	566
Ramazzottius_varieornatus	947166	23007	23007	860	860	860	651
Puntigrus_tetrazona	1606681	48681	48806	873	873	848	656
Caenorhabditis_nigoni	1611254	44605	44605	838	838	838	656
Lepidothrix_coronata	321398	36671	36686	912	912	899	717
Owenia_fusiformis	6347	30799	31200	928	928	914	701
Macrostomum_lignano	282301	49018	49018	90	90	90	77
Lingula_anatina	7574	41392	41392	730	730	710	546
Betta_splendens	158456	49263	49476	919	919	917	713
Onychostruthus_taczanowskii	356909	32357	32382	944	944	923	716
Numida_meleagris	8996	43240	43271	926	926	889	710
