species	NCBI.txid	dN	dS	dNdS
Haliotis_rufescens	6454	0.5177374026	4.425511489	0.116989279970661
Caenorhabditis_elegans	6239	1.161076961	9.90490579	0.117222413379461
Athalia_rosae	37344	0.5184203749	4.630728775	0.111952221796881
Tribolium_castaneum	7070	0.5050015868	4.506154743	0.112069295353091
Ceratitis_capitata	7213	0.70047576	6.204701437	0.112894353920546
Ursus_arctos	9644	0.1875096935	1.646698835	0.113870059002015
Aquila_chrysaetos	8962	0.1201092425	0.9887581548	0.121474843890714
Alligator_mississippiensis	8496	0.1041083714	0.8482116554	0.122738671105509
Scleropages_formosus	113540	0.1391820128	1.319581657	0.105474346404923
Brienomyrus_brachyistius	42636	0.02666347611	0.2001859281	0.13319355842375
Paramormyrops_kingsleyae	1676925	0.02539085146	0.1728733104	0.146875485876043
Albula_goreensis	1534307	0.08975131336	0.898851455	0.0998511076115463
Anguilla_anguilla	7936	0.09851075372	0.7925896075	0.124289736816919
Megalops_atlanticus	7932	0.0194616519	0.1555548261	0.125111206048271
Megalops_cyprinoides	118141	0.01924466314	0.17077567	0.112689724127565
Denticeps_clupeoides	299321	0.1631753812	1.575737432	0.103554931098445
Clupea_harengus	7950	0.07387505611	0.5095523604	0.144980303990757
Alosa_alosa	278164	0.008287125322	0.02859610238	0.289799120589105
Alosa_sapidissima	34773	0.001662611912	0.01234629057	0.134664894088913
Chanos_chanos	29144	0.1289852892	1.473405972	0.0875422603485959
Misgurnus_anguillicaudatus	75329	0.07015272074	0.5854836231	0.119820124717678
Triplophysa_tibetana	1572043	0.03960896369	0.2089219647	0.189587359791854
Triplophysa_rosa	992332	0.01887864795	0.09076264966	0.208000185326454
Labeo_rohita	84645	0.03371871098	0.3025334295	0.111454496237746
Onychostoma_macrolepis	369639	0.02808703912	0.1531279747	0.183421998331961
Puntigrus_tetrazona	1606681	0.04596856605	0.4022223914	0.114286442109796
Danionella_translucida	623744	0.1696588942	1.451945246	0.116849374773186
Danio_aesculapii	1142201	0.06468577336	0.5875142826	0.110100767378349
Pimephales_promelas	90988	0.05431866963	0.3459746666	0.157001870003392
Ctenopharyngodon_idella	7959	0.01510051238	0.1012349526	0.149163031069568
Megalobrama_amblycephala	75352	0.01317307542	0.1093100014	0.120511163217312
Electrophorus_electricus	8005	0.1343785948	1.097972557	0.122387935785175
Astyanax_mexicanus	7994	0.09434066869	0.8706614914	0.108355164000997
Prochilodus_magdalenae	148989	0.06681546624	0.5673518801	0.117767242135909
Pygocentrus_nattereri	42514	0.03243803118	0.2367776318	0.136997869830034
Colossoma_macropomum	42526	0.01757247711	0.1355318205	0.12965572988817
Hemibagrus_wyckioides	337641	0.0381749163	0.2944605327	0.129643575490278
Tachysurus_fulvidraco	1234273	0.05865463623	0.4055154371	0.144642178481447
Clarias_gariepinus	13013	0.07691158565	0.6331776139	0.121469211737083
Silurus_asotus	30991	0.01663446321	0.09930986639	0.167500610107306
Silurus_meridionalis	175797	0.009110997203	0.06558431088	0.138920377156519
Pangasianodon_hypophthalmus	310915	0.01019786739	0.07141478405	0.142797706744588
Pangasianodon_gigas	30993	0.01022709043	0.05758002106	0.177615260323422
Pangasius_djambal	1691987	0.02180906124	0.1323811724	0.164744433401014
Ameiurus_melas	219545	0.0243295006	0.1494064874	0.162840991869808
Ictalurus_furcatus	66913	0.005842559864	0.03663872725	0.159464050815248
Ictalurus_punctatus	7998	0.008125084414	0.05514676675	0.147335644369395
Hypomesus_transpacificus	137520	0.1448443333	1.255134638	0.115401430981781
Dallia_pectoralis	75939	0.07422134126	0.6014772674	0.123398414674649
Esox_lucius	8010	0.04161636125	0.3710427445	0.11216055795965
Coryphaenoides_rupestris	163118	0.09433543504	0.6207356747	0.151973599850842
Gadus_morhua	8049	0.08727345044	0.6509746532	0.134065819630594
Muraenolepis_orangiensis	630683	0.09995770709	0.639958491	0.156194047732386
Lampris_incognitus	2546036	0.1229100836	1.092231246	0.112531191586145
Myripristis_murdjan	586833	0.07760101873	0.6601316146	0.117553858978594
Lucifuga_dentata	670423	0.1077806264	0.7971944077	0.135199927845655
Thalassophryne_amazonica	390379	0.1662679855	1.229534227	0.135228431912534
Sphaeramia_orbicularis	375764	0.07253418943	0.7059052578	0.102753434159221
Boleophthalmus_pectinirostris	150288	0.04243527686	0.4129866212	0.102752182956187
Periophthalmus_magnuspinnatus	409849	0.04259508991	0.4100597179	0.103875333398116
Scomber_japonicus	13676	0.05581757459	0.4271152473	0.130685043305875
Thunnus_albacares	8236	0.001730781975	0.03015557104	0.0573950986603502
Thunnus_maccoyii	8240	0.002019380733	0.02922468887	0.0690984510385311
Synchiropus_splendidus	270530	0.1786353188	1.777606913	0.100492025258005
Dunckerocampus_dactyliophorus	161453	0.08110737385	0.6749401848	0.120169721223569
Hippocampus_comes	109280	0.01131349854	0.07901781	0.143176564118899
Hippocampus_zosterae	109293	0.02095665471	0.1357439455	0.154383715846833
Syngnathus_acus	161584	0.01141861643	0.06331766844	0.180338548644133
Syngnathus_scovelli	161590	0.01409152959	0.09029162708	0.156066847455464
Monopterus_albus	43700	0.08312331382	0.5013013787	0.165815051288228
Mastacembelus_armatus	205130	0.06974734415	0.542861056	0.128481023604685
Anabas_testudineus	64144	0.05026391003	0.428992151	0.117167435144985
Betta_splendens	158456	0.09912081696	0.814863895	0.121640948345122
Gouania_willdenowi	441366	0.1574195059	1.343568369	0.117165236643049
Salarias_fasciatus	181472	0.09837965235	0.9922414442	0.0991489046593081
Stegastes_partitus	144197	0.03932079813	0.3447140823	0.114067861305938
Amphiprion_ocellaris	80972	0.01537147805	0.1313589267	0.117018907174125
Acanthochromis_polyacanthus	80966	0.02011023569	0.1704054752	0.118014023119839
Mugil_cephalus	48193	0.08341153358	0.7371754108	0.113150184281757
Parambassis_ranga	210632	0.08215480626	0.7464075322	0.110066957681754
Archocentrus_centrarchus	63155	0.04151616628	0.3076148402	0.134961519584061
Oreochromis_aureus	47969	0.002402816877	0.01437474925	0.167155394171484
Oreochromis_niloticus	8128	0.003249446116	0.01645534946	0.197470501851013
Neolamprologus_brichardi	32507	0.01044445795	0.05443772528	0.191860660897916
Simochromis_diagramma	43689	0.00539179742	0.02397181052	0.224922411075357
Haplochromis_burtoni	8153	0.00260802262	0.01841276233	0.141642116118055
Pundamilia_nyererei	303518	0.003553356329	0.01733223879	0.205014272654156
Astatotilapia_calliptera	8154	0.001495440791	0.005510335922	0.271388316822838
Maylandia_zebra	106582	0.001027490934	0.004786414708	0.214668179980864
Melanotaenia_boesemani	1250792	0.0716342017	0.6439805259	0.11123659616863
Menidia_menidia	238744	0.1257347541	1.052681583	0.119442342423882
Oryzias_latipes	8090	0.04462902505	0.3491620035	0.127817530552118
Oryzias_javanicus	123683	0.03555924553	0.2299036466	0.154670211003082
Oryzias_melastigma	30732	0.01814755379	0.1567962514	0.115739717167754
Nothobranchius_furzeri	105023	0.1061226202	0.8681558391	0.122239136593282
Kryptolebias_marmoratus	37003	0.05285303154	0.4204917743	0.125693378016693
Nematolebias_whitei	451745	0.07454659133	0.4922903887	0.151428086026332
Girardinichthys_multiradiatus	208333	0.05492298557	0.3988460185	0.137704735718704
Fundulus_heteroclitus	8078	0.06063511581	0.5314348231	0.114096993976231
Cyprinodon_variegatus	28743	0.003491643051	0.03345322532	0.104373883761591
Cyprinodon_tularosa	77115	0.005047830683	0.03827159419	0.131894967790993
Poecilia_reticulata	8081	0.01504866441	0.0899360348	0.167326305228658
Poecilia_mexicana	48701	0.002712821949	0.01698597403	0.159709531181945
Poecilia_latipinna	48699	0.004935518226	0.03107841828	0.158808539789046
Poecilia_formosa	48698	0.000543356967	0.002255760675	0.240875272373476
Poeciliopsis_prolifica	188132	0.03260466663	0.2044740253	0.159456276082809
Gambusia_affinis	33528	0.02154571583	0.1221806287	0.176343140964702
Xiphophorus_hellerii	8084	0.00434167355	0.02862270853	0.151686327848722
Xiphophorus_maculatus	8083	0.003425827619	0.02536740252	0.135048419573073
Xiphophorus_couchianus	32473	0.004983344262	0.03041998655	0.163818095508001
Solea_senegalensis	28829	0.07534264608	0.5740477428	0.131248048659691
Cynoglossus_semilaevis	244447	0.1420465124	1.236981231	0.114833199437607
Scophthalmus_maximus	52904	0.07196947824	0.5416822632	0.132862903457165
Paralichthys_olivaceus	8255	0.0287810396	0.1882241908	0.152908292380875
Pleuronectes_platessa	8262	0.03330146485	0.1896347224	0.175608477332314
Hippoglossus_stenolepis	195615	0.001663737283	0.01624772916	0.102398142326001
Hippoglossus_hippoglossus	8267	0.002034585904	0.01662177615	0.122404843239331
Xiphias_gladius	8245	0.04400218842	0.3107384077	0.141605245214752
Toxotes_jaculatrix	941984	0.04301078725	0.3395953755	0.126653041687253
Lates_calcarifer	8187	0.0431631619	0.382701866	0.112785344767564
Echeneis_naucrates	173247	0.08005059478	0.7257984478	0.110293146840758
Caranx_melampygus	181461	0.07332116406	0.5840677795	0.125535368725129
Seriola_dumerili	41447	0.003853476063	0.03620031182	0.106448698070911
Seriola_aureovittata	2871759	0.003107842324	0.01060662794	0.293009459894376
Seriola_lalandi	302047	0.001035029628	0.006059362134	0.170814948027663
Scortum_barcoo	214431	0.07478783328	0.6022768849	0.124175167858912
Dicentrarchus_labrax	13489	0.04920342005	0.3578861956	0.137483425331648
Larimichthys_crocea	215358	0.05779261839	0.5246659745	0.110151260418737
Chelmon_rostratus	109905	0.04825948403	0.3740880295	0.129005689100779
Sparus_aurata	8175	0.01459710884	0.1208129723	0.120824018829309
Acanthopagrus_latus	8177	0.0148537669	0.1447714038	0.102601525647429
Scatophagus_argus	75038	0.05433119117	0.4333617093	0.125371462231308
Tetraodon_nigroviridis	99883	0.07322608843	0.6358199858	0.11516795644268
Takifugu_bimaculatus	433685	0.01605483069	0.04538109401	0.353777956222523
Takifugu_rubripes	31033	0.00495060609	0.02219828664	0.223017486452279
Takifugu_flavidus	433684	0.0123450675	0.03507672282	0.351944723095999
Siniperca_chuatsi	119488	0.02681242718	0.1748580797	0.153338222780448
Micropterus_dolomieu	147949	0.002571770455	0.01690021366	0.152173842694483
Micropterus_salmoides	27706	0.002582102983	0.01988653333	0.129841784897961
Cheilinus_undulatus	241271	0.06344783505	0.675147673	0.0939762330336877
Labrus_bergylta	56723	0.06536817427	0.5202027523	0.125659031946648
Notolabrus_celidotus	1203425	0.06935338056	0.6249284881	0.110978106904453
Plectropomus_leopardus	160734	0.04604310596	0.4203185357	0.10954336306706
Epinephelus_fuscoguttatus	293821	0.004970546628	0.04625560272	0.107458260961128
Epinephelus_moara	300413	0.004589205726	0.0359758724	0.127563431262337
Epinephelus_lanceolatus	310571	0.006622713367	0.04952227139	0.133732019576495
Sebastes_umbrosus	72105	0.05958609515	0.3561907446	0.167287039467897
Etheostoma_cragini	417921	0.01732614383	0.1230370578	0.140820531145698
Etheostoma_spectabile	54343	0.01332933833	0.09599568292	0.138853518455703
Sander_lucioperca	283035	0.009676887967	0.07587797908	0.127532231147029
Perca_flavescens	8167	0.00930483965	0.06737928929	0.138096435092273
Perca_fluviatilis	8168	0.006575327467	0.05241831859	0.125439496036304
Anarrhichthys_ocellatus	433405	0.04704577373	0.2602240481	0.18078949302918
Anoplopoma_fimbria	229290	0.0488027995	0.2942489855	0.165855455430279
Pungitius_pungitius	134920	0.02921421332	0.2197160019	0.132963521397483
Gasterosteus_aculeatus	69293	0.02960281008	0.2237089993	0.132327309909879
Cyclopterus_lumpus	8103	0.02174821102	0.1342021848	0.162055566028311
Liparis_tanakae	230148	0.05842061031	0.2500273668	0.233656863477394
Pseudoliparis_swirei	2059687	0.02150721985	0.08393343736	0.256241380389952
Cottoperca_gobio	56716	0.05900285247	0.2978768879	0.198077980758977
Dissostichus_eleginoides	100907	0.01776339037	0.05955185766	0.298284404013334
Trematomus_bernacchii	40690	0.0101920492	0.03815210184	0.267142534970755
Pogonophryne_albipinna	1090488	0.01087087701	0.03690541636	0.294560476000548
Gymnodraco_acuticeps	8218	0.00833793501	0.03246309481	0.256843503640065
Chaenocephalus_aceratus	36190	0.007690454928	0.03182781911	0.241626826563927
Notothenia_coriiceps	8208	0.05830700896	0.1775039829	0.328482820539572
Pseudochaenichthys_georgianus	52239	0.006190951144	0.02963016596	0.208940819040893
