species	NCBI.txid	dN	dS	dNdS
Marchantia_polymorpha	3197	0.5289109475	2.792844297	0.189380749964523
Nymphaea_thermarum	419125	0.02717541846	0.09429406752	0.288198602252851
Nymphaea_colorata	210225	0.01915124085	0.07076195222	0.270643195236594
Spirodela_intermedia	51605	0.4069445381	2.213826574	0.18381951995667
Apostasia_shenzhenica	1088818	0.2550787391	1.200820957	0.212420292644843
Vanilla_planifolia	51239	0.2780262365	1.334647287	0.20831439078181
Dendrobium_catenatum	906689	0.1991747338	0.9440886038	0.210970382439013
Musa_acuminata	4641	0.01573945056	0.05258032565	0.299341062753574
Musa_balbisiana	52838	0.03366443066	0.1032884845	0.325926271674554
Ananas_comosus	4615	0.2146911124	1.127555664	0.190404003327325
Aegilops_tauschii	37682	0.174514124	0.76817241	0.227180931947296
Oryza_sativa	4530	0.1448752333	0.6827429857	0.212195857496013
Zea_mays	4577	0.06524909805	0.2717836134	0.240077380802091
Sorghum_bicolor	4558	0.03962450902	0.168333814	0.235392450740764
Dichanthelium_oligosanthes	888268	0.07940725972	0.2917856163	0.272142474762557
Setaria_viridis	4556	0.05115940052	0.2355279212	0.217211616607263
Panicum_hallii	206008	0.05442348696	0.2440668936	0.222985945194166
Cinnamomum_micranthum	337465	0.2799145107	1.361533277	0.205587711610518
Coptis_chinensis	261450	0.3275657291	1.686168164	0.194266346675016
Nelumbo_nucifera	4432	0.2310536032	1.147410088	0.201369680828534
Tetracentron_sinense	13715	0.1680359688	0.7505186354	0.223893133193745
Beta_vulgaris	161934	0.441025992	2.3957582	0.184086186994998
Rhododendron_simsii	118357	0.2630550016	1.255544024	0.209514757405273
Lactuca_saligna	75948	0.3459150104	1.927156657	0.17949501362203
Daucus_carota	4039	0.2981157139	1.549758667	0.192362669264556
Striga_asiatica	4170	0.3289945516	1.823913741	0.180378350250063
Olea_europaea	4146	0.1953962285	0.9766381668	0.200070235981279
Coffea_eugenioides	49369	0.2824966916	1.438817268	0.19633951988405
Cuscuta_australis	267555	0.2391068732	1.081520441	0.221084007417295
Ipomoea_triloba	35885	0.02251700304	0.08193487347	0.274815863946436
Ipomoea_nil	35883	0.0280586352	0.09811232778	0.285984807769689
Solanum_chilense	4083	0.04300452696	0.1715953694	0.250615894300467
Solanum_tuberosum	4113	0.0205852913	0.07823238976	0.26313003301
Capsicum_annuum	4072	0.007449533424	0.01956991029	0.380662625101896
Capsicum_baccatum	33114	0.01865060972	0.04916836188	0.37932135639415
Capsicum_chinense	80379	0.01355767693	0.03213060038	0.42195529400811
Vitis_vinifera	29760	0.2158720407	1.016242223	0.212421837839737
Corymbia_citriodora	34329	0.2443509177	1.293292484	0.188937089423308
Punica_granatum	22663	0.2682609207	1.543234105	0.173830347470192
Manihot_esculenta	3983	0.1902201714	0.9378517186	0.202825422854644
Populus_trichocarpa	3694	0.0323401589	0.1214515121	0.266280413811332
Salix_dunnii	1413687	0.0315935151	0.1211712545	0.260734406277852
Salix_suchowensis	1278906	0.02436696536	0.09259844913	0.263146581707766
Pistacia_vera	55513	0.1505924465	0.7184320564	0.209612649043816
Citrus_unshiu	55188	0.1739008906	0.8131483443	0.213861212187184
Gossypium_australe	47621	0.1464720792	0.6642055014	0.220522231284247
Durio_zibethinus	66656	0.0746869577	0.2846167837	0.262412345221088
Herrania_umbratica	108875	0.08284837254	0.3213461768	0.257816580751055
Corchorus_olitorius	93759	0.02551832901	0.09261096257	0.275543286689327
Corchorus_capsularis	210143	0.03035061256	0.1048789256	0.289387142234417
Tarenaya_hassleriana	28532	0.1661803796	0.925387277	0.179579278568361
Arabidopsis_lyrata	59689	0.03098820253	0.1688889603	0.183482700556361
Arabidopsis_thaliana	3702	0.03895571678	0.2068860032	0.188295564598156
Sinapis_alba	3728	0.03574267364	0.2060289834	0.173483715980904
Brassica_rapa	3711	0.02324054188	0.1483261359	0.156685413120103
Brassica_oleracea	3712	0.008693193897	0.04418854018	0.196729601421289
Brassica_cretica	69181	0.05999314732	0.1778650974	0.337295783135472
Quercus_suber	58331	0.138288728	0.5372220095	0.257414487036202
Juglans_regia	51240	0.1370479597	0.5805307618	0.236073553234402
Carpinus_fangiana	176857	0.1415580554	0.5308439576	0.266666038811101
Fragaria_vesca	57918	0.07198439488	0.3373943997	0.213353852180137
Rosa_chinensis	74649	0.04430865315	0.2013106793	0.220100857560417
Rhamnella_rubrinervis	2594499	0.1236529601	0.5281594307	0.234120519132103
Ziziphus_jujuba	326968	0.123423259	0.55747173	0.221398238436234
Morus_notabilis	981085	0.1682443597	0.7873617097	0.213681155214043
Cannabis_sativa	3483	0.1615667196	0.7953986039	0.203126732694533
Parasponia_andersonii	3476	0.02799065165	0.08709048925	0.321397340754978
Trema_orientale	63057	0.01755979748	0.0588590935	0.298336186234333
Cucumis_melo	3656	0.07013741946	0.3349527451	0.209394968353105
