species	db	value	unity	value_used	category	id
Balaenoptera_musculus	ADW_ML	190000	kg	190000	weight	Balaenoptera_musculus;ADW;weight
Physeter_catodon	ADW_ML	50000	kg	50000	weight	Physeter_catodon;ADW;weight
Rhincodon_typus	ADW_ML	30844	kg	30844	weight	Rhincodon_typus;ADW;weight
Balaenoptera_acutorostrata	ADW_ML	10000	kg	10000	weight	Balaenoptera_acutorostrata;ADW;weight
Orcinus_orca	ADW_ML	7200	kg	7200	weight	Orcinus_orca;ADW;weight
Loxodonta_africana	ADW_ML	6100	kg	6100	weight	Loxodonta_africana;ADW;weight
Elephas_maximus	ADW_ML	6000	kg	6000	weight	Elephas_maximus;ADW;weight
Globicephala_melas	ADW_ML	3800	kg	3800	weight	Globicephala_melas;ADW;weight
Mirounga_leonina	ADW_ML	3700	kg	3700	weight	Mirounga_leonina;ADW;weight
Ceratotherium_simum	ADW_ML	3600	kg	3600	weight	Ceratotherium_simum;ADW;weight
Carcharodon_carcharias	ADW_ML	3000	kg	3000	weight	Carcharodon_carcharias;ADW;weight
Mirounga_angustirostris	ADW_ML	2300	kg	2300	weight	Mirounga_angustirostris;ADW;weight
Delphinapterus_leucas	ADW_ML	1600	kg	1600	weight	Delphinapterus_leucas;ADW;weight
Monodon_monoceros	ADW_ML	1600	kg	1600	weight	Monodon_monoceros;ADW;weight
Trichechus_manatus	ADW_ML	1500	kg	1500	weight	Trichechus_manatus;ADW;weight
Bos_taurus	ADW_ML	1363	kg	1363	weight	Bos_taurus;ADW;weight
Bubalus_bubalis	ADW_ML	1200	kg	1200	weight	Bubalus_bubalis;ADW;weight
Crocodylus_porosus	ADW_ML	1200	kg	1200	weight	Crocodylus_porosus;ADW;weight
Eumetopias_jubatus	ADW_ML	1120	kg	1120	weight	Eumetopias_jubatus;ADW;weight
Bison_bison	ADW_ML	900	kg	900	weight	Bison_bison;ADW;weight
Dermochelys_coriacea	ADW_ML	900	kg	900	weight	Dermochelys_coriacea;ADW;weight
Equus_caballus	ADW_ML	900	kg	900	weight	Equus_caballus;ADW;weight
Ursus_maritimus	ADW_ML	800	kg	800	weight	Ursus_maritimus;ADW;weight
Camelus_bactrianus	ADW_ML	690	kg	690	weight	Camelus_bactrianus;ADW;weight
Camelus_dromedarius	ADW_ML	690	kg	690	weight	Camelus_dromedarius;ADW;weight
Leptonychotes_weddellii	ADW_ML	600	kg	600	weight	Leptonychotes_weddellii;ADW;weight
Ursus_arctos	ADW_ML	600	kg	600	weight	Ursus_arctos;ADW;weight
Caretta_caretta	ADW_ML	545	kg	545	weight	Caretta_caretta;ADW;weight
Tursiops_truncatus	ADW_ML	500	kg	500	weight	Tursiops_truncatus;ADW;weight
Cervus_elaphus	ADW_ML	497	kg	497	weight	Cervus_elaphus;ADW;weight
