species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_85
Nymphaea_colorata	210225	33500	33500	261	261	258	176
Cuscuta_australis	267555	18157	18157	262	262	262	177
Ipomoea_triloba	35885	42046	42046	210	210	210	155
Coffea_eugenioides	49369	38150	38150	242	242	241	167
Carpinus_fangiana	176857	29499	29499	154	154	154	106
Malus_baccata	106549	45900	45900	143	143	142	108
Rhamnella_rubrinervis	2594499	27165	27165	260	260	260	180
Striga_asiatica	4170	33426	33426	211	211	208	154
Sinapis_alba	3728	52686	52686	115	115	115	89
Nymphaea_thermarum	419125	25461	25461	263	263	263	176
Rhododendron_simsii	118357	32999	32999	223	223	221	157
Salix_dunnii	1413687	29822	29822	199	199	198	155
Solanum_tuberosum	4113	37960	37960	239	239	231	173
Vitis_vinifera	29760	41208	41208	257	257	253	181
Manihot_esculenta	3983	43286	43286	205	205	204	161
Vigna_radiata	157791	42284	42284	241	241	239	175
Daucus_carota	4039	44655	44655	195	195	194	152
Capsicum_annuum	4072	45410	45410	238	238	226	166
Musa_acuminata	4641	47707	47707	201	201	199	158
Vigna_unguiculata	3917	41173	41173	245	245	244	180
Vigna_angularis	3914	37769	37769	254	254	251	186
Cannabis_sativa	3483	33674	33674	240	240	237	163
Rosa_chinensis	74649	48188	48188	233	233	232	163
Cucurbita_pepo	3663	43466	43466	149	149	147	122
Panicum_hallii	206008	37612	37612	230	230	230	170
Musa_balbisiana	52838	33021	35148	222	222	222	166
Cinnamomum_micranthum	337465	26531	27885	220	220	220	158
Corymbia_citriodora	34329	45647	45647	233	233	233	165
Arabidopsis_lyrata	59689	32549	32549	219	219	219	160
Fragaria_vesca	57918	31387	31387	250	250	247	171
Brassica_oleracea	3712	56687	56687	142	142	142	117
Aegilops_tauschii	37682	60524	60524	221	221	217	155
Zea_mays	4577	57578	57578	163	163	149	122
Beta_vulgaris	161934	32874	32874	255	255	255	176
Marchantia_polymorpha	3197	24674	24674	280	280	280	185
Cucumis_melo	3656	29796	29796	265	265	253	181
Capsicum_baccatum	33114	35853	35853	240	240	240	171
Brassica_rapa	3711	60607	60607	128	128	128	103
Olea_europaea	4146	58334	58334	177	177	174	135
Oryza_sativa	4530	42580	42580	231	231	229	171
