species	NCBI.txid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_85
Oryza_sativa	4530	42580	42580	1421	1421	1416	385
Olea_europaea	4146	58334	58334	1111	1111	1087	341
Brassica_rapa	3711	60607	60607	1218	1218	1209	372
Capsicum_baccatum	33114	35853	35853	1234	1234	1234	352
Cucumis_melo	3656	29796	29796	1357	1357	1328	380
Marchantia_polymorpha	3197	24674	24674	966	966	966	329
Beta_vulgaris	161934	32874	32874	1349	1349	1340	382
Zea_mays	4577	57578	57578	1299	1299	1207	353
Aegilops_tauschii	37682	60524	60524	1406	1406	1375	376
Brassica_oleracea	3712	56687	56687	1215	1215	1209	376
Fragaria_vesca	57918	31387	31387	1385	1385	1366	381
Arabidopsis_lyrata	59689	32549	32549	1395	1395	1383	377
Corymbia_citriodora	34329	45647	45647	1318	1318	1318	377
Cinnamomum_micranthum	337465	26531	27885	1172	1172	1171	359
Musa_balbisiana	52838	33021	35148	1221	1221	1221	368
Panicum_hallii	206008	37612	37612	1407	1407	1400	378
Cucurbita_pepo	3663	43466	43466	1063	1063	1050	355
Rosa_chinensis	74649	48188	48188	1349	1349	1340	374
Cannabis_sativa	3483	33674	33674	1252	1252	1225	356
Vigna_angularis	3914	37769	37769	1285	1285	1273	380
Vigna_unguiculata	3917	41173	41173	1294	1294	1272	378
Apium_graveolens	4045	1660	1660	121	121	121	36
Musa_acuminata	4641	47707	47707	1231	1231	1215	377
Capsicum_annuum	4072	45410	45410	1369	1369	1303	366
Daucus_carota	4039	44655	44655	1273	1273	1264	378
Vigna_radiata	157791	42284	42284	1279	1279	1257	379
Manihot_esculenta	3983	43286	43286	1261	1261	1252	375
Vitis_vinifera	29760	41208	41208	1402	1402	1375	372
Solanum_tuberosum	4113	37960	37960	1382	1382	1356	375
Spirodela_intermedia	51605	21894	21894	1307	1307	1307	380
Salix_dunnii	1413687	29822	29822	1216	1216	1209	373
Miscanthus_lutarioriparius	422564	68287	68328	395	395	395	130
Rhododendron_simsii	118357	32999	32999	1212	1212	1208	355
Nymphaea_thermarum	419125	25461	25461	1204	1204	1203	364
Sinapis_alba	3728	52686	52686	1062	1062	1061	337
Striga_asiatica	4170	33426	33426	1204	1204	1193	369
Rhamnella_rubrinervis	2594499	27165	27165	1347	1347	1347	371
Malus_baccata	106549	45900	45900	953	953	951	298
Lactuca_saligna	75948	45452	45452	1193	1193	1193	364
Carpinus_fangiana	176857	29499	29499	1214	1214	1214	347
Abrus_precatorius	3816	40048	40048	1306	1306	1300	377
Coffea_eugenioides	49369	38150	38150	1274	1274	1267	354
Ipomoea_triloba	35885	42046	42046	1285	1285	1284	377
Brassica_cretica	69181	63131	63131	1071	1071	1043	316
Cuscuta_australis	267555	18157	18157	1166	1166	1166	340
Cuscuta_campestris	132261	45474	45474	411	411	411	148
Nymphaea_colorata	210225	33500	33500	1291	1291	1286	383
Dendrobium_catenatum	906689	34389	34389	1280	1280	1210	353
Trema_orientale	63057	35849	35852	1366	1366	1361	377
Parasponia_andersonii	3476	37227	37232	1379	1379	1376	383
Apostasia_shenzhenica	1088818	21743	21743	1230	1230	1230	367
Quercus_suber	58331	59614	59614	1234	1234	1180	345
Coptis_chinensis	261450	40011	40011	1149	1149	1145	342
Durio_zibethinus	66656	63007	63007	1034	1034	1009	340
Pistacia_vera	55513	41299	41299	1129	1129	1081	314
Herrania_umbratica	108875	27748	27748	1348	1348	1260	356
Gossypium_klotzschianum	34286	34902	34902	935	935	918	296
Gossypium_davidsonii	34287	34870	34870	924	924	916	291
Gossypium_australe	47621	38281	38281	1049	1049	1049	334
Gossypium_trilobum	34281	32895	32895	902	902	886	278
Corchorus_olitorius	93759	35704	35704	1230	1230	1230	353
Corchorus_capsularis	210143	29356	29356	1269	1269	1245	365
Citrus_unshiu	55188	37970	37970	1262	1262	1262	361
Ipomoea_nil	35883	51054	51054	1277	1277	1277	377
Capsicum_chinense	80379	34974	34974	1256	1256	1254	362
Senna_tora	362788	45268	45268	1263	1263	1254	373
Dichanthelium_oligosanthes	888268	26468	26468	1172	1172	1152	327
Solanum_chilense	4083	25885	25885	1284	1284	1278	357
Hibiscus_syriacus	106335	81925	81925	602	602	510	207
Salix_suchowensis	1278906	36449	36449	1138	1138	1138	356
Arachis_ipaensis	130454	57621	57621	1214	1214	1086	334
Digitaria_exilis	1010633	61938	67843	238	238	236	97
Cucurbita_moschata	3662	43715	43715	1081	1081	1075	366
Benincasa_hispida	102211	33043	33043	1362	1362	1348	382
Tetracentron_sinense	13715	32739	32739	1155	1155	1149	363
Vanilla_planifolia	51239	29167	29167	1044	1044	1043	318
Morus_notabilis	981085	27648	27648	1355	1355	1332	368
Juglans_regia	51240	45959	45959	1212	1212	1206	368
Tarenaya_hassleriana	28532	41094	41094	1281	1281	1251	377
Setaria_viridis	4556	39206	39206	1396	1396	1389	382
Ziziphus_jujuba	326968	43572	43572	1158	1158	1134	320
Lupinus_albus	3870	47603	47603	1126	1126	1126	357
Brassica_carinata	52824	97148	97148	360	360	360	126
Nelumbo_nucifera	4432	38191	38191	1253	1253	1228	372
Camelina_sativa	90675	107481	107481	45	45	41	15
Punica_granatum	22663	36608	36608	1341	1341	1332	375
Ananas_comosus	4615	35775	35775	1308	1308	1265	360
Phaseolus_vulgaris	3885	32720	32720	1290	1290	1288	382
Sorghum_bicolor	4558	39248	39248	1416	1416	1411	384
Populus_trichocarpa	3694	51717	51717	1180	1180	1170	356
Coffea_arabica	13443	67222	67222	455	455	423	143
Glycine_max	3847	74248	74248	576	576	567	213
Arabidopsis_thaliana	3702	48265	48265	1422	1422	1421	386
