species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Muntiacus_muntjak	9888	25737	25737	875	875	873	682
Mus_caroli	10089	47409	47577	940	940	908	694
Mus_musculus	10090	76226	77058	940	940	939	721
Mus_pahari	10093	42226	42393	938	938	922	711
Mustela_erminea	36723	60443	60556	915	915	906	699
Mustela_putorius	9668	57554	57696	911	911	907	705
Myodes_glareolus	447135	46944	47127	852	852	844	666
Myotis_brandtii	109478	40808	40937	890	890	857	672
Myotis_davidii	225400	33106	33196	933	933	888	679
Myotis_lucifugus	59463	43106	43257	904	904	861	665
Myotis_myotis	51298	61156	61234	861	861	857	676
Nannospalax_galili	1026970	47817	48035	949	949	906	685
Neogale_vison	452646	44272	44368	902	902	898	692
Neomonachus_schauinslandi	29088	28381	28431	928	928	921	709
Neophocaena_asiaeorientalis	189058	38119	38173	942	942	922	708
Nomascus_leucogenys	61853	51330	51472	937	937	934	713
Nyctereutes_procyonoides	34880	27168	27168	890	890	890	691
Nycticebus_coucang	9470	56351	56518	819	819	816	643
Ochotona_curzoniae	130825	41968	42075	877	877	876	671
Ochotona_princeps	9978	29688	29729	917	917	899	690
Octodon_degus	10160	42423	42600	873	873	849	653
Odocoileus_virginianus	9874	48221	48326	925	925	912	694
Onychomys_torridus	38674	43242	43554	913	913	904	701
Orcinus_orca	9733	63212	63268	896	896	894	692
Ornithorhynchus_anatinus	9258	43095	43203	954	954	942	709
Orycteropus_afer	9818	25544	25653	951	951	930	708
Oryx_dammah	59534	43963	44076	869	869	867	672
Otolemur_garnettii	30611	32556	32670	939	939	929	704
Ovis_ammon	30527	20907	20907	878	878	878	686
Ovis_aries	9940	42390	42628	907	907	887	692
Pan_paniscus	9597	70846	70991	896	896	893	696
Pan_troglodytes	9598	80807	80981	942	942	902	690
Panthera_leo	9689	53278	53409	932	932	921	706
Panthera_pardus	9691	56348	56530	935	935	930	711
Panthera_tigris	9694	29473	29550	944	944	907	697
Panthera_uncia	29064	43841	43941	920	920	914	704
Papio_anubis	9555	71983	72195	899	899	884	684
Perognathus_longimembris	38669	40270	40381	879	879	871	676
Peromyscus_californicus	42520	51825	52107	886	886	882	689
Peromyscus_leucopus	10041	48177	48592	862	862	832	646
Peromyscus_maniculatus	10042	45588	45916	927	927	921	705
Phacochoerus_africanus	41426	48130	48234	946	946	929	714
Phascolarctos_cinereus	38626	46908	47079	959	959	911	687
Phoca_vitulina	9720	45385	45438	889	889	888	691
Phocoena_sinus	42100	52282	52320	893	893	865	678
Phodopus_roborovskii	109678	34929	35082	891	891	886	686
Phyllostomus_discolor	89673	46999	47220	928	928	891	689
Phyllostomus_hastatus	9423	45413	45674	936	936	935	722
Physeter_catodon	9755	51736	51779	876	876	870	680
Piliocolobus_tephrosceles	591936	55454	55603	910	910	901	699
Pipistrellus_kuhlii	59472	53802	53872	899	899	895	696
Pongo_abelii	9601	49720	49875	937	937	824	623
Pongo_pygmaeus	9600	68930	69154	887	887	885	689
Prionailurus_bengalensis	37029	51608	51737	942	942	930	716
Prionailurus_viverrinus	61388	56347	56463	943	943	942	724
Propithecus_coquereli	379532	28194	28300	933	933	908	692
Psammomys_obesus	48139	38692	38918	914	914	898	696
Pteronotus_parnellii	59476	34115	34285	907	907	903	697
Pteropus_alecto	9402	39706	39743	952	952	928	707
Pteropus_giganteus	143291	53198	53505	944	944	928	708
Pteropus_vampyrus	132908	43630	43832	953	953	942	718
Puma_concolor	9696	23358	23419	932	932	904	690
Puma_yagouaroundi	1608482	55586	55694	934	934	929	716
Rangifer_tarandus	9870	26502	26502	882	882	878	685
Rattus_norvegicus	10116	56110	56593	894	894	817	637
Rattus_rattus	10117	35475	35713	878	878	850	664
Rhinolophus_ferrumequinum	59479	48673	48806	894	894	875	678
Rhinopithecus_bieti	61621	49592	49776	927	927	833	637
Rhinopithecus_roxellana	61622	53702	53850	906	906	900	699
Rousettus_aegyptiacus	9407	56391	56463	952	952	943	717
Sander_lucioperca	283035	56557	56899	930	930	928	718
Sapajus_apella	9515	62192	62340	923	923	914	708
Sarcophilus_harrisii	9305	45893	46002	946	946	934	711
Sciurus_carolinensis	30640	52005	52153	876	876	834	648
Sorex_araneus	42254	39879	40221	900	900	896	694
Sorex_cinereus	36803	32645	32923	928	928	925	708
Sturnira_hondurensis	192404	42753	42999	920	920	911	705
Suncus_etruscus	109475	26602	26729	853	853	831	657
Suricata_suricatta	37032	43269	43409	944	944	935	712
Sus_scrofa	9823	63575	63712	947	947	833	634
Symphalangus_syndactylus	9590	67212	67335	845	845	835	653
Tachyglossus_aculeatus	9261	33269	33397	954	954	948	712
Talpa_occidentalis	50954	39507	39745	887	887	858	670
Theropithecus_gelada	9565	52434	52610	922	922	919	709
Trachypithecus_francoisi	54180	64364	64531	852	852	826	657
Tribolium_castaneum	7070	22610	22610	961	961	955	715
Trichechus_manatus	9778	36406	36491	954	954	943	721
Trichosurus_vulpecula	9337	35542	35644	835	835	819	648
Tursiops_truncatus	9739	55739	55802	900	900	898	694
Ursus_americanus	9643	45856	46017	954	954	953	727
Ursus_arctos	9644	51919	52138	953	953	951	724
Ursus_maritimus	29073	41487	41611	952	952	938	715
Vicugna_pacos	30538	44159	44289	951	951	918	700
Vombatus_ursinus	29139	42624	42735	876	876	865	648
Vulpes_lagopus	494514	52703	52785	870	870	869	682
Vulpes_vulpes	9627	37915	38026	929	929	913	705
Zalophus_californianus	9704	61024	61096	845	845	830	654
